R;Team;GP;PP OP;PP OP/GP;PPG;PPG/GP;PP%;PPT;PP time/GP;PP GA;PP GA/GP
1;EV Zug;50;236;4.72;51;1.02;21.61;360:05;07:12;7;0.14
2;SC Bern;50;235;4.70;50;1.00;21.28;373:11;07:27;12;0.24
3;HC Davos;50;190;3.80;39;0.78;20.53;309:13;06:11;10;0.20
4;Fribourg-Gottéron;50;226;4.52;45;0.90;19.91;345:52;06:55;3;0.06
5;HC Lugano;50;230;4.60;44;0.88;19.13;355:07;07:06;7;0.14
6;SC Rapperswil-Jona Lakers;50;212;4.24;38;0.76;17.92;322:04;06:26;4;0.08
;Durchschnitt;50;218;4.36;38;0.76;17.43;343:28;06:52;5;0.10
7;ZSC Lions;50;203;4.06;33;0.66;16.26;320:55;06:25;1;0.02
8;SCL Tigers;50;243;4.86;39;0.78;16.05;364:42;07:17;6;0.12
9;EHC Biel;50;231;4.62;37;0.74;16.02;363:29;07:16;7;0.14
10;HC Ambri-Piotta;50;181;3.62;27;0.54;14.92;304:32;06:05;2;0.04
11;Genève-Servette HC;50;218;4.36;28;0.56;12.84;354:43;07:05;4;0.08
12;Kloten Flyers;50;212;4.24;26;0.52;12.26;347:48;06:57;3;0.06
