R;Team;GP;PP OP;PP OP/GP;PPG;PPG/GP;PP%;PPT;PP time/GP;PP GA;PP GA/GP
1;Genève-Servette HC;50;175;3.50;44;0.88;25.14;277:42;05:33;5;0.10
2;ZSC Lions;50;179;3.58;45;0.90;25.14;278:23;05:34;2;0.04
3;SC Bern;50;212;4.24;51;1.02;24.06;319:24;06:23;3;0.06
4;EV Zug;50;195;3.90;43;0.86;22.05;307:13;06:08;3;0.06
5;Kloten Flyers;50;159;3.18;35;0.70;22.01;269:32;05:23;2;0.04
6;EHC Biel;50;200;4.00;44;0.88;22;311:08;06:13;5;0.10
7;Fribourg-Gottéron;50;197;3.94;40;0.80;20.30;295:31;05:54;6;0.12
;Durchschnitt;50;184;3.68;37;0.74;20.11;292:31;05:51;4;0.08
8;HC Davos;50;176;3.52;33;0.66;18.75;285:06;05:42;3;0.06
9;Lausanne HC;50;179;3.58;30;0.60;16.76;286:26;05:43;7;0.14
10;HC Lugano;50;189;3.78;31;0.62;16.40;297:15;05:56;5;0.10
11;HC Ambri-Piotta;50;175;3.50;28;0.56;16;277:58;05:33;6;0.12
12;SCL Tigers;50;182;3.64;29;0.58;15.93;304:38;06:05;5;0.10
