R;Team;GP;PP OP;PP OP/GP;PPG;PPG/GP;PP%;PPT;PP time/GP;PP GA;PP GA/GP
1;HC Lugano;50;207;4.14;45;0.90;21.74;332:59;06:39;6;0.12
2;EV Zug;50;198;3.96;41;0.82;20.71;377:09;07:32;7;0.14
3;SC Bern;50;179;3.58;36;0.72;20.11;279:59;05:35;4;0.08
4;Kloten Flyers;50;209;4.18;38;0.76;18.18;319:51;06:23;2;0.04
5;Fribourg-Gottéron;50;203;4.06;35;0.70;17.24;331:20;06:37;5;0.10
6;SC Rapperswil-Jona Lakers;50;172;3.44;28;0.56;16.28;274:54;05:29;9;0.18
;Durchschnitt;50;198;3.96;32;0.64;16.16;326:31;06:31;5;0.10
7;HC Davos;50;182;3.64;29;0.58;15.93;293:07;05:51;1;0.02
8;EHC Biel;50;198;3.96;30;0.60;15.15;323:53;06:28;4;0.08
9;HC Ambri-Piotta;50;226;4.52;34;0.68;15.04;369:19;07:23;5;0.10
10;SCL Tigers;50;203;4.06;29;0.58;14.29;333:43;06:40;7;0.14
11;Genève-Servette HC;50;209;4.18;27;0.54;12.92;349:18;06:59;7;0.14
12;ZSC Lions;50;196;3.92;19;0.38;9.69;332:43;06:39;3;0.06
