R;Spieler;Team;Pos;GP;G;A;A1;A2;GWG;EQG;EQA;PPG;PPA;SHG;SHA
1;Sykora Petr;HC Davos;Stürmer;43;35;15;11;4;10;22;9;6;5;7;1
2;Plüss Martin;SC Bern;Stürmer;47;22;16;14;2;3;15;11;6;4;1;1
3;Bednar Jaroslav;HC Davos;Stürmer;45;21;28;21;7;2;14;16;5;7;2;5
4;Brunner Damien;EV Zug;Stürmer;40;19;27;16;11;4;13;18;6;9;0;0
5;Spylo Ahren;EHC Biel;Stürmer;49;19;19;7;12;3;7;9;10;10;2;0
6;Bieber Matthias;Kloten Flyers;Stürmer;46;19;15;8;7;5;10;6;6;7;3;2
7;Casutt Corsin;EV Zug;Stürmer;50;18;14;9;5;3;15;13;3;1;0;0
8;Pelletier Pascal;SCL Tigers;Stürmer;47;17;21;14;7;2;10;14;7;6;0;1
9;Christen Björn;EV Zug;Stürmer;44;17;17;7;10;3;14;12;3;5;0;0
10;Vigier Jean-Pierre;SC Bern;Stürmer;49;17;16;9;7;1;15;14;1;2;1;0
11;Suri Reto;SC Rapperswil-Jona Lakers;Stürmer;49;17;13;5;8;2;12;9;4;4;1;0
12;Bodenmann Simon;Kloten Flyers;Stürmer;41;17;9;7;2;4;14;9;3;0;0;0
13;Holden Josh;EV Zug;Stürmer;43;16;36;19;17;3;8;23;7;13;1;0
14;Domenichelli Hnat;HC Lugano;Stürmer;48;16;27;14;13;0;11;12;4;15;1;0
15;Sprunger Julien;Fribourg-Gottéron;Stürmer;50;16;26;17;9;2;6;19;10;7;0;0
16;Plüss Benny;Fribourg-Gottéron;Stürmer;50;16;15;5;10;1;12;8;4;7;0;0
17;Bell Mark;Kloten Flyers;Stürmer;41;16;10;8;2;4;11;8;5;0;0;2
18;Metropolit Glen;EV Zug;Stürmer;47;15;38;20;18;4;11;30;4;8;0;0
19;Von Arx Reto;HC Davos;Stürmer;49;15;33;18;15;5;12;21;3;11;0;1
20;Pittis Domenico;ZSC Lions;Stürmer;50;15;27;13;14;2;10;15;5;12;0;0
21;Rüthemann Ivo;SC Bern;Stürmer;48;15;22;9;13;2;11;10;3;12;1;0
22;Gardner Ryan;SC Bern;Stürmer;49;15;20;14;6;2;11;16;4;4;0;0
23;Park Richard;Genève-Servette HC;Stürmer;47;15;19;7;12;4;13;11;1;8;1;0
24;Fritsche Dan;Genève-Servette HC;Stürmer;39;15;18;11;7;4;7;16;8;2;0;0
25;Roest Stacy;SC Rapperswil-Jona Lakers;Stürmer;50;14;39;22;17;0;9;26;4;12;1;1
26;Dubé Christian;SC Bern;Stürmer;44;14;35;17;18;2;8;27;5;8;1;0
27;Nordgren Niklas;SC Rapperswil-Jona Lakers;Stürmer;46;14;25;15;10;0;9;19;5;6;0;0
28;Rintanen Kimmo;Kloten Flyers;Stürmer;36;14;20;13;7;3;8;11;3;8;3;1
29;Bourque Chris;HC Lugano;Stürmer;39;14;19;12;7;3;10;9;4;9;0;1
30;Taticek Petr;HC Davos;Stürmer;38;14;17;13;4;3;12;12;2;5;0;0
31;Steiner Daniel;SCL Tigers;Stürmer;37;14;17;12;5;2;11;10;3;7;0;0
32;Lötscher Kevin;EHC Biel;Verteidiger;48;14;16;8;8;3;9;11;5;5;0;0
33;Bastl Mark;ZSC Lions;Stürmer;50;14;15;7;8;2;6;12;8;3;0;0
34;Schnyder Fabian;EV Zug;Stürmer;50;14;14;10;4;2;14;12;0;2;0;0
35;Lehoux Yannick;HC Ambri-Piotta;Stürmer;26;14;8;3;5;2;8;4;5;4;1;0
36;Jeannin Sandy;Fribourg-Gottéron;Stürmer;47;13;29;16;13;1;8;14;3;15;2;0
37;Monnet Thibaut;ZSC Lions;Stürmer;47;13;23;14;9;1;11;20;2;3;0;0
38;Fata Rico;EHC Biel;Stürmer;47;13;21;12;9;1;10;10;3;11;0;0
39;Reber Jörg;SCL Tigers;Verteidiger;50;13;17;9;8;2;5;9;8;8;0;0
40;Hollenstein Denis;Kloten Flyers;Stürmer;45;13;16;10;6;1;11;12;2;4;0;0
41;Sciaroni Gregory;HC Davos;Stürmer;46;13;7;4;3;3;9;5;4;2;0;0
42;Iggulden Mike;SCL Tigers;Stürmer;50;12;28;14;14;1;8;16;4;12;0;0
43;Diaz Raphael;EV Zug;Verteidiger;45;12;27;17;10;2;9;18;3;9;0;0
44;Toms Jeff;Genève-Servette HC;Stürmer;43;12;24;14;10;1;8;15;4;9;0;0
45;Genoway Colby;HC Lugano;Stürmer;41;12;18;10;8;1;6;7;5;11;1;0
46;Vauclair Julien;HC Lugano;Verteidiger;40;12;7;4;3;2;4;5;8;2;0;0
47;Dupont Micki;Kloten Flyers;Verteidiger;49;11;30;15;15;2;8;13;2;14;1;3
48;Gamache Simon;SC Bern;Stürmer;32;11;25;16;9;5;7;21;4;4;0;0
49;Ambühl Andres;ZSC Lions;Stürmer;50;11;16;11;5;4;10;10;1;6;0;0
50;Pestoni Inti;HC Ambri-Piotta;Stürmer;42;11;16;10;6;1;7;10;4;6;0;0
51;Deruns Thomas;SC Bern;Stürmer;42;11;13;8;5;1;9;11;2;2;0;0
52;Moser Simon;SCL Tigers;Stürmer;46;11;12;7;5;3;9;9;2;3;0;0
53;Wieser Dino;HC Davos;Stürmer;50;11;10;9;1;0;9;10;1;0;1;0
54;Santala Tommi;Kloten Flyers;Stürmer;49;10;36;22;14;1;4;22;5;10;1;4
55;Murphy Cory;ZSC Lions;Verteidiger;49;10;25;12;13;0;5;12;5;13;0;0
56;Liniger Michael;Kloten Flyers;Stürmer;46;10;22;13;9;2;5;13;5;9;0;0
57;McLean Brett;SC Bern;Stürmer;50;10;17;11;6;3;9;14;1;3;0;0
58;Ehrensperger Gianni;EHC Biel;Stürmer;41;10;16;7;9;1;6;11;4;5;0;0
59;Burkhalter Loic;SC Rapperswil-Jona Lakers;Stürmer;48;10;15;8;7;2;7;12;3;3;0;0
60;Walsky Eric;Genève-Servette HC;Stürmer;47;10;13;7;6;2;7;11;3;2;0;0
61;Wozniewski Andy;EV Zug;Verteidiger;50;10;13;6;7;2;7;10;3;3;0;0
62;Stancescu Victor;Kloten Flyers;Stürmer;41;10;13;5;8;6;7;11;1;2;2;0
