R;Team;GP;GF;GF/GP;GA;GA/GP;GF even;GF even/GP;GA even;GA even/GP;PPG;PPG/GP;PP GA;PP GA/GP;SHG;PK GF/GP;PK GA;PK GA/GP;SOWGF;SOWGA
1;ZSC Lions;50;185;3.70;165;3.30;133;2.66;104;2.08;45;0.90;10;0.20;5;0.10;42;0.84;2;4
2;HC Davos;50;181;3.62;124;2.48;125;2.50;82;1.64;43;0.86;1;0.02;10;0.20;39;0.78;3;2
3;Genève-Servette HC;50;166;3.32;113;2.26;111;2.22;74;1.48;40;0.80;4;0.08;11;0.22;33;0.66;4;2
4;EV Zug;50;165;3.30;125;2.50;101;2.02;86;1.72;50;1.00;4;0.08;6;0.12;34;0.68;3;1
5;Kloten Flyers;50;163;3.26;138;2.76;104;2.08;90;1.80;46;0.92;2;0.04;7;0.14;44;0.88;6;2
6;SC Bern;50;154;3.08;117;2.34;113;2.26;82;1.64;34;0.68;3;0.06;4;0.08;28;0.56;3;4
7;HC Lugano;50;153;3.06;166;3.32;103;2.06;105;2.10;44;0.88;7;0.14;3;0.06;50;1.00;3;4
;Durchschnitt;50;151;3.02;151;3.02;102;2.04;102;2.04;40;0.80;5;0.10;5;0.10;40;0.80;2;2
8;Fribourg-Gottéron;50;145;2.90;160;3.20;101;2.02;107;2.14;35;0.70;8;0.16;6;0.12;42;0.84;3;3
9;SCL Tigers;50;141;2.82;192;3.84;94;1.88;136;2.72;42;0.84;10;0.20;3;0.06;42;0.84;2;4
10;EHC Biel;50;134;2.68;182;3.64;80;1.60;129;2.58;44;0.88;5;0.10;7;0.14;45;0.90;3;3
11;SC Rapperswil-Jona Lakers;50;129;2.58;154;3.08;89;1.78;104;2.08;36;0.72;6;0.12;4;0.08;42;0.84;0;2
12;HC Ambri-Piotta;50;107;2.14;187;3.74;71;1.42;126;2.52;31;0.62;9;0.18;3;0.06;49;0.98;2;3
