R;Team;GP;GF;GF/GP;GA;GA/GP;GF even;GF even/GP;GA even;GA even/GP;PPG;PPG/GP;PP GA;PP GA/GP;SHG;PK GF/GP;PK GA;PK GA/GP;SOWGF;SOWGA
1;EV Zug;50;166;3.32;126;2.52;115;2.30;81;1.62;37;0.74;3;0.06;9;0.18;38;0.76;5;4
2;HC Davos;50;164;3.28;132;2.64;128;2.56;93;1.86;26;0.52;4;0.08;7;0.14;30;0.60;3;5
3;SC Bern;50;158;3.16;120;2.40;117;2.34;83;1.66;35;0.70;5;0.10;3;0.06;27;0.54;3;5
4;HC Lugano;50;155;3.10;127;2.54;102;2.04;92;1.84;45;0.90;4;0.08;2;0.04;29;0.58;6;2
5;Genève-Servette HC;50;154;3.08;154;3.08;109;2.18;108;2.16;33;0.66;10;0.20;9;0.18;30;0.60;3;6
6;ZSC Lions;50;148;2.96;106;2.12;115;2.30;73;1.46;28;0.56;1;0.02;3;0.06;27;0.54;2;5
7;Fribourg-Gottéron;50;144;2.88;177;3.54;106;2.12;135;2.70;29;0.58;7;0.14;3;0.06;32;0.64;6;3
8;EHC Biel;50;142;2.84;164;3.28;101;2.02;122;2.44;35;0.70;3;0.06;3;0.06;37;0.74;3;2
;Durchschnitt;50;141;2.82;141;2.82;100;2.00;100;2.00;32;0.64;4;0.08;4;0.08;32;0.64;4;4
9;HC Ambri-Piotta;50;124;2.48;167;3.34;86;1.72;124;2.48;28;0.56;2;0.04;5;0.10;37;0.74;5;4
10;SC Rapperswil-Jona Lakers;50;121;2.42;165;3.30;72;1.44;124;2.48;41;0.82;6;0.12;4;0.08;30;0.60;4;5
11;Kloten Flyers;50;117;2.34;144;2.88;80;1.60;94;1.88;29;0.58;3;0.06;4;0.08;44;0.88;4;3
12;Lausanne HC;50;105;2.10;116;2.32;70;1.40;72;1.44;29;0.58;6;0.12;2;0.04;34;0.68;4;4
