R;Spieler;Team;Pos;GP;PIM Total;2' ;5';10';GM;MP
328;Mosimann Jan;EHC Biel;Stürmer;4;0;0;0;0;0;0
329;Montandon Maxime;Fribourg-Gottéron;Verteidiger;5;0;0;0;0;0;0
330;Merola Melvin;Fribourg-Gottéron;Stürmer;1;0;0;0;0;0;0
331;Meier Patrick;SC Rapperswil-Jona Lakers;Stürmer;1;0;0;0;0;0;0
332;Marchon Marc;EV Zug;Stürmer;3;0;0;0;0;0;0
333;Leonelli Nicolas;Genève-Servette HC;Stürmer;20;0;0;0;0;0;0
334;Lemm Aurelio;Kloten Flyers;Stürmer;31;0;0;0;0;0;0
335;Küng Mike;EV Zug;Verteidiger;3;0;0;0;0;0;0
336;Krutov Alexei;Genève-Servette HC;Stürmer;4;0;0;0;0;0;0
337;Kindschi Simon;HC Davos;Verteidiger;1;0;0;0;0;0;0
338;Kessler Tino;HC Davos;Stürmer;3;0;0;0;0;0;0
339;Jurcina Milan;Fribourg-Gottéron;Verteidiger;2;0;0;0;0;0;0
340;Incir Patrick;HC Ambri-Piotta;Stürmer;8;0;0;0;0;0;0
341;Hüsler Cedric;SC Rapperswil-Jona Lakers;Stürmer;14;0;0;0;0;0;0
342;Hügli Michael;EV Zug;Stürmer;9;0;0;0;0;0;0
343;Högger Fabio;Kloten Flyers;Stürmer;4;0;0;0;0;0;0
344;Hischier Luca;SC Bern;Stürmer;4;0;0;0;0;0;0
345;Hennessy Josh;Kloten Flyers;Stürmer;1;0;0;0;0;0;0
346;Grillfors Daniel;SC Bern;Verteidiger;3;0;0;0;0;0;0
347;Grigioni Manuel;SC Rapperswil-Jona Lakers;Verteidiger;10;0;0;0;0;0;0
348;Gailland Jérémy;Lausanne HC;Stürmer;4;0;0;0;0;0;0
349;Füglister Jeffrey;EHC Biel;Stürmer;13;0;0;0;0;0;0
350;Eigenmann Daniel;Lausanne HC;Verteidiger;10;0;0;0;0;0;0
351;Dupertuis Joey;Genève-Servette HC;Verteidiger;8;0;0;0;0;0;0
352;Dufner Mauro;SC Bern;Verteidiger;1;0;0;0;0;0;0
353;Douay Floran;Genève-Servette HC;Stürmer;2;0;0;0;0;0;0
354;Damon Derek;SC Rapperswil-Jona Lakers;Stürmer;1;0;0;0;0;0;0
355;Camperchioli Luca;HC Davos;Verteidiger;1;0;0;0;0;0;0
356;Büsser Xeno;ZSC Lions;Verteidiger;3;0;0;0;0;0;0
357;Augsburger Gaëtan;Lausanne HC;Stürmer;13;0;0;0;0;0;0
358;Aeschlimann Marc;HC Davos;Stürmer;7;0;0;0;0;0;0
