R;Spieler;Team;Pos;GP;PIM Total;2' ;5';10';GM;MP
1;Wozniewski Andy;EV Zug;Verteidiger;50;123;34;1;3;1;0
2;Heins Shawn;Fribourg-Gottéron;Verteidiger;50;121;33;1;3;1;0
3;Ruefenacht Thomas;EV Zug;Stürmer;50;119;22;1;5;1;0
4;Maurer Marco;SC Rapperswil-Jona Lakers;Verteidiger;48;115;35;1;2;1;0
5;Seger Mathias;ZSC Lions;Verteidiger;48;102;41;0;2;0;0
6;Snell Wesley;EV Zug;Verteidiger;50;100;30;0;4;0;0
7;Pelletier Pascal;SCL Tigers;Stürmer;47;95;20;1;3;1;0
8;Forster Beat;HC Davos;Verteidiger;47;93;29;1;1;1;0
9;Hollenstein Denis;Kloten Flyers;Stürmer;45;92;31;0;3;0;0
10;Joggi Mathias;HC Davos;Stürmer;46;85;25;1;1;1;0
11;Ziegler Thomas;ZSC Lions;Stürmer;47;83;24;1;1;1;0
12;Genoway Colby;HC Lugano;Stürmer;41;80;20;0;2;1;0
13;Seydoux Philippe;EHC Biel;Verteidiger;42;79;17;1;2;1;0
14;Santala Tommi;Kloten Flyers;Stürmer;49;78;29;0;2;0;0
15;Gobbi John;Genève-Servette HC;Verteidiger;45;78;24;0;1;1;0
16;Grossmann Robin;HC Davos;Verteidiger;50;72;26;0;2;0;0
17;Chiesa Alessandro;EV Zug;Verteidiger;50;71;18;1;1;1;0
18;Bezina Goran;Genève-Servette HC;Verteidiger;50;70;20;0;1;1;0
19;Pittis Domenico;ZSC Lions;Stürmer;50;68;24;0;2;0;0
20;Fritsche Dan;Genève-Servette HC;Stürmer;39;66;23;0;2;0;0
21;Camichel Duri;EV Zug;Stürmer;50;62;11;0;2;1;0
22;Walker Julian;HC Ambri-Piotta;Stürmer;41;61;8;1;2;1;0
23;Rivera Christopher;Genève-Servette HC;Stürmer;19;61;8;1;2;1;0
24;Krueger Justin;SC Bern;Verteidiger;50;61;18;1;0;1;0
25;Gerber Lukas;Fribourg-Gottéron;Verteidiger;38;61;13;1;1;0;1
26;Vigier Jean-Pierre;SC Bern;Stürmer;49;60;20;0;2;0;0
27;Taticek Petr;HC Davos;Stürmer;38;60;5;2;0;0;2
28;Lemm Romano;Kloten Flyers;Stürmer;41;60;10;0;2;1;0
29;Stancescu Victor;Kloten Flyers;Stürmer;41;58;24;0;1;0;0
30;Mowers Mark;Fribourg-Gottéron;Stürmer;28;58;4;0;1;2;0
31;Bell Mark;Kloten Flyers;Stürmer;41;58;24;0;1;0;0
32;Schilt Sebastian;SCL Tigers;Verteidiger;45;57;16;1;0;1;0
33;Suri Reto;SC Rapperswil-Jona Lakers;Stürmer;49;55;10;1;1;1;0
34;Lindemann Kim;SCL Tigers;Verteidiger;43;55;15;1;0;0;1
35;Von Arx Reto;HC Davos;Stürmer;49;54;27;0;0;0;0
36;Steinegger Martin;EHC Biel;Verteidiger;46;54;27;0;0;0;0
37;Holden Josh;EV Zug;Stürmer;43;54;17;0;2;0;0
38;Denisov Vladimir;HC Ambri-Piotta;Verteidiger;37;54;22;0;1;0;0
39;Nolan Owen;ZSC Lions;Stürmer;24;53;9;1;1;1;0
40;Du Bois Felicien;Kloten Flyers;Verteidiger;47;53;14;1;0;1;0
41;Reber Jörg;SCL Tigers;Verteidiger;50;52;21;0;1;0;0
42;Wetzel Philipp;EHC Biel;Stürmer;39;51;8;1;1;1;0
43;Müller Pascal;ZSC Lions;Verteidiger;43;51;13;1;0;1;0
44;Christen Björn;EV Zug;Stürmer;44;51;13;1;0;1;0
