R;Spieler;Team;Pos;GP;PIM Total;2' ;5';10';GM;MP
1;Morant Johan;EV Zug;Verteidiger;47;116;18;2;1;3;0
2;Forster Beat;HC Davos;Verteidiger;44;116;23;0;3;2;0
3;Rivera Christopher;Fribourg-Gottéron;Stürmer;44;99;17;1;2;2;0
4;Koistinen Ville;SCL Tigers;Verteidiger;46;78;14;2;0;2;0
5;Schilt Sebastian;Fribourg-Gottéron;Verteidiger;44;75;15;1;0;2;0
6;Chiesa Alessandro;HC Lugano;Verteidiger;44;74;12;2;0;2;0
7;Suri Reto;EV Zug;Stürmer;48;73;19;1;1;1;0
8;Joggi Mathias;EHC Biel;Stürmer;37;73;19;1;1;1;0
9;Bezina Goran;Genève-Servette HC;Verteidiger;50;73;24;1;0;1;0
10;Zgraggen Jesse;HC Ambri-Piotta;Verteidiger;39;70;10;2;0;2;0
11;Vauclair Tristan;Fribourg-Gottéron;Stürmer;43;70;10;2;0;2;0
12;Conacher Cory;SC Bern;Stürmer;48;68;29;0;1;0;0
13;Sheppard James;Kloten Flyers;Stürmer;37;67;16;1;1;1;0
14;Wieser Dino;HC Davos;Stürmer;43;63;14;1;1;1;0
15;Brejcak Jan;HC Davos;Verteidiger;28;63;14;1;1;1;0
16;Mottet Killian;Fribourg-Gottéron;Stürmer;50;62;26;0;1;0;0
17;Marchon Marc;EV Zug;Stürmer;27;62;6;2;0;2;0
18;Axelsson Dick;HC Davos;Stürmer;38;62;11;0;2;1;0
19;Schneeberger Noah;HC Davos;Verteidiger;41;57;11;1;1;1;0
20;Herzog Fabrice;ZSC Lions;Stürmer;34;57;11;1;1;1;0
21;Macenauer Maxime;EHC Biel;Stürmer;36;55;15;1;0;1;0
22;Maurer Marco;EHC Biel;Verteidiger;50;54;22;0;1;0;0
23;Helbling Timo;SC Bern;Verteidiger;50;54;22;0;1;0;0
24;Wick Jeremy;Genève-Servette HC;Stürmer;45;53;14;1;0;1;0
25;Vauclair Julien;HC Lugano;Verteidiger;42;53;9;1;1;1;0
26;Clark Kevin;SCL Tigers;Stürmer;42;53;14;1;0;1;0
27;Weisskopf Dan;SCL Tigers;Verteidiger;43;52;21;0;1;0;0
28;Pettersson Fredrik;HC Lugano;Stürmer;50;52;16;0;0;1;0
29;Loeffel Romain;Genève-Servette HC;Verteidiger;50;52;11;0;1;1;0
30;Steiner Daniel;EHC Biel;Stürmer;45;51;13;1;0;1;0
31;Santala Tommi;Kloten Flyers;Stürmer;48;50;25;0;0;0;0
32;Blaser Yannick;EV Zug;Verteidiger;34;49;7;1;1;1;0
33;Bergenheim Sean;SC Bern;Stürmer;21;49;12;1;0;1;0
34;Moser Simon;SC Bern;Stürmer;50;48;19;0;1;0;0
35;Hofmann Gregory;HC Lugano;Stürmer;46;47;11;1;0;1;0
