Team,Year,GF,PK SI,PK SI/GP,PK GA,PK GA/GP,PK%,PKT,PK time/GP,SHG,PK GF/GP,GF/GP,GA,GA/GP,GF even,GF even/GP,GA even,GA even/GP,PPG,PPG/GP,PP GA,PP GA/GP,SOWGF,SOWGA,2' ,5',10',GM,MP,PIM Total,PP OP,PP OP/GP,PP%,PPT,PP time/GP,Number of year
HC Lugano,1516,157,179,3.58,33,0.66,81.56,17688,353,4,0.08,3.14,150,3.0,118,2.36,111,2.22,31,0.62,5,0.1,4,1,213,6,1,7,0,606,189,3.78,16.4,17835,356,1
HC Red Ice,1213,151,201,4.02,44,0.88,78.11,18950,379,7,0.14,3.02,170,3.4,101,2.02,119,2.38,39,0.78,4,0.08,4,3,224,3,7,2,1,593,227,4.54,17.18,21032,420,1
HC Red Ice,1314,138,174,3.87,18,0.4,89.66,17667,392,3,0.07,3.07,119,2.64,107,2.38,92,2.04,25,0.56,7,0.16,3,2,204,2,6,2,0,518,163,3.62,15.34,16683,370,1
HC Red Ice,1415,147,213,4.44,42,0.88,80.28,20435,425,6,0.12,3.06,133,2.77,101,2.1,84,1.75,36,0.75,5,0.1,4,2,239,0,5,1,0,548,183,3.81,19.67,17174,357,1
HC Red Ice,1516,113,170,3.78,29,0.64,82.94,16700,371,0,0.0,2.51,128,2.84,77,1.71,93,2.07,33,0.73,7,0.16,1,3,198,3,3,3,0,501,181,4.02,18.23,17183,381,1
HC Sierre,0910,161,243,5.40,40,0.89,83.54,23413,520,10,0.22,3.58,132,2.93,103,2.29,84,1.87,51,1.13,4,0.09,3,4,290,3,11,3,0,765,232,5.16,21.98,21645,481,1
HC Sierre,1011,149,246,5.47,53,1.18,78.46,22720,504,13,0.29,3.31,166,3.69,79,1.76,103,2.29,56,1.24,9,0.2,1,1,296,5,13,6,0,867,270,6.0,20.74,24095,535,1
HC Sierre,1112,114,235,5.22,49,1.09,79.15,23701,526,8,0.18,2.53,177,3.93,67,1.49,115,2.56,35,0.78,11,0.24,4,2,253,5,16,5,1,811,206,4.58,16.99,19430,431,1
HC Sierre,1213,103,266,5.32,67,1.34,74.81,23622,472,2,0.04,2.06,275,5.5,73,1.46,192,3.84,27,0.54,15,0.3,1,1,293,4,9,3,1,776,210,4.2,12.86,19419,388,1
Hockey Thurgau,0910,131,209,4.64,49,1.09,76.56,18615,413,4,0.09,2.91,189,4.20,99,2.20,130,2.89,36,0.80,9,0.20,1,1,258,2,12,4,1,746,185,4.11,19.46,17303,384,1
Hockey Thurgau,1011,133,223,4.96,55,1.22,75.34,20586,457,6,0.13,2.96,198,4.4,100,2.22,130,2.89,27,0.6,10,0.22,0,3,264,2,15,4,0,768,191,4.24,14.14,19323,429,1
Hockey Thurgau,1112,118,223,4.96,51,1.13,77.13,20687,459,9,0.2,2.62,170,3.78,77,1.71,106,2.36,25,0.56,11,0.24,2,2,243,5,16,5,1,791,194,4.31,12.89,18370,408,1
Hockey Thurgau,1213,121,237,4.74,47,0.94,80.17,21427,428,1,0.02,2.42,219,4.38,75,1.5,156,3.12,43,0.86,13,0.26,2,3,283,3,17,3,0,811,237,4.74,18.14,21979,439,1
Hockey Thurgau,1314,144,193,4.29,49,1.09,74.61,17763,394,6,0.13,3.2,160,3.56,111,2.47,97,2.16,27,0.6,10,0.22,0,4,210,1,16,1,0,605,176,3.91,15.34,17064,379,1
Hockey Thurgau,1415,112,205,4.27,31,0.65,84.88,18989,395,4,0.08,2.33,156,3.25,68,1.42,117,2.44,36,0.75,7,0.15,4,1,243,0,5,0,0,536,212,4.42,16.98,20147,419,1
Hockey Thurgau,1516,124,198,4.4,54,1.2,72.73,18389,408,6,0.13,2.76,164,3.64,94,2.09,107,2.38,20,0.44,2,0.04,4,1,219,6,2,7,0,628,167,3.71,11.98,16333,362,1
Kloten Flyers,0809,174,271,5.42,42,0.84,84.5,25481,509,11,0.22,3.48,130,2.6,110,2.2,85,1.7,53,1.06,3,0.06,0,0,301,3,18,4,0,877,310,6.2,17.1,31230,624,1
Kloten Flyers,0910,163,237,4.74,44,0.88,81.43,21363,427,7,0.14,3.26,138,2.76,104,2.08,90,1.8,46,0.92,2,0.04,6,2,270,4,7,3,1,710,236,4.72,19.49,21709,434,1
Kloten Flyers,1011,170,210,4.2,30,0.6,85.71,20049,400,12,0.24,3.4,111,2.22,110,2.2,73,1.46,44,0.88,5,0.1,4,3,284,1,14,2,0,753,243,4.86,18.11,23569,471,1
Kloten Flyers,1112,158,206,4.12,35,0.7,83.01,20220,404,8,0.16,3.16,117,2.34,111,2.22,78,1.56,38,0.76,2,0.04,1,2,266,4,6,4,0,692,209,4.18,18.18,19191,383,1
Kloten Flyers,1213,151,221,4.42,40,0.8,81.9,21258,425,5,0.1,3.02,137,2.74,115,2.3,90,1.8,26,0.52,3,0.06,5,4,245,5,12,4,2,755,212,4.24,12.26,20868,417,1
Kloten Flyers,1314,147,200,4.0,28,0.56,86.0,18807,376,6,0.12,2.94,121,2.42,98,1.96,92,1.84,38,0.76,1,0.02,5,0,237,4,10,5,0,694,194,3.88,19.59,17539,350,1
Kloten Flyers,1415,117,199,3.98,44,0.88,77.89,18035,360,4,0.08,2.34,144,2.88,80,1.6,94,1.88,29,0.58,3,0.06,4,3,222,1,2,1,0,489,189,3.78,15.34,17485,349,1
Kloten Flyers,1516,154,168,3.36,39,0.78,76.79,16193,323,6,0.12,3.08,150,3.0,110,2.2,109,2.18,35,0.7,2,0.04,3,0,188,2,3,2,0,456,159,3.18,22.01,16172,323,1
Lausanne HC,0910,166,248,5.51,42,0.93,83.06,23661,525,10,0.22,3.69,121,2.69,119,2.64,74,1.64,52,1.16,3,0.07,1,2,316,3,12,3,0,827,232,5.16,22.41,20472,454,1
Lausanne HC,1011,159,194,4.31,39,0.87,79.9,18206,404,9,0.2,3.53,122,2.71,114,2.53,74,1.64,32,0.71,8,0.18,4,1,233,3,8,2,1,621,190,4.22,16.84,17937,398,1
