R;Spieler;Team;Pos;GP;G;A;A1;A2;GWG;EQG;EQA;PPG;PPA;SHG;SHA
1;Martschini Lino;EV Zug;Stürmer;50;26;28;14;14;4;19;17;7;11;0;0
2;Pettersson Fredrik;HC Lugano;Stürmer;50;26;22;16;6;5;19;13;7;9;0;0
3;Sprunger Julien;Fribourg-Gottéron;Stürmer;43;25;11;8;3;3;16;5;9;6;0;0
4;Wieser Marc;HC Davos;Stürmer;50;24;25;14;11;4;21;20;3;4;0;1
5;Matthews Auston;ZSC Lions;Stürmer;36;24;22;13;9;6;19;13;5;9;0;0
6;Immonen Jarkko;EV Zug;Stürmer;49;24;17;12;5;9;14;11;10;6;0;0
7;Lindgren Perttu;HC Davos;Stürmer;50;22;40;31;9;3;14;29;4;10;4;1
8;Conacher Cory;SC Bern;Stürmer;48;22;30;15;15;0;9;20;13;10;0;0
9;Pesonen Harri;Lausanne HC;Stürmer;50;22;24;15;9;2;19;12;3;12;0;0
10;D'Agostini Matt;Genève-Servette HC;Stürmer;46;20;20;11;9;2;10;14;8;6;2;0
11;Holden Josh;EV Zug;Stürmer;48;18;30;16;14;1;10;18;7;11;1;1
12;Clark Kevin;SCL Tigers;Stürmer;42;18;19;9;10;2;14;15;4;4;0;0
13;Suri Reto;EV Zug;Stürmer;48;18;16;14;2;2;14;13;2;3;2;0
14;Praplan Vincent;Kloten Flyers;Stürmer;50;18;15;7;8;2;14;11;4;4;0;0
15;Keller Ryan;ZSC Lions;Stürmer;47;18;12;6;6;3;9;9;8;2;1;1
16;Giroux Alexandre;HC Ambri-Piotta;Stürmer;48;17;19;11;8;4;16;10;1;9;0;0
17;Hofmann Gregory;HC Lugano;Stürmer;46;17;14;8;6;2;13;13;3;1;1;0
18;Moser Simon;SC Bern;Stürmer;50;16;17;13;4;5;8;12;8;5;0;0
19;Plüss Martin;SC Bern;Stürmer;50;16;16;9;7;2;9;6;7;9;0;1
20;Pestoni Inti;HC Ambri-Piotta;Stürmer;50;15;25;19;6;2;14;17;1;8;0;0
21;Emmerton Cory;HC Ambri-Piotta;Stürmer;49;15;21;12;9;1;11;12;3;9;1;0
22;Bieber Matthias;Kloten Flyers;Stürmer;48;15;15;8;7;5;10;10;5;5;0;0
