R;Spieler;Team;Pos;GP;G;A;A1;A2;GWG;EQG;EQA;PPG;PPA;SHG;SHA
1;Murray Brady;HC Lugano;Stürmer;36;26;15;11;4;4;14;6;12;9;0;0
2;Kolnik Juraj;Genève-Servette HC;Stürmer;49;25;47;20;27;4;17;31;8;15;0;1
3;Nordgren Niklas;SC Rapperswil-Jona Lakers;Stürmer;49;25;28;17;11;3;14;15;10;12;1;1
4;Gardner Ryan;ZSC Lions;Stürmer;50;25;28;17;11;4;9;18;16;9;0;1
5;Sprunger Julien;Fribourg-Gottéron;Stürmer;47;25;21;10;11;6;15;10;10;11;0;0
6;Riesen Michel;HC Davos;Stürmer;50;24;17;14;3;2;15;9;9;8;0;0
7;Wick Roman;Kloten Flyers;Stürmer;45;24;17;7;10;6;16;12;7;4;1;1
8;Steiner Daniel;SCL Tigers;Stürmer;50;24;16;10;6;2;16;11;8;5;0;0
9;Rintanen Kimmo;Kloten Flyers;Stürmer;50;23;44;34;10;4;14;23;8;19;1;2
10;Sykora Petr;HC Davos;Stürmer;49;23;16;11;5;2;15;12;7;4;1;0
11;Thoresen Patrick;HC Lugano;Stürmer;48;22;41;25;16;4;13;21;8;19;1;1
12;Ritchie Byron;Genève-Servette HC;Stürmer;45;22;38;27;11;4;18;26;3;12;1;0
13;Berglund Christian;SC Rapperswil-Jona Lakers;Stürmer;49;22;25;17;8;4;14;13;7;12;1;0
14;Nummelin Petteri;HC Lugano;Verteidiger;41;21;39;26;13;2;6;18;14;20;1;1
15;Plüss Martin;SC Bern;Stürmer;38;21;22;12;10;1;12;14;8;8;1;0
16;Domenichelli Hnat;HC Lugano;Stürmer;40;21;19;8;11;5;12;4;9;15;0;0
17;Westrum Erik;HC Ambri-Piotta;Stürmer;32;21;18;11;7;1;13;4;6;14;2;0
18;Rüthemann Ivo;SC Bern;Stürmer;37;20;25;15;10;2;12;12;7;13;1;0
19;Guggisberg Peter;HC Davos;Stürmer;48;20;19;16;3;6;17;15;2;3;1;1
20;Vigier Jean-Pierre;Genève-Servette HC;Stürmer;35;20;11;5;6;6;14;9;6;2;0;0
21;Gamache Simon;SC Bern;Stürmer;48;19;35;19;16;2;8;27;7;6;4;2
22;Fischer Patrick;EV Zug;Stürmer;50;19;27;14;13;3;9;19;9;8;1;0
23;Nüssli Thomas;EHC Biel;Stürmer;48;19;18;10;8;1;15;11;4;7;0;0
24;Duca Paolo;HC Ambri-Piotta;Stürmer;50;18;29;23;6;1;11;16;6;13;1;0
25;Fata Rico;EHC Biel;Stürmer;45;18;19;11;8;3;10;14;7;5;1;0
26;Roest Stacy;SC Rapperswil-Jona Lakers;Stürmer;50;17;46;24;22;1;15;23;1;21;1;2
27;Holden Josh;EV Zug;Stürmer;49;17;32;17;15;1;8;11;7;19;2;2
28;Jenni Marcel;Kloten Flyers;Stürmer;50;17;30;18;12;1;7;21;8;7;2;2
29;Ambühl Andres;HC Davos;Stürmer;50;17;24;16;8;1;12;17;3;7;2;0
30;Roche Travis;SC Bern;Verteidiger;49;16;32;16;16;6;9;17;6;14;1;1
31;Sejna Peter;ZSC Lions;Stürmer;41;16;26;17;9;2;10;7;6;18;0;1
32;Trudel Jean-Guy;ZSC Lions;Stürmer;42;16;24;10;14;3;9;13;4;11;3;0
33;Toms Jeff;SCL Tigers;Stürmer;23;16;16;12;4;2;9;4;7;12;0;0
34;Salmelainen Tony;Genève-Servette HC;Stürmer;29;16;12;7;5;2;7;9;7;3;2;0
35;Paterlini Thierry;HC Lugano;Stürmer;45;16;6;2;4;2;10;2;5;4;1;0
36;Kariya Martin;SCL Tigers;Stürmer;50;15;43;22;21;1;4;24;10;19;1;0
37;Dubé Christian;SC Bern;Stürmer;46;15;41;25;16;1;11;22;4;16;0;3
38;Jeannin Sandy;Fribourg-Gottéron;Stürmer;50;15;35;26;9;3;7;21;6;14;2;0
39;Burkhalter Loic;SC Rapperswil-Jona Lakers;Stürmer;49;15;31;18;13;0;6;16;9;15;0;0
40;Aubin Serge;Genève-Servette HC;Stürmer;36;15;28;19;9;3;9;16;5;12;1;0
41;Von Arx Reto;HC Davos;Stürmer;44;15;24;13;11;4;4;8;10;15;1;1
42;Pittis Domenico;ZSC Lions;Stürmer;42;15;21;10;11;4;9;14;5;5;1;2
43;Gelinas Martin;SC Bern;Stürmer;27;15;7;3;4;2;9;5;6;2;0;0
44;Monnet Thibaut;ZSC Lions;Stürmer;50;14;21;14;7;1;14;16;0;5;0;0
45;Peter Emanuel;EHC Biel;Stürmer;50;14;21;12;9;2;14;14;0;5;0;2
46;Alston Jan;ZSC Lions;Stürmer;50;14;20;12;8;4;8;14;5;5;1;1
47;Liniger Michael;Kloten Flyers;Stürmer;48;14;17;10;7;5;11;9;2;7;1;1
48;Knoepfli Michael;Fribourg-Gottéron;Stürmer;50;14;15;9;6;2;9;10;3;5;2;0
49;Joggi Mathias;SCL Tigers;Stürmer;50;14;14;9;5;4;6;11;8;3;0;0
50;Casutt Corsin;EV Zug;Stürmer;50;14;12;10;2;2;13;11;1;1;0;0
51;Santala Tommi;Kloten Flyers;Stürmer;50;13;35;15;20;1;7;25;4;9;2;1
52;Blindenbacher Severin;ZSC Lions;Verteidiger;47;13;22;14;8;1;5;9;8;13;0;0
53;Dupont Micki;EV Zug;Verteidiger;50;13;19;11;8;1;6;8;6;11;1;0
54;Lindemann Sven;Kloten Flyers;Stürmer;50;13;16;10;6;5;9;12;3;4;1;0
55;Von Gunten Patrick;Kloten Flyers;Verteidiger;46;12;15;5;10;1;9;5;3;10;0;0
56;Brunner Damien;EV Zug;Stürmer;47;12;14;9;5;2;9;13;3;1;0;0
57;Reuille Sebastien;SC Rapperswil-Jona Lakers;Stürmer;46;12;11;8;3;3;8;7;4;4;0;0
58;Bärtschi Patrik;SC Bern;Stürmer;33;12;11;6;5;3;9;8;3;3;0;0
59;Bastl Mark;ZSC Lions;Stürmer;49;12;5;5;0;3;10;5;1;0;1;0
60;Di Pietro Paul;EV Zug;Stürmer;50;11;22;14;8;2;8;10;3;12;0;0
61;Heins Shawn;Fribourg-Gottéron;Verteidiger;47;11;20;7;13;1;4;7;6;12;1;1
62;Bezina Goran;Genève-Servette HC;Verteidiger;48;11;19;9;10;1;6;7;5;12;0;0
63;Rizzi Sandro;HC Davos;Verteidiger;50;11;16;7;9;3;8;12;3;3;0;1
64;Walker Julian;HC Ambri-Piotta;Stürmer;50;11;14;8;6;1;6;11;5;3;0;0
65;Marha Josef;HC Davos;Stürmer;49;11;14;8;6;2;8;10;3;4;0;0
66;Ehrensperger Gianni;EHC Biel;Stürmer;47;11;14;7;7;1;8;12;2;1;1;1
67;Himelfarb Eric;EHC Biel;Stürmer;47;11;13;9;4;1;9;11;1;2;1;0
68;Neuenschwander Caryl;Fribourg-Gottéron;Stürmer;50;11;12;8;4;0;10;9;1;2;0;1
69;Reichert Marc;SC Bern;Stürmer;50;11;9;5;4;2;9;7;1;2;1;0
70;Bürgler Dario;HC Davos;Stürmer;42;11;8;7;1;3;7;7;4;1;0;0
71;Setzinger Oliver;SCL Tigers;Stürmer;46;10;36;17;19;1;5;13;5;22;0;1
72;Vauclair Julien;HC Lugano;Verteidiger;50;10;35;18;17;0;5;14;5;20;0;1
73;Naumenko Nicholas;HC Ambri-Piotta;Verteidiger;40;10;27;14;13;1;5;10;5;15;0;2
74;Bykov Andrey;Fribourg-Gottéron;Stürmer;45;10;24;13;11;1;5;16;5;8;0;0
75;Sutter Fabian;SCL Tigers;Stürmer;50;10;23;10;13;2;8;12;2;9;0;2
76;Camichel Duri;EV Zug;Stürmer;48;10;17;11;6;0;8;10;2;6;0;1
77;Schnyder Fabian;EV Zug;Stürmer;50;10;14;5;9;1;9;14;0;0;1;0
78;Brown Curtis;Kloten Flyers;Stürmer;44;10;13;9;4;2;6;9;3;3;1;1
79;Näser Andy;HC Lugano;Stürmer;46;10;12;5;7;0;6;11;3;1;1;0
