R;Spieler;Team;Pos;GP;G;SOG;S%;SOG/GP
1;Holden Josh;EV Zug;Stürmer;46;30;214;14.02;4.65
2;Bordeleau Sébastien;EHC Biel;Stürmer;47;19;197;9.64;4.19
3;McTavish Dale;EV Zug;Stürmer;43;22;190;11.58;4.42
4;Brunner Damien;EV Zug;Stürmer;47;23;182;12.64;3.87
5;Rüthemann Ivo;SC Bern;Stürmer;50;24;169;14.20;3.38
6;Hamilton Jeff;HC Lugano;Stürmer;46;22;169;13.02;3.67
7;Dupont Micki;EV Zug;Verteidiger;46;7;159;4.40;3.46
8;Schnyder Fabian;EV Zug;Stürmer;49;10;150;6.67;3.06
9;Forster Beat;HC Davos;Verteidiger;50;13;150;8.67;3.00
10;Trudel Jean-Guy;ZSC Lions;Stürmer;37;16;148;10.81;4.00
11;Pöck Thomas;SC Rapperswil-Jona Lakers;Verteidiger;49;11;145;7.59;2.96
12;Bärtschi Patrik;ZSC Lions;Stürmer;49;25;143;17.48;2.92
13;Sejna Peter;ZSC Lions;Stürmer;38;17;141;12.06;3.71
14;Heins Shawn;Fribourg-Gottéron;Verteidiger;48;9;141;6.38;2.94
15;Domenichelli Hnat;HC Lugano;Stürmer;50;27;140;19.29;2.80
16;Von Gunten Patrick;Kloten Flyers;Verteidiger;50;11;139;7.91;2.78
17;Rintanen Kimmo;Kloten Flyers;Stürmer;48;15;138;10.87;2.88
18;Naumenko Nicholas;SCL Tigers;Verteidiger;50;6;136;4.41;2.72
19;Duca Paolo;HC Ambri-Piotta;Stürmer;50;18;135;13.33;2.70
20;Widing Daniel;HC Davos;Stürmer;45;19;134;14.18;2.98
21;Vigier Jean-Pierre;SC Bern;Stürmer;49;13;129;10.08;2.63
22;Monnet Thibaut;ZSC Lions;Stürmer;49;24;129;18.60;2.63
23;Casutt Corsin;Fribourg-Gottéron;Stürmer;49;15;129;11.63;2.63
24;Aubin Serge;Fribourg-Gottéron;Stürmer;49;20;129;15.50;2.63
25;Wick Roman;Kloten Flyers;Stürmer;37;15;128;11.72;3.46
26;Mowers Mark;Fribourg-Gottéron;Stürmer;42;13;124;10.48;2.95
27;Knoepfli Michael;Fribourg-Gottéron;Stürmer;49;14;124;11.29;2.53
28;Wirz Valentin;Fribourg-Gottéron;Stürmer;39;2;123;1.63;3.15
29;Westrum Erik;HC Ambri-Piotta;Stürmer;40;10;122;8.20;3.05
30;Plüss Martin;SC Bern;Stürmer;45;15;122;12.30;2.71
31;Nummelin Petteri;HC Lugano;Verteidiger;34;7;121;5.79;3.56
32;Gardner Ryan;ZSC Lions;Stürmer;49;16;120;13.33;2.45
33;Alston Jan;ZSC Lions;Stürmer;49;21;119;17.65;2.43
34;Setzinger Oliver;HC Davos;Stürmer;49;16;118;13.56;2.41
35;Jackman Richard;EHC Biel;Verteidiger;47;6;117;5.13;2.49
36;Fata Rico;EHC Biel;Stürmer;41;15;115;13.04;2.80
37;Guggisberg Peter;HC Davos;Stürmer;44;20;114;17.54;2.59
38;Berglund Christian;SC Rapperswil-Jona Lakers;Stürmer;43;23;114;20.18;2.65
39;Hirschi Steve;HC Lugano;Verteidiger;49;5;113;4.42;2.31
40;Sprunger Julien;Fribourg-Gottéron;Stürmer;28;9;112;8.04;4.00
41;Brooks Brendan;SCL Tigers;Stürmer;50;20;111;18.02;2.22
42;Plüss Benny;Fribourg-Gottéron;Stürmer;43;10;109;9.17;2.53
43;Santala Tommi;Kloten Flyers;Stürmer;47;17;107;15.89;2.28
44;Bell Mark;Kloten Flyers;Stürmer;39;13;106;12.26;2.72
45;Bastl Mark;ZSC Lions;Stürmer;49;9;106;8.49;2.16
46;Diaz Raphael;EV Zug;Verteidiger;49;4;104;3.85;2.12
47;Kutlak Zdenek;HC Ambri-Piotta;Verteidiger;46;7;103;6.80;2.24
48;Bürgler Dario;HC Davos;Stürmer;50;17;103;16.50;2.06
49;Stancescu Victor;Kloten Flyers;Stürmer;48;19;102;18.63;2.12
50;Bezina Goran;Genève-Servette HC;Verteidiger;47;7;101;6.93;2.15
51;Von Arx Reto;HC Davos;Stürmer;49;10;100;10;2.04
52;Robitaille Randy;HC Lugano;Stürmer;50;16;99;16.16;1.98
53;Jenni Marcel;Kloten Flyers;Stürmer;49;8;99;8.08;2.02
54;Di Pietro Paul;EV Zug;Stürmer;49;9;98;9.18;2.00
55;Vauclair Julien;HC Lugano;Verteidiger;35;13;97;13.40;2.77
56;Taticek Petr;HC Davos;Stürmer;48;16;95;16.84;1.98
57;Seger Mathias;ZSC Lions;Verteidiger;47;8;94;8.51;2.00
58;Roche Travis;SC Bern;Verteidiger;47;8;94;8.51;2.00
59;Roest Stacy;SC Rapperswil-Jona Lakers;Stürmer;49;15;93;16.13;1.90
60;Suchy Radoslav;ZSC Lions;Verteidiger;44;2;92;2.17;2.09
61;Du Bois Felicien;Kloten Flyers;Verteidiger;34;5;92;5.43;2.71
62;Christen Björn;EV Zug;Stürmer;49;14;91;15.38;1.86
63;Steinmann Janick;EV Zug;Stürmer;49;6;90;6.67;1.84
64;Camichel Corsin;EV Zug;Stürmer;41;5;90;5.56;2.20
65;McLean Brett;SC Bern;Stürmer;34;13;88;14.77;2.59
66;Helfenstein Sven;SCL Tigers;Stürmer;44;8;88;9.09;2.00
67;Reuille Sebastien;SC Rapperswil-Jona Lakers;Stürmer;46;7;86;8.14;1.87
68;Pittis Domenico;ZSC Lions;Stürmer;37;7;86;8.14;2.32
69;Murphy Curtis;SCL Tigers;Verteidiger;50;7;86;8.14;1.72
70;Kolnik Juraj;Genève-Servette HC;Stürmer;46;26;86;30.23;1.87
71;Zeiter Michel;Kloten Flyers;Stürmer;43;8;85;9.41;1.98
72;Nordgren Niklas;SC Rapperswil-Jona Lakers;Stürmer;39;6;84;7.14;2.15
73;Law Kirby;HC Ambri-Piotta;Stürmer;48;16;84;19.05;1.75
74;Ruefenacht Thomas;EV Zug;Stürmer;44;8;83;9.64;1.89
75;Birbaum Alain;Fribourg-Gottéron;Verteidiger;50;6;83;7.23;1.66
76;Salmelainen Tony;Genève-Servette HC;Stürmer;50;25;81;30.86;1.62
77;Reichert Marc;SC Bern;Stürmer;48;7;81;8.64;1.69
78;Murray Brady;HC Lugano;Stürmer;47;6;81;7.41;1.72
79;Oppliger Patrick;EV Zug;Stürmer;49;7;80;8.75;1.63
80;Neuenschwander Caryl;SC Bern;Stürmer;50;11;80;13.75;1.60
81;Joggi Mathias;HC Davos;Stürmer;46;13;78;16.67;1.70
82;Bieber Matthias;SCL Tigers;Stürmer;36;14;78;17.95;2.17
83;Deruns Thomas;Genève-Servette HC;Stürmer;50;19;77;24.68;1.54
84;Wieser Dino;HC Davos;Stürmer;40;8;76;10.53;1.90
85;Daigle Alexandre;SCL Tigers;Stürmer;31;9;76;11.84;2.45
86;Moser Simon;SCL Tigers;Stürmer;50;9;75;12;1.50
87;Walker Julian;HC Ambri-Piotta;Stürmer;48;6;74;8.11;1.54
88;Jobin David;SC Bern;Verteidiger;45;3;74;4.05;1.64
89;Camichel Duri;EV Zug;Stürmer;47;3;74;4.05;1.57
90;Lindemann Sven;Kloten Flyers;Stürmer;50;7;73;9.59;1.46
91;Berger Pascal;SC Bern;Stürmer;49;7;73;9.59;1.49
92;Riesen Michel;SC Rapperswil-Jona Lakers;Stürmer;41;11;72;15.28;1.76
93;Lötscher Kevin;EHC Biel;Verteidiger;50;7;72;9.72;1.44
94;Jeannin Sandy;Fribourg-Gottéron;Stürmer;32;9;72;12.5;2.25
95;Lakhmatov Vitaly;Fribourg-Gottéron;Stürmer;45;5;71;7.04;1.58
96;Sciaroni Gregory;HC Davos;Stürmer;47;6;70;8.57;1.49
97;Bykov Andrey;Fribourg-Gottéron;Stürmer;33;4;70;5.71;2.12
98;Akerman Johan;HC Lugano;Verteidiger;36;3;70;4.29;1.94
