R;Spieler;Team;Pos;GP;G;SOG;S%;SOG/GP
1;Mueller Peter;Kloten Flyers;Stürmer;49;24;194;12.37;3.96
2;Spylo Ahren;EHC Biel;Stürmer;47;16;192;8.33;4.09
3;Bezina Goran;Genève-Servette HC;Verteidiger;50;8;178;4.49;3.56
4;MacMurchy Ryan;EHC Biel;Stürmer;40;11;158;6.96;3.95
5;Wick Roman;ZSC Lions;Stürmer;47;23;157;14.65;3.34
6;Heikkinen Ilkka;HC Lugano;Verteidiger;41;7;156;4.49;3.80
7;Earl Robbie;EV Zug;Stürmer;46;20;155;12.90;3.37
8;Bieber Matthias;Kloten Flyers;Stürmer;50;16;149;10.74;2.98
9;Suri Reto;EV Zug;Stürmer;48;12;148;8.11;3.08
10;Danielsson Nicklas;SC Rapperswil-Jona Lakers;Stürmer;33;10;147;6.80;4.45
11;Martschini Lino;EV Zug;Stürmer;50;15;146;10.27;2.92
12;Schremp Robert;EV Zug;Stürmer;42;9;142;6.34;3.38
13;Monnet Thibaut;Fribourg-Gottéron;Stürmer;49;15;142;10.56;2.90
14;Holden Josh;EV Zug;Stürmer;39;13;138;9.42;3.54
15;Ambühl Andres;HC Davos;Stürmer;49;8;136;5.88;2.78
16;Plüss Benny;Fribourg-Gottéron;Stürmer;49;21;135;15.56;2.76
17;Pestoni Inti;HC Ambri-Piotta;Stürmer;49;7;134;5.22;2.73
18;Lombardi Matthew;Genève-Servette HC;Stürmer;46;20;134;14.93;2.91
19;Kinrade Geoff;SC Bern;Verteidiger;48;6;133;4.51;2.77
20;Sprunger Julien;Fribourg-Gottéron;Stürmer;49;12;130;9.23;2.65
21;Dupont Micki;Kloten Flyers;Verteidiger;48;7;128;5.47;2.67
22;Mauldin Greg;Fribourg-Gottéron;Stürmer;43;13;126;10.32;2.93
23;Nodari Matteo;SC Rapperswil-Jona Lakers;Verteidiger;49;6;124;4.84;2.53
24;Bärtschi Patrik;ZSC Lions;Stürmer;44;21;124;16.94;2.82
25;Gobbi John;Lausanne HC;Verteidiger;50;5;123;4.07;2.46
26;Steiner Daniel;HC Ambri-Piotta;Stürmer;50;12;120;10;2.40
27;Setzinger Oliver;Lausanne HC;Stürmer;50;9;120;7.5;2.40
28;Plüss Martin;SC Bern;Stürmer;45;14;119;11.76;2.64
29;Paulsson Marcus;HC Davos;Stürmer;44;24;119;20.17;2.70
30;Giroux Alexandre;HC Ambri-Piotta;Stürmer;46;20;119;16.81;2.59
31;Bergeron Marc-André;ZSC Lions;Verteidiger;46;7;117;5.98;2.54
32;Kellenberger Steve;EHC Biel;Stürmer;50;7;115;6.09;2.30
33;Hirschi Steve;HC Lugano;Verteidiger;40;4;114;3.51;2.85
34;Simek Juraj;Genève-Servette HC;Stürmer;50;9;112;8.04;2.24
35;Kwiatkowski Joel;Fribourg-Gottéron;Verteidiger;49;5;112;4.46;2.29
36;Genoway Colby;Lausanne HC;Stürmer;42;7;111;6.31;2.64
37;Daugavins Kaspars;Genève-Servette HC;Stürmer;44;18;111;16.22;2.52
38;Pouliot Marc-Antoine;Fribourg-Gottéron;Stürmer;40;8;109;7.34;2.72
39;Bell Brendan;EHC Biel;Verteidiger;42;4;109;3.67;2.60
40;Wieser Marc;EHC Biel;Stürmer;47;13;107;12.15;2.28
41;Hollenstein Denis;Genève-Servette HC;Stürmer;41;10;107;9.35;2.61
42;Sejna Peter;SC Rapperswil-Jona Lakers;Stürmer;48;11;106;10.38;2.21
43;Bang Daniel;Lausanne HC;Stürmer;47;14;106;13.21;2.26
44;Schnyder Fabian;EV Zug;Stürmer;50;11;103;10.68;2.06
45;Rizzello Antonio;SC Rapperswil-Jona Lakers;Stürmer;47;4;103;3.88;2.19
46;Micflikier Jacob;HC Lugano;Stürmer;35;16;103;15.53;2.94
47;Liniger Michael;Kloten Flyers;Stürmer;48;9;101;8.91;2.10
48;Forster Beat;HC Davos;Verteidiger;48;4;99;4.04;2.06
49;Lindgren Perttu;HC Davos;Stürmer;48;13;97;13.40;2.02
