R;Spieler;Team;Pos;GP;G;SOG;S%;SOG/GP
277;Ulmer Martin;EHC Biel;Stürmer;9;2;14;14.29;1.56
278;Sartori Riccardo;HC Lugano;Verteidiger;37;0;14;0;0.38
279;Ruutu Jarkko;EHC Biel;Stürmer;4;0;14;0;3.50
280;Montandon Maxime;Fribourg-Gottéron;Verteidiger;37;0;14;0;0.38
281;Frei Lars;SC Rapperswil-Jona Lakers;Stürmer;15;1;14;7.14;0.93
282;Dal Pian Giacomo;HC Lugano;Stürmer;34;1;14;7.14;0.41
283;Andersson Jonas;Kloten Flyers;Stürmer;5;1;14;7.14;2.80
284;Repik Michal;EV Zug;Stürmer;4;2;13;15.38;3.25
285;Friedli Samuel;SC Rapperswil-Jona Lakers;Stürmer;10;2;13;15.38;1.30
286;Dünner Nico;EV Zug;Stürmer;22;2;13;15.38;0.59
287;Schmutz Reto;SC Rapperswil-Jona Lakers;Stürmer;23;0;12;0;0.52
288;Müller Marco;SC Bern;Stürmer;20;2;12;16.67;0.60
289;Forster Beat;HC Davos;Verteidiger;15;1;12;8.33;0.80
290;Schommer Patrick;SC Rapperswil-Jona Lakers;Stürmer;12;0;11;0;0.92
291;Camperchioli Luca;HC Davos;Verteidiger;24;0;11;0;0.46
292;Harlacher Edson;Kloten Flyers;Verteidiger;30;0;10;0;0.33
293;Cloutier Keven;SC Bern;Stürmer;12;4;10;40;0.83
294;Blatter Patrick;SC Rapperswil-Jona Lakers;Verteidiger;10;0;10;0;1.00
295;Bachofner Jérôme;ZSC Lions;Stürmer;7;1;10;10;1.43
296;Stämpfli David;EV Zug;Verteidiger;15;0;9;0;0.60
297;Gloor Kevin;EHC Biel;Verteidiger;22;0;9;0;0.41
298;Ulmann Tim;Lausanne HC;Stürmer;22;0;8;0;0.36
299;Mosimann Jan;EHC Biel;Stürmer;6;1;8;12.5;1.33
300;Grieder Marc;HC Ambri-Piotta;Verteidiger;29;1;8;12.5;0.28
301;Dufner Mauro;SC Bern;Verteidiger;9;1;8;12.5;0.89
302;Tabacek Jan;ZSC Lions;Verteidiger;11;0;7;0;0.64
303;Sprukts Janis;Fribourg-Gottéron;Stürmer;7;1;7;14.29;1.00
304;Sitje Fredrik;ZSC Lions;Stürmer;8;0;7;0;0.88
305;Heldner Fabian;HC Davos;Verteidiger;9;0;7;0;0.78
306;St-Pierre Martin;Lausanne HC;Stürmer;3;1;6;16.67;2.00
307;Stoop Lukas;Kloten Flyers;Verteidiger;6;1;6;16.67;1.00
308;Redenbach Tyler;HC Davos;Stürmer;3;1;6;16.67;2.00
309;Kinrade Geoff;HC Ambri-Piotta;Verteidiger;5;0;6;0;1.20
310;Seydoux Philippe;Lausanne HC;Verteidiger;19;0;5;0;0.26
311;Eigenmann Daniel;SC Rapperswil-Jona Lakers;Verteidiger;11;0;5;0;0.45
312;Schmuckli Florian;ZSC Lions;Verteidiger;6;0;4;0;0.67
313;Morant Johan;EV Zug;Verteidiger;5;1;4;25;0.80
314;Horansky Stanislav;EHC Biel;Stürmer;3;0;4;0;1.33
315;Douay Floran;Genève-Servette HC;Stürmer;12;1;4;25;0.33
316;Diem Dominik;ZSC Lions;Stürmer;1;0;4;0;4.00
317;Schmutz Flavio;SC Rapperswil-Jona Lakers;Stürmer;5;0;3;0;0.60
318;Romanenghi Matteo;HC Lugano;Stürmer;16;0;3;0;0.19
319;Paakkolanvaara Tommi;HC Lugano;Stürmer;5;0;3;0;0.60
320;Moser Christian;EHC Biel;Verteidiger;10;0;3;0;0.30
321;Merola Melvin;Fribourg-Gottéron;Stürmer;3;1;3;33.33;1.00
322;Lüthi Valentin;SC Rapperswil-Jona Lakers;Verteidiger;14;1;3;33.33;0.21
