R;Spieler;Team;Pos;GP;G;SOG;S%;SOG/GP
160;Herren Yannick;Lausanne HC;Stürmer;32;4;53;7.55;1.66
161;Dubé Christian;Fribourg-Gottéron;Stürmer;46;10;53;18.87;1.15
162;Schlumpf Dominik;EV Zug;Verteidiger;50;1;52;1.92;1.04
163;Schlagenhauf Roman;HC Ambri-Piotta;Stürmer;48;1;52;1.92;1.08
164;Jecker Benoit;EHC Biel;Verteidiger;43;2;52;3.85;1.21
165;Casutt Corsin;Kloten Flyers;Stürmer;48;5;52;9.62;1.08
166;Bürgler Dario;EV Zug;Stürmer;29;8;52;15.38;1.79
167;Rytz Philippe;Lausanne HC;Verteidiger;50;2;51;3.92;1.02
168;Rod Noah;Genève-Servette HC;Stürmer;38;1;51;1.96;1.34
169;Krueger Justin;SC Bern;Verteidiger;41;3;51;5.88;1.24
170;Kast Timothy;Genève-Servette HC;Stürmer;50;6;51;11.76;1.02
171;Chavaillaz Benjamin;HC Ambri-Piotta;Verteidiger;49;4;51;7.84;1.04
172;Moser Simon;SC Bern;Stürmer;28;5;50;10;1.79
173;Jacquemet Arnaud;Genève-Servette HC;Stürmer;45;4;50;8;1.11
174;Hürlimann Stefan;SC Rapperswil-Jona Lakers;Stürmer;49;3;50;6;1.02
175;Bykov Andrey;Fribourg-Gottéron;Stürmer;21;4;50;8;2.38
176;Sciaroni Gregory;HC Davos;Stürmer;29;7;49;14.29;1.69
177;Lombardi Matthew;Genève-Servette HC;Stürmer;19;6;49;12.24;2.58
178;Leeger Larri;Lausanne HC;Verteidiger;50;0;49;0;0.98
179;Hirschi Steve;HC Lugano;Verteidiger;33;3;47;6.38;1.42
180;Reuille Sebastien;HC Lugano;Stürmer;41;6;46;13.04;1.12
181;Ehrensperger Gianni;EHC Biel;Stürmer;30;5;46;10.87;1.53
182;Seger Mathias;ZSC Lions;Verteidiger;42;1;45;2.22;1.07
183;Schneeberger Noah;HC Davos;Verteidiger;46;1;45;2.22;0.98
184;Ranger Paul;Kloten Flyers;Verteidiger;27;2;45;4.44;1.67
185;Ngoy Michael;Fribourg-Gottéron;Verteidiger;50;4;45;8.89;0.90
186;Gerber Roland;Genève-Servette HC;Stürmer;45;6;45;13.33;1.00
187;Bianchi Elias;HC Ambri-Piotta;Stürmer;36;3;45;6.67;1.25
188;Rivera Christopher;Genève-Servette HC;Stürmer;46;7;44;15.91;0.96
189;Back Rene;Kloten Flyers;Verteidiger;50;0;44;0;0.88
190;Marti Christian;Genève-Servette HC;Verteidiger;32;1;43;2.33;1.34
191;Cadonau Claudio;EHC Biel;Verteidiger;46;1;43;2.33;0.93
192;Sannitz Raffaele;HC Lugano;Stürmer;48;1;42;2.38;0.88
193;Paschoud Claude-C.;HC Davos;Verteidiger;50;1;42;2.38;0.84
194;Loichat Michaël;SC Bern;Stürmer;46;6;42;14.29;0.91
195;Grassi Daniele;HC Ambri-Piotta;Stürmer;27;3;42;7.14;1.56
196;Christen Björn;EV Zug;Stürmer;43;2;42;4.76;0.98
197;Randegger Flurin;SC Bern;Verteidiger;50;2;41;4.88;0.82
