R;Spieler;Team;Pos;GP;PS;PSG;PSM;PS%;GWG PS
326;Cunti Luca;ZSC Lions;Stürmer;32;0;0;0;-;0
327;Conz Florian;Lausanne HC;Stürmer;21;0;0;0;-;0
328;Collenberg Franco;Kloten Flyers;Verteidiger;47;0;0;0;-;0
329;Chuard Romain;Genève-Servette HC;Verteidiger;35;0;0;0;-;0
330;Chiriaev Evgenï;SCL Tigers;Stürmer;46;0;0;0;-;0
331;Chiesa Alessandro;HC Lugano;Verteidiger;44;0;0;0;-;0
332;Chavaillaz Benjamin;HC Ambri-Piotta;Verteidiger;23;0;0;0;-;0
333;Casutt Corsin;Kloten Flyers;Stürmer;43;0;0;0;-;0
334;Camperchioli Luca;Fribourg-Gottéron;Verteidiger;20;0;0;0;-;0
335;Campbell Jeff;SCL Tigers;Stürmer;2;0;0;0;-;0
336;Büsser Xeno;Kloten Flyers;Verteidiger;8;0;0;0;-;0
337;Bussard Benjamin;Fribourg-Gottéron;Stürmer;1;0;0;0;-;0
338;Burren Yanik;SC Bern;Verteidiger;3;0;0;0;-;0
339;Brügger Sandro;Fribourg-Gottéron;Stürmer;5;0;0;0;-;0
340;Brejcak Jan;HC Davos;Verteidiger;28;0;0;0;-;0
341;Bonny Victor;Fribourg-Gottéron;Stürmer;1;0;0;0;-;0
342;Blum Eric-Ray;SC Bern;Verteidiger;35;0;0;0;-;0
343;Blindenbacher Severin;ZSC Lions;Verteidiger;46;0;0;0;-;0
344;Blaser Yannick;EV Zug;Verteidiger;34;0;0;0;-;0
345;Bircher Alain;Kloten Flyers;Verteidiger;2;0;0;0;-;0
346;Birbaum Alain;HC Ambri-Piotta;Verteidiger;50;0;0;0;-;0
347;Bianchi Elias;HC Ambri-Piotta;Stürmer;40;0;0;0;-;0
348;Bezina Goran;Genève-Servette HC;Verteidiger;50;0;0;0;-;0
349;Berthon Eliot;EHC Biel;Stürmer;24;0;0;0;-;0
350;Bertaggia Alessio;HC Lugano;Stürmer;45;0;0;0;-;0
351;Berger Sven;HC Ambri-Piotta;Verteidiger;45;0;0;0;-;0
352;Berger Nils;SCL Tigers;Stürmer;14;0;0;0;-;0
353;Bastl Mark;HC Ambri-Piotta;Stürmer;47;0;0;0;-;0
354;Bärtschi Patrik;ZSC Lions;Stürmer;34;0;0;0;-;0
355;Bärtschi Michael;SC Bern;Stürmer;2;0;0;0;-;0
356;Baltisberger Phil;ZSC Lions;Verteidiger;49;0;0;0;-;0
357;Back Rene;Kloten Flyers;Verteidiger;39;0;0;0;-;0
358;Augsburger Gaëtan;Lausanne HC;Stürmer;19;0;0;0;-;0
359;Antonietti Eliot;Genève-Servette HC;Verteidiger;34;0;0;0;-;0
360;Antonietti Benjamin;Lausanne HC;Stürmer;38;0;0;0;-;0
361;Almond Cody;Genève-Servette HC;Stürmer;4;0;0;0;-;0
362;Albrecht Yannick-Lennart;SCL Tigers;Stürmer;49;0;0;0;-;0
363;Alatalo Santeri;EV Zug;Verteidiger;50;0;0;0;-;0
364;Abplanalp Marc;Fribourg-Gottéron;Verteidiger;38;0;0;0;-;0
