R;Team;GP;PK SI;PK SI/GP;PK GA;PK GA/GP;PK%;PKT;PK time/GP;SHG;PK GF/GP
1;HC Davos;50;190;3.80;26;0.52;86.32;308:20;06:10;10;0.20
2;Genève-Servette HC;50;207;4.14;35;0.70;83.09;320:19;06:24;6;0.12
3;EV Zug;50;188;3.76;34;0.68;81.91;309:17;06:11;3;0.06
4;HC Lugano;50;179;3.58;33;0.66;81.56;294:48;05:53;4;0.08
5;SC Bern;50;190;3.80;37;0.74;80.53;290:28;05:48;4;0.08
;Durchschnitt;50;184;3.68;37;0.74;79.89;292:31;05:51;4;0.08
6;SCL Tigers;50;210;4.20;43;0.86;79.52;339:10;06:47;0;0.00
7;Lausanne HC;50;172;3.44;36;0.72;79.07;278:37;05:34;1;0.02
8;ZSC Lions;50;170;3.40;36;0.72;78.82;284:27;05:41;6;0.12
9;HC Ambri-Piotta;50;182;3.64;40;0.80;78.02;278:31;05:34;4;0.08
10;Kloten Flyers;50;168;3.36;39;0.78;76.79;269:53;05:23;6;0.12
11;Fribourg-Gottéron;50;165;3.30;41;0.82;75.15;253:19;05:03;5;0.10
12;EHC Biel;50;197;3.94;53;1.06;73.10;283:07;05:39;3;0.06
