R;Spieler;Team;Pos;GP;G;A;A1;A2;GWG;EQG;EQA;PPG;PPA;SHG;SHA
1;D'Agostini Matt;Genève-Servette HC;Stürmer;12;7;3;3;0;0;3;2;2;1;2;0
2;Wick Roman;ZSC Lions;Stürmer;18;6;9;4;5;1;4;7;2;1;0;1
3;Paulsson Marcus;HC Davos;Stürmer;15;6;4;2;2;0;4;3;2;1;0;0
4;Axelsson Dick;HC Davos;Stürmer;13;6;3;1;2;2;4;2;0;0;2;1
5;Nilsson Robert;ZSC Lions;Stürmer;18;5;8;4;4;1;4;2;1;6;0;0
6;Lindgren Perttu;HC Davos;Stürmer;15;5;7;4;3;0;4;5;0;1;1;1
7;Keller Ryan;ZSC Lions;Stürmer;18;5;5;3;2;1;3;3;1;1;1;1
8;Simion Dario;HC Davos;Stürmer;15;5;4;2;2;1;4;4;1;0;0;0
9;Shannon Ryan;ZSC Lions;Stürmer;18;5;4;2;2;1;3;1;1;2;1;1
10;Arlbrandt Pär;EHC Biel;Stürmer;7;5;3;1;2;0;3;1;2;2;0;0
11;Bärtschi Patrik;ZSC Lions;Stürmer;18;4;5;5;0;1;3;5;1;0;0;0
12;Holloway Bud;SC Bern;Stürmer;11;4;4;2;2;0;3;2;1;2;0;0
13;Malgin Denis;ZSC Lions;Stürmer;18;4;2;1;1;0;4;2;0;0;0;0
14;Künzle Mike;ZSC Lions;Stürmer;17;4;1;1;0;3;4;1;0;0;0;0
15;Pyatt Taylor;Genève-Servette HC;Stürmer;8;4;1;0;1;1;0;0;3;1;1;0
16;Almond Cody;Genève-Servette HC;Stürmer;12;3;6;4;2;1;1;4;1;0;1;2
17;Trachsler Morris;ZSC Lions;Stürmer;18;3;6;3;3;0;3;6;0;0;0;0
18;Wieser Marc;HC Davos;Stürmer;12;3;4;4;0;0;3;3;0;1;0;0
19;Cunti Luca;ZSC Lions;Stürmer;17;3;4;4;0;0;3;3;0;1;0;0
20;Sciaroni Gregory;HC Davos;Stürmer;15;3;4;3;1;1;2;2;1;2;0;0
21;Baltisberger Chris;ZSC Lions;Stürmer;17;3;4;3;1;1;2;3;1;1;0;0
22;Walser Samuel;HC Davos;Stürmer;15;3;3;2;1;1;3;3;0;0;0;0
23;Hofmann Gregory;HC Davos;Stürmer;13;3;2;1;1;1;3;1;0;1;0;0
24;Bouchard Pierre-Marc;EV Zug;Stürmer;6;3;2;1;1;1;3;1;0;1;0;0
25;Holden Josh;EV Zug;Stürmer;4;3;1;1;0;0;2;1;1;0;0;0
26;McLean Brett;HC Lugano;Stürmer;6;3;0;0;0;0;1;0;2;0;0;0
27;Diem Nolan;EV Zug;Stürmer;6;3;0;0;0;0;3;0;0;0;0;0
28;Pyatt Tom;Genève-Servette HC;Stürmer;11;2;8;5;3;1;2;3;0;4;0;1
29;Loeffel Romain;Genève-Servette HC;Verteidiger;12;2;8;3;5;0;1;1;1;7;0;0
30;Geering Patrick;ZSC Lions;Verteidiger;18;2;7;3;4;0;1;4;1;3;0;0
31;Ambühl Andres;HC Davos;Stürmer;15;2;6;2;4;0;2;5;0;1;0;0
32;Du Bois Felicien;HC Davos;Verteidiger;15;2;4;3;1;1;0;3;2;1;0;0
33;Herburger Raphael;EHC Biel;Stürmer;7;2;3;2;1;0;2;3;0;0;0;0
34;Pettersson Fredrik;HC Lugano;Stürmer;6;2;3;1;2;0;2;2;0;1;0;0
35;Blum Eric-Ray;SC Bern;Verteidiger;11;2;3;1;2;0;1;2;1;1;0;0
36;Bezina Goran;Genève-Servette HC;Verteidiger;12;2;3;1;2;0;2;2;0;0;0;1
37;Seger Mathias;ZSC Lions;Verteidiger;12;2;3;0;3;0;1;3;1;0;0;0
38;Wick Jeremy;Genève-Servette HC;Stürmer;11;2;2;1;1;0;2;1;0;1;0;0
39;Reuille Sebastien;HC Lugano;Stürmer;6;2;2;1;1;0;1;2;1;0;0;0
40;Jörg Mauro;HC Davos;Stürmer;14;2;2;1;1;0;2;2;0;0;0;0
41;Bastl Mark;ZSC Lions;Stürmer;12;2;2;1;1;0;2;1;0;1;0;0
42;Plüss Martin;SC Bern;Stürmer;11;2;2;0;2;1;2;1;0;1;0;0
43;Wieser Dino;HC Davos;Stürmer;15;2;1;1;0;1;1;1;1;0;0;0
44;Rod Noah;Genève-Servette HC;Stürmer;10;2;1;1;0;1;1;0;1;0;0;1
45;Joensuu Jesse;SC Bern;Stürmer;8;2;1;1;0;1;2;1;0;0;0;0
46;Froidevaux Etienne;Lausanne HC;Stürmer;7;2;1;0;1;1;2;1;0;0;0;0
47;Rossi Matthias;EHC Biel;Stürmer;7;2;0;0;0;0;1;0;1;0;0;0
48;Schneeberger Noah;HC Davos;Verteidiger;15;1;7;5;2;1;1;3;0;2;0;2
49;Schäppi Reto;ZSC Lions;Stürmer;18;1;4;3;1;0;1;4;0;0;0;0
