R;Spieler;Team;Pos;GP;G;A;A1;A2;GWG;EQG;EQA;PPG;PPA;SHG;SHA
120;Grauwiler Lukas;ZSC Lions;Stürmer;6;0;1;1;0;0;0;1;0;0;0;0
121;Gerber Lukas;Fribourg-Gottéron;Verteidiger;7;0;1;1;0;0;0;1;0;0;0;0
122;Domenichelli Hnat;HC Lugano;Stürmer;4;0;1;1;0;0;0;1;0;0;0;0
123;Conne Flavien;HC Lugano;Stürmer;4;0;1;1;0;0;0;1;0;0;0;0
124;Collenberg Franco;Fribourg-Gottéron;Verteidiger;7;0;1;1;0;0;0;1;0;0;0;0
125;Von Gunten Patrick;Kloten Flyers;Verteidiger;10;0;1;0;1;0;0;0;0;1;0;0
126;Vauclair Julien;HC Lugano;Verteidiger;4;0;1;0;1;0;0;1;0;0;0;0
127;Schlagenhauf Roman;HC Lugano;Stürmer;4;0;1;0;1;0;0;1;0;0;0;0
128;Ruefenacht Thomas;EV Zug;Stürmer;13;0;1;0;1;0;0;1;0;0;0;0
129;Robitaille Randy;HC Lugano;Stürmer;3;0;1;0;1;0;0;0;0;1;0;0
130;Lakhmatov Vitaly;Fribourg-Gottéron;Stürmer;7;0;1;0;1;0;0;1;0;0;0;0
131;Zeiter Michel;Kloten Flyers;Stürmer;4;0;0;0;0;0;0;0;0;0;0;0
132;Wirz Valentin;Fribourg-Gottéron;Stürmer;7;0;0;0;0;0;0;0;0;0;0;0
133;Wieser Marc;HC Davos;Stürmer;6;0;0;0;0;0;0;0;0;0;0;0
134;Wieser Dino;HC Davos;Stürmer;4;0;0;0;0;0;0;0;0;0;0;0
135;Wellinger Thomas;HC Davos;Verteidiger;4;0;0;0;0;0;0;0;0;0;0;0
136;Von Arx Jan;HC Davos;Verteidiger;6;0;0;0;0;0;0;0;0;0;0;0
137;Voisard Gaetan;Fribourg-Gottéron;Verteidiger;3;0;0;0;0;0;0;0;0;0;0;0
138;Untersander Ramon;HC Davos;Verteidiger;2;0;0;0;0;0;0;0;0;0;0;0
139;Thomas Bill;HC Lugano;Stürmer;2;0;0;0;0;0;0;0;0;0;0;0
140;Tallarini Alan;HC Davos;Verteidiger;6;0;0;0;0;0;0;0;0;0;0;0
141;Stoffel Andri;ZSC Lions;Verteidiger;2;0;0;0;0;0;0;0;0;0;0;0
142;Stettler Martin;SC Bern;Verteidiger;9;0;0;0;0;0;0;0;0;0;0;0
143;Sidler Patrick;Kloten Flyers;Verteidiger;10;0;0;0;0;0;0;0;0;0;0;0
144;Schulthess Marc;Kloten Flyers;Verteidiger;10;0;0;0;0;0;0;0;0;0;0;0
145;Schnyder Daniel;ZSC Lions;Verteidiger;7;0;0;0;0;0;0;0;0;0;0;0
146;Schefer Marc;EV Zug;Verteidiger;12;0;0;0;0;0;0;0;0;0;0;0
147;Salmonsson Johannes;HC Davos;Stürmer;1;0;0;0;0;0;0;0;0;0;0;0
