R;Spieler;Team;Pos;GP;PIM Total;2' ;5';10';GM;MP
1;Pittis Domenico;ZSC Lions;Stürmer;13;27;1;1;0;1;0
2;Pirnes Esa;EV Zug;Stürmer;3;25;0;1;0;1;0
3;Morant Johan;SC Bern;Verteidiger;3;25;0;1;0;0;1
4;Spylo Ahren;EHC Biel;Stürmer;5;18;4;0;1;0;0
5;Ritchie Byron;SC Bern;Stürmer;17;18;9;0;0;0;0
6;Reuille Sebastien;HC Lugano;Stürmer;6;18;4;0;1;0;0
7;Reichert Marc;SC Bern;Stürmer;17;18;4;0;1;0;0
8;Froidevaux Etienne;SC Bern;Stürmer;17;18;4;0;1;0;0
9;Chiesa Alessandro;EV Zug;Verteidiger;9;18;4;0;1;0;0
10;Wozniewski Andy;EV Zug;Verteidiger;6;16;3;0;1;0;0
11;Wieser Marc;EHC Biel;Stürmer;3;16;3;0;1;0;0
12;Truttmann Marco;EHC Biel;Stürmer;5;16;3;0;1;0;0
13;Kwiatkowski Joel;SC Bern;Verteidiger;14;16;8;0;0;0;0
14;Hollenstein Denis;Kloten Flyers;Stürmer;5;16;8;0;0;0;0
15;Helbling Timo;EV Zug;Verteidiger;9;16;3;0;1;0;0
16;Blindenbacher Severin;ZSC Lions;Verteidiger;15;16;8;0;0;0;0
17;Blaser Yannick;EV Zug;Verteidiger;9;16;3;0;1;0;0
18;Stoffel Andri;ZSC Lions;Verteidiger;15;12;1;0;1;0;0
19;Stancescu Victor;Kloten Flyers;Stürmer;5;12;6;0;0;0;0
20;Profico Leandro;HC Lugano;Verteidiger;6;12;1;0;1;0;0
21;Oppliger Patrick;EV Zug;Stürmer;9;12;6;0;0;0;0
22;Fröhlicher Joel;EHC Biel;Verteidiger;5;12;6;0;0;0;0
23;Walser Samuel;Kloten Flyers;Stürmer;5;10;0;0;1;0;0
24;Jeannin Sandy;Fribourg-Gottéron;Stürmer;7;10;0;0;1;0;0
