R;Spieler;Team;Pos;GP;PIM Total;2' ;5';10';GM;MP
127;Collenberg Franco;Fribourg-Gottéron;Verteidiger;11;2;1;0;0;0;0
128;Botter Cédric;Fribourg-Gottéron;Stürmer;4;2;1;0;0;0;0
129;Bezina Goran;Genève-Servette HC;Verteidiger;4;2;1;0;0;0;0
130;Alston Jan;ZSC Lions;Stürmer;4;2;1;0;0;0;0
131;Abplanalp Marc;Fribourg-Gottéron;Verteidiger;11;2;1;0;0;0;0
132;Trudel Jean-Guy;ZSC Lions;Stürmer;3;0;0;0;0;0;0
133;Suri Reto;Genève-Servette HC;Stürmer;4;0;0;0;0;0;0
134;Stoop Lukas;HC Davos;Verteidiger;10;0;0;0;0;0;0
135;Sejna Peter;ZSC Lions;Stürmer;3;0;0;0;0;0;0
136;Schnyder Daniel;ZSC Lions;Verteidiger;4;0;0;0;0;0;0
137;Schilt Sebastian;Genève-Servette HC;Verteidiger;1;0;0;0;0;0;0
138;Savary Paul;Genève-Servette HC;Stürmer;4;0;0;0;0;0;0
139;Rüthemann Ivo;SC Bern;Stürmer;6;0;0;0;0;0;0
140;Profico Leandro;HC Lugano;Verteidiger;1;0;0;0;0;0;0
141;Plüss Martin;SC Bern;Stürmer;6;0;0;0;0;0;0
142;Paterlini Thierry;HC Lugano;Stürmer;2;0;0;0;0;0;0
143;Nodari Matteo;HC Lugano;Verteidiger;7;0;0;0;0;0;0
144;Niederreiter Nino;HC Davos;Stürmer;3;0;0;0;0;0;0
145;Murray Brady;HC Lugano;Stürmer;7;0;0;0;0;0;0
146;Müller Pascal;ZSC Lions;Verteidiger;4;0;0;0;0;0;0
147;Meier Trevor;SC Bern;Stürmer;6;0;0;0;0;0;0
148;Leuenberger Marc;SC Bern;Verteidiger;3;0;0;0;0;0;0
149;Lemm Romano;HC Lugano;Stürmer;7;0;0;0;0;0;0
150;Lemm Aurelio;ZSC Lions;Stürmer;2;0;0;0;0;0;0
151;Law Kirby;Fribourg-Gottéron;Stürmer;7;0;0;0;0;0;0
152;Krutov Alexei;ZSC Lions;Stürmer;4;0;0;0;0;0;0
