R;Spieler;Team;Pos;GP;G;A;A1;A2;GWG;EQG;EQA;PPG;PPA;SHG;SHA
117;Wichser Adrian;SC Rapperswil-Jona Lakers;Stürmer;41;5;19;12;7;0;1;12;4;7;0;0
118;Roche Travis;SC Bern;Verteidiger;31;5;17;12;5;1;1;9;3;8;1;0
119;Steinmann Janick;HC Davos;Stürmer;49;5;16;8;8;2;3;10;2;6;0;0
120;Weber Yannick;Genève-Servette HC;Verteidiger;32;5;16;6;10;3;2;7;3;9;0;0
121;Kellenberger Steve;EHC Biel;Stürmer;50;5;12;10;2;0;4;8;0;4;1;0
122;Blum Eric-Ray;Kloten Flyers;Verteidiger;45;5;11;7;4;1;3;8;2;3;0;0
123;Von Gunten Patrick;Kloten Flyers;Verteidiger;35;5;10;4;6;1;4;5;1;4;0;1
124;Sannitz Raffaele;Kloten Flyers;Stürmer;39;5;8;6;2;1;5;7;0;1;0;0
125;Tambellini Jeff;ZSC Lions;Stürmer;27;5;7;4;3;3;4;5;1;2;0;0
126;Sbisa Luca;HC Lugano;Verteidiger;30;5;7;4;3;0;4;4;1;3;0;0
127;Murray Jordan;HC Lugano;Stürmer;50;5;7;4;3;0;5;5;0;2;0;0
128;Taticek Petr;HC Davos;Stürmer;21;5;5;5;0;1;2;4;3;0;0;1
129;Moggi Claudio;SCL Tigers;Stürmer;44;5;5;3;2;0;5;4;0;0;0;1
130;Bianchi Elias;HC Ambri-Piotta;Stürmer;47;5;4;3;1;0;5;4;0;0;0;0
131;Schäppi Reto;ZSC Lions;Stürmer;50;5;3;2;1;1;2;3;1;0;2;0
132;Neukom Benjamin;SC Rapperswil-Jona Lakers;Stürmer;47;5;3;2;1;0;3;3;1;0;1;0
133;Bucher Tobias;SCL Tigers;Stürmer;49;4;14;6;8;0;3;13;0;1;1;0
134;Forster Beat;HC Davos;Verteidiger;35;4;13;5;8;0;4;4;0;9;0;0
135;Desharnais David;Fribourg-Gottéron;Stürmer;16;4;12;8;4;0;3;8;1;4;0;0
136;Marha Josef;HC Davos;Stürmer;45;4;12;5;7;0;4;11;0;1;0;0
137;Walker Julian;Genève-Servette HC;Stürmer;45;4;11;6;5;1;4;11;0;0;0;0
138;Walser Derrick;SC Rapperswil-Jona Lakers;Verteidiger;28;4;11;5;6;0;3;5;1;6;0;0
139;Vauclair Tristan;Fribourg-Gottéron;Stürmer;50;4;9;6;3;1;2;7;1;2;1;0
140;Duca Paolo;HC Ambri-Piotta;Stürmer;49;4;9;3;6;1;3;5;1;4;0;0
141;Ehrensperger Gianni;EHC Biel;Stürmer;49;4;8;6;2;1;4;6;0;2;0;0
142;Schlagenhauf Roman;HC Ambri-Piotta;Stürmer;49;4;8;4;4;0;4;7;0;1;0;0
143;Maurer Marco;ZSC Lions;Verteidiger;50;4;8;2;6;2;3;7;1;1;0;0
144;Hürlimann Stefan;SC Rapperswil-Jona Lakers;Stürmer;50;4;6;5;1;3;4;6;0;0;0;0
145;Herren Yannick;Kloten Flyers;Stürmer;47;4;6;5;1;1;4;6;0;0;0;0
146;Schnyder Fabian;EV Zug;Stürmer;47;4;6;4;2;0;3;6;1;0;0;0
147;Jörg Mauro;SC Rapperswil-Jona Lakers;Stürmer;48;4;6;4;2;1;3;5;1;1;0;0
148;Collenberg Franco;SC Bern;Verteidiger;43;4;6;3;3;0;4;6;0;0;0;0
149;Hirschi Steve;HC Lugano;Verteidiger;21;4;6;2;4;1;2;4;2;2;0;0
150;Trunz Adrian;HC Ambri-Piotta;Verteidiger;43;4;6;1;5;1;2;6;2;0;0;0
