R;Spieler;Team;Pos;GP;G;A;A1;A2;GWG;EQG;EQA;PPG;PPA;SHG;SHA
1;Pettersson Fredrik;HC Lugano;Stürmer;49;33;36;21;15;5;17;22;15;14;1;0
2;Giroux Alexandre;HC Ambri-Piotta;Stürmer;49;27;13;10;3;5;17;6;9;7;1;0
3;Martschini Lino;EV Zug;Stürmer;50;23;24;14;10;5;19;18;3;6;1;0
4;Plüss Martin;SC Bern;Stürmer;50;23;22;15;7;6;16;14;6;8;1;0
5;Klasen Linus;HC Lugano;Stürmer;46;20;35;21;14;7;14;19;6;16;0;0
6;Spylo Ahren;EHC Biel;Stürmer;45;20;11;8;3;3;15;7;5;4;0;0
7;Danielsson Nicklas;SC Rapperswil-Jona Lakers;Stürmer;46;19;28;16;12;3;6;13;12;15;1;0
8;Earl Robbie;EV Zug;Stürmer;48;19;26;12;14;3;12;15;6;10;1;1
9;Pouliot Marc-Antoine;Fribourg-Gottéron;Stürmer;49;19;24;18;6;1;17;18;2;5;0;1
10;Mauldin Greg;Fribourg-Gottéron;Stürmer;40;18;17;12;5;3;14;16;2;1;2;0
11;Romy Kevin;Genève-Servette HC;Stürmer;48;18;15;8;7;2;12;10;4;2;2;3
12;Bouchard Pierre-Marc;EV Zug;Stürmer;49;17;34;19;15;2;14;22;3;12;0;0
13;Arlbrandt Pär;EHC Biel;Stürmer;48;17;22;11;11;3;10;13;7;8;0;1
14;Persson Niklas;SC Rapperswil-Jona Lakers;Stürmer;43;17;22;10;12;1;7;14;10;7;0;1
15;Bieber Matthias;Kloten Flyers;Stürmer;50;17;7;5;2;1;7;4;9;2;1;1
16;Wick Roman;ZSC Lions;Stürmer;49;16;25;13;12;4;15;19;1;6;0;0
17;Wieser Marc;HC Davos;Stürmer;47;16;17;9;8;2;14;16;2;0;0;1
18;Suri Reto;EV Zug;Stürmer;50;15;24;17;7;4;11;16;2;7;2;1
19;Holden Josh;EV Zug;Stürmer;34;15;16;11;5;3;7;12;7;2;1;2
20;Ritchie Byron;SC Bern;Stürmer;50;14;29;17;12;2;10;18;4;11;0;0
21;Sprunger Julien;Fribourg-Gottéron;Stürmer;50;14;26;17;9;1;8;15;6;11;0;0
22;D'Agostini Matt;Genève-Servette HC;Stürmer;40;14;23;11;12;2;11;14;1;6;2;3
23;Paulsson Marcus;HC Davos;Stürmer;41;14;21;13;8;3;12;15;1;6;1;0
24;Axelsson Dick;HC Davos;Stürmer;45;14;19;13;6;2;10;14;3;4;1;1
