R;Spieler;Team;Pos;GP;PIM Total;2' ;5';10';GM;MP
293;Blaser Yannick;EV Zug;Verteidiger;3;2;1;0;0;0;0
294;Bielmann Christian;Fribourg-Gottéron;Stürmer;16;2;1;0;0;0;0
295;Bianchi Elias;EV Zug;Stürmer;29;2;1;0;0;0;0
296;Abplanalp Sandro;Fribourg-Gottéron;Stürmer;24;2;1;0;0;0;0
297;Zigerli Manuel;EHC Biel;Stürmer;10;0;0;0;0;0;0
298;Zangger Simon;SC Rapperswil-Jona Lakers;Verteidiger;6;0;0;0;0;0;0
299;Svensson Patrik;SC Rapperswil-Jona Lakers;Stürmer;10;0;0;0;0;0;0
300;Sutter Patrick;EV Zug;Verteidiger;1;0;0;0;0;0;0
301;Stoffel Andri;ZSC Lions;Verteidiger;10;0;0;0;0;0;0
302;Stalder Ralph;EHC Biel;Verteidiger;2;0;0;0;0;0;0
303;Schommer Patrick;ZSC Lions;Stürmer;3;0;0;0;0;0;0
304;Schnyder Stefan;ZSC Lions;Stürmer;3;0;0;0;0;0;0
305;Ryser Kevin;SC Bern;Verteidiger;1;0;0;0;0;0;0
306;Ruefenacht Thomas;Genève-Servette HC;Stürmer;1;0;0;0;0;0;0
307;Profico Leandro;HC Lugano;Verteidiger;5;0;0;0;0;0;0
308;Müller Yves;Kloten Flyers;Verteidiger;18;0;0;0;0;0;0
309;Meier Trevor;SC Bern;Stürmer;43;0;0;0;0;0;0
310;Marolf Mike;SCL Tigers;Verteidiger;2;0;0;0;0;0;0
311;Lüthi Fabian;EV Zug;Stürmer;26;0;0;0;0;0;0
312;Lemm Fadri;Kloten Flyers;Stürmer;5;0;0;0;0;0;0
313;Lemm Aurelio;ZSC Lions;Stürmer;15;0;0;0;0;0;0
314;Kienzle Lorenz;ZSC Lions;Verteidiger;1;0;0;0;0;0;0
315;Kast Timothy;Genève-Servette HC;Stürmer;11;0;0;0;0;0;0
316;Isabella Joey;HC Ambri-Piotta;Stürmer;5;0;0;0;0;0;0
317;Isabella Claudio;HC Ambri-Piotta;Stürmer;2;0;0;0;0;0;0
318;Iglesias Frédéric;Genève-Servette HC;Verteidiger;2;0;0;0;0;0;0
319;Hostettler Sebastien;EHC Biel;Verteidiger;2;0;0;0;0;0;0
320;Heynen Fernando;Genève-Servette HC;Verteidiger;21;0;0;0;0;0;0
321;Helfer Armin;Kloten Flyers;-;2;0;0;0;0;0;0
322;Gerber Roland;EHC Biel;Stürmer;5;0;0;0;0;0;0
323;Genazzi Joël;Fribourg-Gottéron;Verteidiger;9;0;0;0;0;0;0
324;Gailland Jérémy;Genève-Servette HC;Stürmer;1;0;0;0;0;0;0
325;Füglister Jeffrey;Kloten Flyers;Stürmer;2;0;0;0;0;0;0
326;Donati Gianni;HC Davos;Stürmer;7;0;0;0;0;0;0
327;Conte Fabrizio;HC Lugano;Stürmer;26;0;0;0;0;0;0
328;Carbis Daniel;HC Davos;Stürmer;1;0;0;0;0;0;0
329;Bruderer Sandro;SC Rapperswil-Jona Lakers;Stürmer;1;0;0;0;0;0;0
330;Boss Daniel;EHC Biel;Verteidiger;20;0;0;0;0;0;0
331;Boillat Nicolas;Genève-Servette HC;Stürmer;1;0;0;0;0;0;0
332;Bodenmann Simon;Kloten Flyers;Stürmer;12;0;0;0;0;0;0
333;Banham Frank;EHC Biel;Stürmer;6;0;0;0;0;0;0
