R;Spieler;Team;Pos;GP;PIM Total;2' ;5';10';GM;MP
1;Stancescu Victor;Kloten Flyers;Stürmer;43;126;18;2;2;3;0
2;Rivera Christopher;Genève-Servette HC;Stürmer;50;100;25;0;5;0;0
3;Camichel Duri;SC Rapperswil-Jona Lakers;Stürmer;45;94;17;0;6;0;0
4;Grossmann Robin;HC Davos;Verteidiger;46;92;16;2;1;2;0
5;Hollenstein Denis;Kloten Flyers;Stürmer;48;89;27;1;1;0;1
6;Pouliot Marc-Antoine;EHC Biel;Stürmer;48;86;33;0;2;0;0
7;Picard Alexandre;Genève-Servette HC;Stürmer;32;82;21;0;4;0;0
8;Kwiatkowski Joel;Fribourg-Gottéron;Verteidiger;46;81;23;1;1;1;0
9;Rytz Philippe;SCL Tigers;Verteidiger;50;80;15;0;3;1;0
10;Pelletier Pascal;SCL Tigers;Stürmer;46;76;18;0;2;1;0
11;Gobbi John;HC Ambri-Piotta;Verteidiger;48;75;15;1;2;1;0
12;Kinrade Geoff;SC Bern;Verteidiger;50;69;17;1;1;1;0
13;Helbling Timo;EV Zug;Verteidiger;48;68;29;0;1;0;0
14;Chiesa Alessandro;EV Zug;Verteidiger;50;67;16;1;1;1;0
15;Blaser Yannick;EV Zug;Verteidiger;29;67;16;1;1;0;1
16;Santala Tommi;Kloten Flyers;Stürmer;45;62;26;0;1;0;0
17;Metropolit Glen;HC Lugano;Stürmer;50;62;21;0;2;0;0
18;Wieser Dino;HC Davos;Stürmer;49;58;29;0;0;0;0
19;Schilt Sebastian;Fribourg-Gottéron;Verteidiger;47;56;18;0;2;0;0
20;Schelling Philippe;Kloten Flyers;Verteidiger;50;56;18;0;2;0;0
21;Almond Cody;Genève-Servette HC;Stürmer;39;56;23;0;1;0;0
22;Vukovic Daniel;Genève-Servette HC;Verteidiger;50;54;22;0;1;0;0
23;Von Arx Reto;HC Davos;Stürmer;42;54;22;0;1;0;0
24;Schlagenhauf Roman;HC Ambri-Piotta;Stürmer;49;54;12;0;1;1;0
25;Morant Johan;HC Lugano;Verteidiger;23;53;14;1;0;1;0
26;Reber Jörg;SCL Tigers;Verteidiger;44;52;26;0;0;0;0
