R;Spieler;Team;Pos;GP;G;A;PTS;P/GP;PIM Total;+/-
1;Kolnik Juraj;Genève-Servette HC;Stürmer;49;25;47;72;1.47;64;15
2;Rintanen Kimmo;Kloten Flyers;Stürmer;50;23;44;67;1.34;38;17
3;Thoresen Patrick;HC Lugano;Stürmer;48;22;41;63;1.31;83;11
4;Roest Stacy;SC Rapperswil-Jona Lakers;Stürmer;50;17;46;63;1.26;50;0
5;Ritchie Byron;Genève-Servette HC;Stürmer;45;22;38;60;1.33;62;24
6;Nummelin Petteri;HC Lugano;Verteidiger;41;21;39;60;1.46;16;4
7;Kariya Martin;SCL Tigers;Stürmer;50;15;43;58;1.16;22;0
8;Dubé Christian;SC Bern;Stürmer;46;15;41;56;1.22;32;17
9;Gamache Simon;SC Bern;Stürmer;48;19;35;54;1.12;55;19
10;Gardner Ryan;ZSC Lions;Stürmer;50;25;28;53;1.06;28;-3
11;Nordgren Niklas;SC Rapperswil-Jona Lakers;Stürmer;49;25;28;53;1.08;86;-2
12;Jeannin Sandy;Fribourg-Gottéron;Stürmer;50;15;35;50;1.00;60;6
13;Holden Josh;EV Zug;Stürmer;49;17;32;49;1.00;100;1
14;Roche Travis;SC Bern;Verteidiger;49;16;32;48;0.98;120;22
15;Santala Tommi;Kloten Flyers;Stürmer;50;13;35;48;0.96;96;17
16;Berglund Christian;SC Rapperswil-Jona Lakers;Stürmer;49;22;25;47;0.96;80;-25
17;Duca Paolo;HC Ambri-Piotta;Stürmer;50;18;29;47;0.94;45;-10
18;Jenni Marcel;Kloten Flyers;Stürmer;50;17;30;47;0.94;84;16
19;Sprunger Julien;Fribourg-Gottéron;Stürmer;47;25;21;46;0.98;56;9
20;Fischer Patrick;EV Zug;Stürmer;50;19;27;46;0.92;70;11
21;Burkhalter Loic;SC Rapperswil-Jona Lakers;Stürmer;49;15;31;46;0.94;80;-20
22;Setzinger Oliver;SCL Tigers;Stürmer;46;10;36;46;1.00;79;-8
23;Rüthemann Ivo;SC Bern;Stürmer;37;20;25;45;1.22;41;21
24;Vauclair Julien;HC Lugano;Verteidiger;50;10;35;45;0.90;56;8
25;Plüss Martin;SC Bern;Stürmer;38;21;22;43;1.13;58;12
26;Aubin Serge;Genève-Servette HC;Stürmer;36;15;28;43;1.19;69;6
27;Sejna Peter;ZSC Lions;Stürmer;41;16;26;42;1.02;28;-9
28;Murray Brady;HC Lugano;Stürmer;36;26;15;41;1.14;26;10
29;Riesen Michel;HC Davos;Stürmer;50;24;17;41;0.82;32;14
30;Wick Roman;Kloten Flyers;Stürmer;45;24;17;41;0.91;38;15
31;Ambühl Andres;HC Davos;Stürmer;50;17;24;41;0.82;98;21
32;Steiner Daniel;SCL Tigers;Stürmer;50;24;16;40;0.80;40;2
33;Domenichelli Hnat;HC Lugano;Stürmer;40;21;19;40;1.00;8;-11
34;Trudel Jean-Guy;ZSC Lions;Stürmer;42;16;24;40;0.95;41;2
35;Sykora Petr;HC Davos;Stürmer;49;23;16;39;0.80;20;6
36;Westrum Erik;HC Ambri-Piotta;Stürmer;32;21;18;39;1.22;115;-17
37;Guggisberg Peter;HC Davos;Stürmer;48;20;19;39;0.81;47;24
38;Von Arx Reto;HC Davos;Stürmer;44;15;24;39;0.89;80;9
39;Hamr Radek;Kloten Flyers;Verteidiger;47;9;29;38;0.81;62;14
40;Wichser Adrian;ZSC Lions;Stürmer;44;7;31;38;0.86;6;-4
41;Nüssli Thomas;EHC Biel;Stürmer;48;19;18;37;0.77;42;-8
42;Fata Rico;EHC Biel;Stürmer;45;18;19;37;0.82;44;-5
43;Naumenko Nicholas;HC Ambri-Piotta;Verteidiger;40;10;27;37;0.92;42;-11
44;Pittis Domenico;ZSC Lions;Stürmer;42;15;21;36;0.86;50;8
45;Monnet Thibaut;ZSC Lions;Stürmer;50;14;21;35;0.70;32;12
46;Peter Emanuel;EHC Biel;Stürmer;50;14;21;35;0.70;34;-4
47;Blindenbacher Severin;ZSC Lions;Verteidiger;47;13;22;35;0.74;68;23
48;Alston Jan;ZSC Lions;Stürmer;50;14;20;34;0.68;46;2
49;Bykov Andrey;Fribourg-Gottéron;Stürmer;45;10;24;34;0.76;18;7
50;Di Pietro Paul;EV Zug;Stürmer;50;11;22;33;0.66;42;8
51;Sutter Fabian;SCL Tigers;Stürmer;50;10;23;33;0.66;56;5
52;Toms Jeff;SCL Tigers;Stürmer;23;16;16;32;1.39;41;-6
53;Dupont Micki;EV Zug;Verteidiger;50;13;19;32;0.64;58;3
54;Daigle Alexandre;HC Davos;Stürmer;44;9;23;32;0.73;8;5
55;Vigier Jean-Pierre;Genève-Servette HC;Stürmer;35;20;11;31;0.89;53;15
56;Liniger Michael;Kloten Flyers;Stürmer;48;14;17;31;0.65;12;18
57;Heins Shawn;Fribourg-Gottéron;Verteidiger;47;11;20;31;0.66;174;9
58;Abid Ramzi;SC Bern;Stürmer;33;9;22;31;0.94;87;6
59;Suchy Radoslav;ZSC Lions;Verteidiger;48;6;25;31;0.65;69;15
60;Bezina Goran;Genève-Servette HC;Verteidiger;48;11;19;30;0.62;97;9
61;Knoepfli Michael;Fribourg-Gottéron;Stürmer;50;14;15;29;0.58;22;8
62;Lindemann Sven;Kloten Flyers;Stürmer;50;13;16;29;0.58;73;12
63;Du Bois Felicien;Kloten Flyers;Verteidiger;45;2;27;29;0.64;32;10
64;Salmelainen Tony;Genève-Servette HC;Stürmer;29;16;12;28;0.97;28;1
65;Joggi Mathias;SCL Tigers;Stürmer;50;14;14;28;0.56;60;-13
66;Romy Kevin;HC Lugano;Stürmer;45;9;19;28;0.62;47;6
67;Robitaille Randy;HC Lugano;Stürmer;30;1;27;28;0.93;10;-4
68;Von Gunten Patrick;Kloten Flyers;Verteidiger;46;12;15;27;0.59;90;21
69;Rizzi Sandro;HC Davos;Verteidiger;50;11;16;27;0.54;24;14
70;Camichel Duri;EV Zug;Stürmer;48;10;17;27;0.56;10;0
71;Casutt Corsin;EV Zug;Stürmer;50;14;12;26;0.52;10;9
72;Brunner Damien;EV Zug;Stürmer;47;12;14;26;0.55;18;9
73;Truttmann Marco;EHC Biel;Stürmer;44;9;17;26;0.59;47;-13
74;Bordeleau Sébastien;SC Bern;Stürmer;32;6;20;26;0.81;20;12
75;Seger Mathias;ZSC Lions;Verteidiger;45;4;22;26;0.58;80;-10
76;Marha Josef;HC Davos;Stürmer;49;11;14;25;0.51;44;5
77;Walker Julian;HC Ambri-Piotta;Stürmer;50;11;14;25;0.50;36;-12
78;Ehrensperger Gianni;EHC Biel;Stürmer;47;11;14;25;0.53;30;-2
79;Ling David;EHC Biel;Stürmer;33;9;16;25;0.76;20;1
80;Law Kirby;Fribourg-Gottéron;Stürmer;28;4;21;25;0.89;8;11
81;Pohl John;HC Lugano;Stürmer;22;3;22;25;1.14;26;-1
82;Himelfarb Eric;EHC Biel;Stürmer;47;11;13;24;0.51;60;-26
83;Schnyder Fabian;EV Zug;Stürmer;50;10;14;24;0.48;14;1
84;Josi Roman;SC Bern;Verteidiger;42;7;17;24;0.57;16;10
85;Reuille Sebastien;SC Rapperswil-Jona Lakers;Stürmer;46;12;11;23;0.50;24;-13
