R;Spieler;Team;Pos;GP;PIM Total;2' ;5';10';GM;MP
1;Bell Mark;Kloten Flyers;Stürmer;18;60;15;0;3;0;0
2;Ruefenacht Thomas;EV Zug;Stürmer;10;47;6;1;1;1;0
3;Forster Beat;HC Davos;Verteidiger;14;40;15;0;1;0;0
4;Snell Wesley;EV Zug;Verteidiger;10;35;5;1;0;1;0
5;Kwiatkowski Joel;SC Bern;Verteidiger;10;34;12;0;1;0;0
6;Santala Tommi;Kloten Flyers;Stürmer;16;32;11;0;1;0;0
7;Pelletier Pascal;SCL Tigers;Stürmer;4;29;2;1;0;1;0
8;Bezina Goran;Genève-Servette HC;Verteidiger;6;29;2;1;0;1;0
9;Wieser Dino;HC Davos;Stürmer;14;28;14;0;0;0;0
10;Stancescu Victor;Kloten Flyers;Stürmer;17;28;9;0;1;0;0
11;Grossmann Robin;HC Davos;Verteidiger;14;28;9;0;1;0;0
12;Rytz Philippe;Fribourg-Gottéron;Verteidiger;3;27;1;1;0;0;1
13;Goren Lee;SC Bern;Stürmer;7;27;1;1;0;1;0
14;Wieser Marc;HC Davos;Stürmer;14;24;7;0;1;0;0
15;Plüss Martin;SC Bern;Stürmer;11;24;7;0;1;0;0
16;Rubin Daniel;Genève-Servette HC;Stürmer;5;18;4;0;1;0;0
17;Lindemann Sven;EV Zug;Stürmer;10;16;3;0;1;0;0
18;Rossi Matthias;EV Zug;Stürmer;8;14;2;0;1;0;0
19;Christen Björn;EV Zug;Stürmer;10;14;7;0;0;0;0
20;Winkler Benjamin;Kloten Flyers;Verteidiger;17;12;6;0;0;0;0
21;Vukovic Daniel;Genève-Servette HC;Verteidiger;6;12;6;0;0;0;0
22;Von Arx Jan;HC Davos;Verteidiger;14;12;6;0;0;0;0
23;Sim Jonathan;Fribourg-Gottéron;Stürmer;3;12;1;0;1;0;0
24;Bodenmann Simon;Kloten Flyers;Stürmer;18;12;6;0;0;0;0
25;Blum Eric-Ray;Kloten Flyers;Verteidiger;18;12;6;0;0;0;0
26;Steinmann Janick;HC Davos;Stürmer;13;10;5;0;0;0;0
27;Ramholt Tim;HC Davos;Verteidiger;14;10;5;0;0;0;0
28;Pothier Brian;Genève-Servette HC;Verteidiger;6;10;5;0;0;0;0
29;Oppliger Patrick;EV Zug;Stürmer;9;10;5;0;0;0;0
30;Müller Pascal;ZSC Lions;Verteidiger;5;10;5;0;0;0;0
31;Liniger Michael;Kloten Flyers;Stürmer;18;10;5;0;0;0;0
32;Lemm Romano;Kloten Flyers;Stürmer;16;10;5;0;0;0;0
33;Blaser Yannick;EV Zug;Verteidiger;10;10;5;0;0;0;0
34;Westcott Duvie;ZSC Lions;Verteidiger;5;8;4;0;0;0;0
35;Trachsler Morris;Genève-Servette HC;Stürmer;6;8;4;0;0;0;0
36;Schäppi Reto;ZSC Lions;Stürmer;5;8;4;0;0;0;0
37;Rizzi Sandro;HC Davos;Verteidiger;14;8;4;0;0;0;0
38;Reichert Marc;SC Bern;Stürmer;11;8;4;0;0;0;0
39;Metropolit Glen;EV Zug;Stürmer;10;8;4;0;0;0;0
40;Krueger Justin;SC Bern;Verteidiger;11;8;4;0;0;0;0
41;Joggi Mathias;HC Davos;Stürmer;14;8;4;0;0;0;0
42;Hänni Andreas;SC Bern;Verteidiger;7;8;4;0;0;0;0
43;Gamache Simon;SC Bern;Stürmer;7;8;4;0;0;0;0
44;Du Bois Felicien;Kloten Flyers;Verteidiger;18;8;4;0;0;0;0
45;Birbaum Alain;Fribourg-Gottéron;Verteidiger;4;8;4;0;0;0;0
46;Back Rene;HC Davos;Verteidiger;13;8;4;0;0;0;0
47;Wozniewski Andy;EV Zug;Verteidiger;10;6;3;0;0;0;0
48;Welti Marc;Kloten Flyers;Verteidiger;16;6;3;0;0;0;0
49;Von Gunten Patrick;Kloten Flyers;Verteidiger;18;6;3;0;0;0;0
50;Von Arx Reto;HC Davos;Stürmer;14;6;3;0;0;0;0
51;Toms Jeff;Genève-Servette HC;Stürmer;6;6;3;0;0;0;0
52;Roche Travis;SC Bern;Verteidiger;9;6;3;0;0;0;0
53;Rintanen Kimmo;Kloten Flyers;Stürmer;16;6;3;0;0;0;0
54;Pittis Domenico;ZSC Lions;Stürmer;5;6;3;0;0;0;0
55;Monnet Thibaut;ZSC Lions;Stürmer;5;6;3;0;0;0;0
56;McLean Brett;SC Bern;Stürmer;6;6;3;0;0;0;0
57;Kellenberger Steve;Kloten Flyers;Stürmer;18;6;3;0;0;0;0
58;Jobin David;SC Bern;Verteidiger;11;6;3;0;0;0;0
