R;Spieler;Team;Pos;GP;PIM Total;2' ;5';10';GM;MP
1;Kamerzin Jérémie;Fribourg-Gottéron;Verteidiger;9;35;5;1;0;1;0
2;Bezina Goran;Genève-Servette HC;Verteidiger;12;35;5;1;0;1;0
3;Maurer Marco;HC Lugano;Verteidiger;5;33;4;1;0;1;0
4;Wieser Dino;HC Davos;Stürmer;6;32;6;0;2;0;0
5;Bergeron Marc-André;ZSC Lions;Verteidiger;14;31;3;1;0;1;0
6;Park Richard;HC Ambri-Piotta;Stürmer;4;29;2;1;0;1;0
7;Fischer Simon;Lausanne HC;Stürmer;7;29;2;1;0;1;0
8;Vandermeer James;Kloten Flyers;Verteidiger;16;28;14;0;0;0;0
9;Geering Patrick;ZSC Lions;Verteidiger;16;27;1;1;0;1;0
10;Deruns Thomas;Lausanne HC;Stürmer;7;27;1;1;0;1;0
11;Seger Mathias;ZSC Lions;Verteidiger;17;26;13;0;0;0;0
12;Ruefenacht Thomas;HC Lugano;Stürmer;5;26;3;0;2;0;0
13;Picard Alexandre;Genève-Servette HC;Stürmer;11;26;8;0;1;0;0
14;Taticek Petr;HC Davos;Stürmer;2;25;0;1;0;1;0
15;Santala Tommi;Kloten Flyers;Stürmer;16;22;11;0;0;0;0
16;Wick Roman;ZSC Lions;Stürmer;18;20;5;0;1;0;0
17;Walker Julian;HC Lugano;Stürmer;4;20;5;0;1;0;0
18;Hollenstein Denis;Genève-Servette HC;Stürmer;12;18;9;0;0;0;0
19;Jenni Marcel;Kloten Flyers;Stürmer;15;16;3;0;1;0;0
20;Hagman Niklas;Fribourg-Gottéron;Stürmer;10;16;3;0;1;0;0
21;Blindenbacher Severin;ZSC Lions;Verteidiger;18;16;8;0;0;0;0
22;Stancescu Victor;Kloten Flyers;Stürmer;16;14;7;0;0;0;0
23;Schelling Philippe;Kloten Flyers;Verteidiger;16;14;7;0;0;0;0
24;Grossmann Robin;HC Davos;Verteidiger;6;14;2;0;1;0;0
25;Gobbi John;Lausanne HC;Verteidiger;7;14;2;0;1;0;0
26;Simek Juraj;Genève-Servette HC;Stürmer;12;12;6;0;0;0;0
27;Lombardi Matthew;Genève-Servette HC;Stürmer;12;12;6;0;0;0;0
28;Helbling Timo;Fribourg-Gottéron;Verteidiger;10;12;6;0;0;0;0
29;Dupont Micki;Kloten Flyers;Verteidiger;16;12;6;0;0;0;0
30;Blum Eric-Ray;Kloten Flyers;Verteidiger;15;12;6;0;0;0;0
31;Antonietti Eliot;Genève-Servette HC;Verteidiger;12;12;6;0;0;0;0
32;Von Gunten Patrick;Kloten Flyers;Verteidiger;14;10;5;0;0;0;0
33;Randegger Gian-Andrea;Kloten Flyers;Verteidiger;16;10;5;0;0;0;0
34;Ngoy Michael;Fribourg-Gottéron;Verteidiger;10;10;5;0;0;0;0
35;Ness Martin;Fribourg-Gottéron;Stürmer;10;10;5;0;0;0;0
36;Micflikier Jacob;HC Lugano;Stürmer;2;10;0;0;1;0;0
37;McLean Brett;HC Lugano;Stürmer;5;10;5;0;0;0;0
38;Genoway Colby;Lausanne HC;Stürmer;7;10;5;0;0;0;0
39;Fritsche Dan;ZSC Lions;Stürmer;18;10;5;0;0;0;0
40;Cunti Luca;ZSC Lions;Stürmer;18;10;5;0;0;0;0
41;Vukovic Daniel;Genève-Servette HC;Verteidiger;12;8;4;0;0;0;0
