R;Spieler;Team;Pos;GP;PIM Total;2' ;5';10';GM;MP
1;Lapierre Maxim;HC Lugano;Stürmer;15;88;14;0;4;1;0
2;Sannitz Raffaele;HC Lugano;Stürmer;15;47;6;1;1;1;0
3;Roy Derek;SC Bern;Stürmer;13;42;6;0;3;0;0
4;Slater Jim;Genève-Servette HC;Stürmer;10;41;8;1;0;1;0
5;Picard Alexandre;HC Davos;Stürmer;4;29;2;1;0;1;0
6;Forster Beat;HC Davos;Verteidiger;8;29;2;1;0;1;0
7;Collenberg Franco;Kloten Flyers;Verteidiger;2;25;0;1;0;1;0
8;Helbling Timo;SC Bern;Verteidiger;13;24;12;0;0;0;0
9;Chiesa Alessandro;HC Lugano;Verteidiger;15;24;7;0;1;0;0
10;Ruefenacht Thomas;SC Bern;Stürmer;14;20;10;0;0;0;0
11;Conacher Cory;SC Bern;Stürmer;14;20;10;0;0;0;0
12;Wieser Dino;HC Davos;Stürmer;9;18;9;0;0;0;0
13;Fransson Johan;Genève-Servette HC;Verteidiger;11;18;4;0;1;0;0
14;Blum Eric-Ray;SC Bern;Verteidiger;10;18;9;0;0;0;0
15;Axelsson Dick;HC Davos;Stürmer;9;18;4;0;1;0;0
16;Romy Kevin;Genève-Servette HC;Stürmer;11;16;3;0;1;0;0
17;Furrer Philippe;HC Lugano;Verteidiger;15;16;8;0;0;0;0
18;Schilt Sebastian;Fribourg-Gottéron;Verteidiger;5;14;2;0;1;0;0
19;Rivera Christopher;Fribourg-Gottéron;Stürmer;5;14;2;0;1;0;0
20;Mottet Killian;Fribourg-Gottéron;Stürmer;4;14;2;0;1;0;0
21;Krueger Justin;SC Bern;Verteidiger;13;14;7;0;0;0;0
22;Bouchard Pierre-Marc;EV Zug;Stürmer;4;14;2;0;1;0;0
23;Wieser Marc;HC Davos;Stürmer;9;12;6;0;0;0;0
24;Ulmer Stefan;HC Lugano;Verteidiger;12;12;6;0;0;0;0
25;Traber Tim;Genève-Servette HC;Stürmer;11;12;6;0;0;0;0
26;Brunner Damien;HC Lugano;Stürmer;14;12;6;0;0;0;0
27;Vauclair Julien;HC Lugano;Verteidiger;12;10;5;0;0;0;0
28;Setoguchi Devin;HC Davos;Stürmer;7;10;0;0;1;0;0
29;Riat Damien;Genève-Servette HC;Stürmer;4;10;5;0;0;0;0
30;Loeffel Romain;Genève-Servette HC;Verteidiger;11;10;5;0;0;0;0
31;Ambühl Andres;HC Davos;Stürmer;9;10;5;0;0;0;0
32;Schneeberger Noah;HC Davos;Verteidiger;9;8;4;0;0;0;0
