R;Spieler;Team;Pos;GP;PIM Total;2' ;5';10';GM;MP
1;Helbling Timo;Fribourg-Gottéron;Verteidiger;45;86;28;0;3;0;0
2;Grossmann Robin;EV Zug;Verteidiger;50;83;24;1;1;1;0
3;Wieser Marc;HC Davos;Stürmer;47;82;16;2;0;2;0
4;Maurer Marco;HC Lugano;Verteidiger;38;80;10;2;1;2;0
5;Gobbi John;Lausanne HC;Verteidiger;50;70;20;0;1;1;0
6;Alatalo Santeri;EV Zug;Verteidiger;47;69;22;1;0;1;0
7;Scherwey Tristan;SC Bern;Stürmer;45;68;9;2;0;2;0
8;Holden Josh;EV Zug;Stürmer;34;68;19;0;3;0;0
9;Kwiatkowski Joel;Fribourg-Gottéron;Verteidiger;42;67;21;1;0;1;0
10;Pouliot Marc-Antoine;Fribourg-Gottéron;Stürmer;49;66;28;0;1;0;0
11;Chiesa Alessandro;HC Lugano;Verteidiger;49;63;14;1;1;1;0
12;Wieser Dino;HC Davos;Stürmer;38;59;17;1;0;1;0
13;Mieville Alain;Lausanne HC;Stürmer;49;59;12;1;1;1;0
14;Spylo Ahren;EHC Biel;Stürmer;45;58;19;0;2;0;0
15;Walker Julian;HC Lugano;Stürmer;47;55;15;1;0;1;0
16;Leeger Larri;Lausanne HC;Verteidiger;50;54;17;0;2;0;0
17;Ruefenacht Thomas;SC Bern;Stürmer;45;53;14;1;0;1;0
18;Danielsson Nicklas;SC Rapperswil-Jona Lakers;Stürmer;46;50;20;0;1;0;0
19;Pesonen Harri;Lausanne HC;Stürmer;48;49;12;1;0;1;0
20;Suri Reto;EV Zug;Stürmer;50;48;24;0;0;0;0
21;Ramholt Tim;EV Zug;Verteidiger;50;48;19;0;1;0;0
22;Steiner Nicholas;EHC Biel;Verteidiger;44;47;11;1;0;1;0
23;Duca Paolo;HC Ambri-Piotta;Stürmer;48;47;11;1;0;1;0
24;Johansson Mikael;SC Rapperswil-Jona Lakers;Stürmer;40;44;7;0;1;1;0
25;Mottet Killian;Fribourg-Gottéron;Stürmer;50;43;9;1;0;1;0
26;Krueger Justin;SC Bern;Verteidiger;41;43;9;1;0;1;0
27;Dubé Christian;Fribourg-Gottéron;Stürmer;46;43;9;1;0;1;0
28;Santala Tommi;Kloten Flyers;Stürmer;39;42;21;0;0;0;0
29;Ryser Sven;SC Rapperswil-Jona Lakers;Stürmer;40;42;16;0;1;0;0
30;Traber Tim;Genève-Servette HC;Stürmer;29;41;8;1;0;1;0
31;Stucki Christian;HC Ambri-Piotta;Stürmer;32;41;8;1;0;1;0
32;Lammer Dominic;EV Zug;Stürmer;44;41;8;1;0;1;0
33;Herburger Raphael;EHC Biel;Stürmer;41;41;8;1;0;1;0
34;Antonietti Eliot;Genève-Servette HC;Verteidiger;48;41;8;1;0;1;0
35;Samson Jérôme;EHC Biel;Stürmer;12;40;5;0;1;1;0
36;Birbaum Alain;HC Ambri-Piotta;Verteidiger;48;40;20;0;0;0;0
37;Vandermeer James;Kloten Flyers;Verteidiger;43;39;7;1;0;1;0
38;Siegenthaler Jonas;ZSC Lions;Verteidiger;41;39;7;1;0;1;0
39;Vauclair Tristan;Fribourg-Gottéron;Stürmer;42;38;14;0;1;0;0
40;Ritchie Byron;SC Bern;Stürmer;50;38;14;0;1;0;0
41;Hächler Cedric;SC Rapperswil-Jona Lakers;Verteidiger;50;38;19;0;0;0;0
42;Bergeron Marc-André;ZSC Lions;Verteidiger;46;38;19;0;0;0;0
43;Baltisberger Chris;ZSC Lions;Stürmer;47;38;19;0;0;0;0
44;Louhivaara Ossi;Lausanne HC;Stürmer;46;37;6;1;0;1;0
45;Gerber Beat;SC Bern;Verteidiger;39;37;6;1;0;1;0
46;Wick Roman;ZSC Lions;Stürmer;49;36;18;0;0;0;0
47;Sannitz Raffaele;HC Lugano;Stürmer;48;36;18;0;0;0;0
48;Pettersson Fredrik;HC Lugano;Stürmer;49;36;18;0;0;0;0
49;Hürlimann Stefan;SC Rapperswil-Jona Lakers;Stürmer;49;36;13;0;1;0;0
50;Bodenmann Simon;Kloten Flyers;Stürmer;49;36;18;0;0;0;0
51;Back Rene;Kloten Flyers;Verteidiger;50;36;18;0;0;0;0
52;Vukovic Daniel;Genève-Servette HC;Verteidiger;50;34;12;0;1;0;0
53;Stancescu Victor;Kloten Flyers;Stürmer;39;34;17;0;0;0;0
54;Koistinen Ville;HC Davos;Verteidiger;40;34;12;0;1;0;0
55;Kamerzin Jérémie;Fribourg-Gottéron;Verteidiger;38;34;7;0;2;0;0
56;Hall Adam;HC Ambri-Piotta;Stürmer;50;34;17;0;0;0;0
57;Gerber Roland;Genève-Servette HC;Stürmer;45;34;12;0;1;0;0
58;Earl Robbie;EV Zug;Stürmer;48;34;17;0;0;0;0
59;Christen Björn;EV Zug;Stürmer;43;33;4;1;0;1;0
60;Joggi Mathias;EHC Biel;Stürmer;39;32;16;0;0;0;0
