R;Spieler;Team;Pos;GP;PIM Total;2' ;5';10';GM;MP
1;Helbling Timo;HC Lugano;Verteidiger;46;168;29;2;4;2;1
2;Joggi Mathias;HC Davos;Stürmer;46;131;33;1;4;0;1
3;Snell Wesley;EV Zug;Verteidiger;47;126;43;0;4;0;0
4;Jackman Richard;EHC Biel;Verteidiger;47;113;29;1;3;0;1
5;Steinegger Martin;EHC Biel;Verteidiger;48;112;41;0;3;0;0
6;Forster Beat;HC Davos;Verteidiger;50;97;26;1;2;1;0
7;Rubin Daniel;Genève-Servette HC;Stürmer;50;93;24;1;2;1;0
8;Kolnik Juraj;Genève-Servette HC;Stürmer;46;93;14;1;2;1;1
9;Wieser Marc;HC Davos;Stürmer;48;85;20;1;2;1;0
10;Seger Mathias;ZSC Lions;Verteidiger;47;80;25;0;3;0;0
11;Von Arx Reto;HC Davos;Stürmer;49;78;19;0;2;1;0
12;Heins Shawn;Fribourg-Gottéron;Verteidiger;48;78;29;0;2;0;0
13;Breitbach Robin;Genève-Servette HC;Verteidiger;47;75;20;1;1;1;0
14;Berglund Christian;SC Rapperswil-Jona Lakers;Stürmer;43;75;20;1;1;1;0
15;Sannitz Raffaele;HC Lugano;Stürmer;32;74;17;0;2;1;0
16;Schneeberger Noah;EHC Biel;Verteidiger;50;73;24;1;0;1;0
17;Robitaille Randy;HC Lugano;Stürmer;50;72;11;0;3;1;0
18;Mercier Jonathan;Genève-Servette HC;Verteidiger;50;71;18;1;1;1;0
19;Bell Mark;Kloten Flyers;Stürmer;39;69;17;1;1;0;1
20;Grossmann Robin;HC Davos;Verteidiger;50;68;29;0;1;0;0
21;Plüss Benny;Fribourg-Gottéron;Stürmer;43;67;16;1;1;1;0
22;Akerman Johan;HC Lugano;Verteidiger;36;67;16;1;1;1;0
23;Furrer Philippe;SC Bern;Verteidiger;30;65;20;1;0;1;0
24;Vauclair Julien;HC Lugano;Verteidiger;35;64;7;2;0;2;0
25;Ruefenacht Thomas;EV Zug;Stürmer;44;63;14;1;1;1;0
26;Oppliger Patrick;EV Zug;Stürmer;49;63;19;1;0;1;0
27;Aubin Serge;Fribourg-Gottéron;Stürmer;49;62;21;0;2;0;0
28;Lindemann Sven;Kloten Flyers;Stürmer;50;61;13;1;1;1;0
29;Santala Tommi;Kloten Flyers;Stürmer;47;59;17;1;0;1;0
30;Pöck Thomas;SC Rapperswil-Jona Lakers;Verteidiger;49;58;24;0;1;0;0
31;Blum Eric-Ray;SCL Tigers;Verteidiger;49;58;14;0;1;1;0
32;Paterlini Thierry;SC Rapperswil-Jona Lakers;Stürmer;46;52;21;0;1;0;0
33;Maurer Marco;Genève-Servette HC;Verteidiger;49;52;16;0;2;0;0
34;Vigier Jean-Pierre;SC Bern;Stürmer;49;50;20;0;1;0;0
35;Roche Travis;SC Bern;Verteidiger;47;50;15;0;2;0;0
36;Birbaum Alain;Fribourg-Gottéron;Verteidiger;50;50;20;0;1;0;0
37;Tschantré Mathieu;EHC Biel;Stürmer;41;48;14;0;2;0;0
38;Pittis Domenico;ZSC Lions;Stürmer;37;48;19;0;1;0;0
39;Holden Josh;EV Zug;Stürmer;46;48;19;0;1;0;0
40;Dupont Micki;EV Zug;Verteidiger;46;48;19;0;1;0;0
41;Conz Florian;Genève-Servette HC;Stürmer;50;48;19;0;1;0;0
42;Christen Björn;EV Zug;Stürmer;49;48;19;0;1;0;0
43;Bordeleau Sébastien;EHC Biel;Stürmer;47;48;24;0;0;0;0
44;Alston Jan;ZSC Lions;Stürmer;49;48;24;0;0;0;0
45;Rivera Christopher;Genève-Servette HC;Stürmer;49;46;18;0;1;0;0
46;Camichel Duri;EV Zug;Stürmer;47;46;18;0;1;0;0
47;Sciaroni Gregory;HC Davos;Stürmer;47;45;10;1;0;1;0
48;Hoehener Martin;Genève-Servette HC;Verteidiger;47;45;10;1;0;1;0
49;Vauclair Tristan;HC Lugano;Stürmer;50;44;17;0;1;0;0
50;Toms Jeff;Genève-Servette HC;Stürmer;40;44;17;0;1;0;0
51;Reber Jörg;SCL Tigers;Verteidiger;48;44;22;0;0;0;0
52;Ramholt Tim;HC Davos;Verteidiger;50;44;17;0;1;0;0
53;Neff Claudio;HC Ambri-Piotta;Stürmer;24;44;12;0;2;0;0
54;Deruns Thomas;Genève-Servette HC;Stürmer;50;44;17;0;1;0;0
55;Steinmann Janick;EV Zug;Stürmer;49;43;9;1;0;1;0
56;Rothen Frederic;Kloten Flyers;Stürmer;42;43;9;1;0;1;0
57;Stancescu Victor;Kloten Flyers;Stürmer;48;42;21;0;0;0;0
58;Rytz Philippe;SC Bern;Verteidiger;44;42;16;0;1;0;0
59;Monnet Thibaut;ZSC Lions;Stürmer;49;42;21;0;0;0;0
60;Gerber Lukas;Fribourg-Gottéron;Verteidiger;36;42;16;0;1;0;0
61;Camenzind Andreas;SCL Tigers;Verteidiger;47;42;21;0;0;0;0
62;Wetzel Philipp;EHC Biel;Stürmer;41;40;10;0;2;0;0
63;Westrum Erik;HC Ambri-Piotta;Stürmer;40;40;15;0;1;0;0
64;Walker Julian;HC Ambri-Piotta;Stürmer;48;40;15;0;1;0;0
65;McTavish Dale;EV Zug;Stürmer;43;40;15;0;1;0;0
66;Jenni Marcel;Kloten Flyers;Stürmer;49;40;15;0;1;0;0
67;Gerber Beat;SC Bern;Verteidiger;49;40;15;0;1;0;0
68;Duca Paolo;HC Ambri-Piotta;Stürmer;50;40;15;0;1;0;0
69;Brunner Adrian;HC Ambri-Piotta;Stürmer;48;40;20;0;0;0;0
70;Scherwey Tristan;SC Bern;Stürmer;36;39;7;1;0;1;0
71;Zeiter Michel;Kloten Flyers;Stürmer;43;38;19;0;0;0;0
72;Sidler Patrick;Kloten Flyers;Verteidiger;50;38;19;0;0;0;0
73;Kutlak Zdenek;HC Ambri-Piotta;Verteidiger;46;38;14;0;1;0;0
74;Furrer Andreas;SC Rapperswil-Jona Lakers;Verteidiger;48;38;19;0;0;0;0
75;Camichel Corsin;EV Zug;Stürmer;41;36;8;0;2;0;0
76;Widing Daniel;HC Davos;Stürmer;45;34;12;0;1;0;0
77;Rivers Jamie;HC Ambri-Piotta;Verteidiger;24;34;12;0;1;0;0
78;Näser Andy;HC Lugano;Stürmer;50;34;12;0;1;0;0
79;Jeannin Sandy;Fribourg-Gottéron;Stürmer;32;34;7;0;2;0;0
80;Bezina Goran;Genève-Servette HC;Verteidiger;47;34;17;0;0;0;0
81;Bärtschi Patrik;ZSC Lions;Stürmer;49;34;12;0;1;0;0
82;Walser Thomas;SC Rapperswil-Jona Lakers;Stürmer;51;32;11;0;1;0;0
83;Murphy Curtis;SCL Tigers;Verteidiger;50;32;16;0;0;0;0
84;Helfenstein Sven;SCL Tigers;Stürmer;44;32;11;0;1;0;0
85;Gobbi John;Genève-Servette HC;Verteidiger;32;32;16;0;0;0;0
86;Fröhlicher Joel;EHC Biel;Verteidiger;32;32;16;0;0;0;0
87;Fischer Patrick;EV Zug;Verteidiger;49;32;16;0;0;0;0
88;Bartecko Lubos;SC Bern;Stürmer;28;32;6;0;2;0;0
89;Wieser Dino;HC Davos;Stürmer;40;30;15;0;0;0;0
90;Von Gunten Patrick;Kloten Flyers;Verteidiger;50;30;15;0;0;0;0
91;Voisard Gaetan;Fribourg-Gottéron;Verteidiger;41;30;10;0;1;0;0
92;Savary Paul;Genève-Servette HC;Stürmer;50;30;15;0;0;0;0
93;Naumenko Nicholas;SCL Tigers;Verteidiger;50;30;15;0;0;0;0
94;Marha Josef;HC Davos;Stürmer;48;30;15;0;0;0;0
95;Kobach Reto;HC Ambri-Piotta;Verteidiger;47;30;15;0;0;0;0
96;Gautschi Marc;HC Ambri-Piotta;Verteidiger;46;30;10;0;1;0;0
97;Vukovic Daniel;Genève-Servette HC;Verteidiger;44;28;9;0;1;0;0
98;Von Arx Jan;HC Davos;Verteidiger;39;28;14;0;0;0;0
99;Trunz Adrian;EHC Biel;Verteidiger;49;28;14;0;0;0;0
100;Trachsler Morris;Genève-Servette HC;Stürmer;46;28;9;0;1;0;0
101;Suchy Radoslav;ZSC Lions;Verteidiger;44;28;14;0;0;0;0
102;Siren Niki;SC Rapperswil-Jona Lakers;Verteidiger;48;28;14;0;0;0;0
103;Romy Kevin;HC Lugano;Stürmer;37;28;9;0;1;0;0
104;Murovic Mirko;HC Ambri-Piotta;Stürmer;49;28;14;0;0;0;0
105;Müller Pascal;ZSC Lions;Verteidiger;37;28;9;0;1;0;0
106;Moser Simon;SCL Tigers;Stürmer;50;28;14;0;0;0;0
107;Hamilton Jeff;HC Lugano;Stürmer;46;28;9;0;1;0;0
108;Gardner Ryan;ZSC Lions;Stürmer;49;28;14;0;0;0;0
109;Fata Rico;EHC Biel;Stürmer;41;28;9;0;1;0;0
110;Bieber Matthias;SCL Tigers;Stürmer;36;28;9;0;1;0;0
111;Back Rene;HC Davos;Verteidiger;49;28;14;0;0;0;0
112;Stoffel Andri;ZSC Lions;Verteidiger;49;26;13;0;0;0;0
113;Schnyder Fabian;EV Zug;Stürmer;49;26;13;0;0;0;0
114;Roest Stacy;SC Rapperswil-Jona Lakers;Stürmer;49;26;8;0;1;0;0
115;Rintanen Kimmo;Kloten Flyers;Stürmer;48;26;8;0;1;0;0
116;Peter Emanuel;EHC Biel;Stürmer;50;26;13;0;0;0;0
117;Nüssli Thomas;EHC Biel;Stürmer;35;26;13;0;0;0;0
118;Moggi Claudio;SCL Tigers;Stürmer;34;26;8;0;1;0;0
119;Liniger Michael;Kloten Flyers;Stürmer;37;26;13;0;0;0;0
120;Hänni Andreas;SC Bern;Verteidiger;41;26;13;0;0;0;0
121;Du Bois Felicien;Kloten Flyers;Verteidiger;34;26;8;0;1;0;0
122;Demuth Alain;HC Ambri-Piotta;Stürmer;46;26;13;0;0;0;0
123;Bundi Ralph;HC Ambri-Piotta;Verteidiger;32;26;13;0;0;0;0
124;Wirz Valentin;Fribourg-Gottéron;Stürmer;39;24;12;0;0;0;0
125;Winkler Benjamin;Kloten Flyers;Verteidiger;20;24;7;0;1;0;0
126;Sutter Fabian;SCL Tigers;Stürmer;48;24;12;0;0;0;0
127;Suri Reto;Genève-Servette HC;Stürmer;47;24;7;0;1;0;0
128;Reichert Marc;SC Bern;Stürmer;48;24;12;0;0;0;0
129;Nodari Matteo;HC Lugano;Verteidiger;48;24;12;0;0;0;0
130;Meier Dominic;SC Bern;Verteidiger;30;24;12;0;0;0;0
131;McLean Brett;SC Bern;Stürmer;34;24;7;0;1;0;0
132;Law Kirby;HC Ambri-Piotta;Stürmer;48;24;7;0;1;0;0
133;Krutov Alexei;ZSC Lions;Stürmer;34;24;7;0;1;0;0
134;Jacquemet Arnaud;Kloten Flyers;Stürmer;50;24;7;0;1;0;0
135;Chiesa Alessandro;HC Lugano;Verteidiger;50;24;12;0;0;0;0
136;Brown Curtis;EHC Biel;Stürmer;49;24;12;0;0;0;0
137;Bianchi Mattia;HC Ambri-Piotta;Stürmer;49;24;12;0;0;0;0
138;Bastl Mark;ZSC Lions;Stürmer;49;24;12;0;0;0;0
139;Taticek Petr;HC Davos;Stürmer;48;22;6;0;1;0;0
140;Stettler Martin;SC Bern;Verteidiger;40;22;11;0;0;0;0
141;Reist Alain;ZSC Lions;Verteidiger;38;22;6;0;1;0;0
142;Leblanc Robin;Fribourg-Gottéron;Stürmer;35;22;6;0;1;0;0
143;Haas Lukas;SCL Tigers;Stürmer;49;22;11;0;0;0;0
144;Grauwiler Lukas;ZSC Lions;Stürmer;49;22;11;0;0;0;0
145;Diaz Raphael;EV Zug;Verteidiger;49;22;11;0;0;0;0
146;Brunner Damien;EV Zug;Stürmer;47;22;11;0;0;0;0
147;Beccarelli Mauro;EHC Biel;Stürmer;42;22;11;0;0;0;0
148;Neuenschwander Caryl;SC Bern;Stürmer;50;20;10;0;0;0;0
149;Mowers Mark;Fribourg-Gottéron;Stürmer;42;20;10;0;0;0;0
150;Leuenberger Marc;Fribourg-Gottéron;Verteidiger;49;20;10;0;0;0;0
151;Lemm Romano;HC Lugano;Stürmer;41;20;5;0;1;0;0
152;Kostovic Dario;ZSC Lions;Stürmer;47;20;10;0;0;0;0
153;Hollenstein Denis;Kloten Flyers;Stürmer;28;20;10;0;0;0;0
154;Hasani Adam;Fribourg-Gottéron;Stürmer;44;20;10;0;0;0;0
155;Hamr Radek;Kloten Flyers;Verteidiger;14;20;10;0;0;0;0
156;Casutt Corsin;Fribourg-Gottéron;Stürmer;49;20;10;0;0;0;0
157;Brooks Brendan;SCL Tigers;Stürmer;50;20;10;0;0;0;0
158;Blatter Florian;SC Rapperswil-Jona Lakers;Verteidiger;42;20;10;0;0;0;0
159;Abplanalp Marc;Fribourg-Gottéron;Verteidiger;47;20;10;0;0;0;0
160;Zigerli Manuel;EHC Biel;Stürmer;46;18;9;0;0;0;0
161;Untersander Ramon;HC Davos;Verteidiger;35;18;4;0;1;0;0
162;Truttmann Marco;EHC Biel;Stürmer;43;18;4;0;1;0;0
163;Setzinger Oliver;HC Davos;Stürmer;49;18;9;0;0;0;0
164;Schönenberger Lovis;HC Ambri-Piotta;Stürmer;46;18;4;0;1;0;0
165;Schnyder Daniel;ZSC Lions;Verteidiger;48;18;9;0;0;0;0
166;Plüss Martin;SC Bern;Stürmer;45;18;9;0;0;0;0
167;Mattioli Daniele;HC Ambri-Piotta;Verteidiger;31;18;9;0;0;0;0
168;Kamber Oliver;HC Lugano;Stürmer;47;18;9;0;0;0;0
169;Forrest Justin;Kloten Flyers;Verteidiger;30;18;9;0;0;0;0
170;Collenberg Franco;Fribourg-Gottéron;Verteidiger;50;18;9;0;0;0;0
171;Burkhalter Loic;SC Rapperswil-Jona Lakers;Stürmer;26;18;9;0;0;0;0
172;Botta Roman;HC Ambri-Piotta;Stürmer;50;18;4;0;1;0;0
173;Trudel Jean-Guy;ZSC Lions;Stürmer;37;16;8;0;0;0;0
174;Müller Yves;Kloten Flyers;Verteidiger;39;16;8;0;0;0;0
175;Moggi Sandro;SCL Tigers;Stürmer;49;16;8;0;0;0;0
176;Lüthi Simon;SCL Tigers;Verteidiger;47;16;8;0;0;0;0
177;Geyer Cyrill;SC Rapperswil-Jona Lakers;Verteidiger;45;16;8;0;0;0;0
178;Gamache Simon;SC Bern;Stürmer;30;16;8;0;0;0;0
179;Friedli Samuel;SC Rapperswil-Jona Lakers;Stürmer;45;16;8;0;0;0;0
180;Donati Gianni;HC Davos;Stürmer;18;16;3;0;1;0;0
181;Domenichelli Hnat;HC Lugano;Stürmer;50;16;8;0;0;0;0
182;Di Pietro Paul;EV Zug;Stürmer;49;16;8;0;0;0;0
183;Conne Flavien;HC Lugano;Stürmer;28;16;8;0;0;0;0
184;Clarke Noah;HC Ambri-Piotta;Stürmer;22;16;8;0;0;0;0
185;Botter Cédric;Fribourg-Gottéron;Stürmer;40;16;8;0;0;0;0
186;Berger Sven;SC Rapperswil-Jona Lakers;Verteidiger;42;16;3;0;1;0;0
187;Berger Pascal;SC Bern;Stürmer;49;16;8;0;0;0;0
188;Seydoux Philippe;EHC Biel;Verteidiger;23;14;7;0;0;0;0
189;Salmelainen Tony;Genève-Servette HC;Stürmer;50;14;7;0;0;0;0
190;Rüthemann Ivo;SC Bern;Stürmer;50;14;7;0;0;0;0
191;Kparghai Clarence;EHC Biel;Verteidiger;41;14;7;0;0;0;0
192;Jobin David;SC Bern;Verteidiger;45;14;7;0;0;0;0
193;Hürlimann Stefan;Genève-Servette HC;Stürmer;44;14;7;0;0;0;0
194;Hirschi Steve;HC Lugano;Verteidiger;49;14;7;0;0;0;0
195;Goren Lee;SC Bern;Stürmer;9;14;2;0;1;0;0
196;Froidevaux Etienne;SC Bern;Stürmer;36;14;7;0;0;0;0
197;Bürgler Dario;HC Davos;Stürmer;50;14;7;0;0;0;0
198;Bühler Cyrill;ZSC Lions;Stürmer;24;14;2;0;1;0;0
199;Bonnet Julien;Kloten Flyers;Verteidiger;41;14;7;0;0;0;0
200;Blaser Yannick;EV Zug;Verteidiger;47;14;7;0;0;0;0
201;Ziegler Thomas;SC Bern;Stürmer;10;12;1;0;1;0;0
202;Schlagenhauf Roman;HC Lugano;Stürmer;50;12;6;0;0;0;0
203;Schelling Philippe;ZSC Lions;Verteidiger;8;12;6;0;0;0;0
204;Rizzi Sandro;HC Davos;Verteidiger;47;12;6;0;0;0;0
205;Rizzello Antonio;SC Rapperswil-Jona Lakers;Stürmer;50;12;6;0;0;0;0
206;Riesen Michel;SC Rapperswil-Jona Lakers;Stürmer;41;12;6;0;0;0;0
207;Murray Brady;HC Lugano;Stürmer;47;12;6;0;0;0;0
208;Murley Matt;SC Rapperswil-Jona Lakers;Stürmer;14;12;6;0;0;0;0
