R;Team;GP;GF;GF/GP;GA;GA/GP;GF even;GF even/GP;GA even;GA even/GP;PPG;PPG/GP;PP GA;PP GA/GP;SHG;PK GF/GP;PK GA;PK GA/GP;SOWGF;SOWGA
1;EHC Visp;48;190;3.96;162;3.38;128;2.67;121;2.52;50;1.04;4;0.08;9;0.19;35;0.73;3;2
2;SCL Tigers;48;182;3.79;126;2.62;127;2.65;86;1.79;47;0.98;9;0.19;6;0.12;29;0.60;2;2
3;EHC Olten;48;160;3.33;156;3.25;112;2.33;110;2.29;38;0.79;9;0.19;9;0.19;37;0.77;1;0
4;HC La Chaux-de-Fonds;48;157;3.27;148;3.08;114;2.38;95;1.98;32;0.67;8;0.17;10;0.21;40;0.83;1;5
;Durchschnitt;48;149;3.10;149;3.10;103;2.15;103;2.15;37;0.77;6;0.12;6;0.12;37;0.77;2;2
5;HC Red Ice;48;147;3.06;133;2.77;101;2.10;84;1.75;36;0.75;5;0.10;6;0.12;42;0.88;4;2
6;SC Langenthal;48;140;2.92;147;3.06;90;1.88;101;2.10;40;0.83;2;0.04;7;0.15;42;0.88;3;2
7;HC Ajoie;48;137;2.85;152;3.17;99;2.06;96;2.00;31;0.65;7;0.15;6;0.12;43;0.90;1;6
8;GCK Lions;48;124;2.58;169;3.52;92;1.92;121;2.52;27;0.56;7;0.15;1;0.02;38;0.79;4;3
9;Hockey Thurgau;48;112;2.33;156;3.25;68;1.42;117;2.44;36;0.75;7;0.15;4;0.08;31;0.65;4;1
