R;Team;GP;GF;GF/GP;GA;GA/GP;GF even;GF even/GP;GA even;GA even/GP;PPG;PPG/GP;PP GA;PP GA/GP;SHG;PK GF/GP;PK GA;PK GA/GP;SOWGF;SOWGA
1;EHC Visp;45;224;4.98;140;3.11;159;3.53;89;1.98;61;1.36;7;0.16;16;0.36;43;0.96;3;1
2;EHC Olten;45;187;4.16;129;2.87;140;3.11;82;1.82;50;1.11;6;0.13;5;0.11;39;0.87;1;2
3;HC La Chaux-de-Fonds;45;177;3.93;166;3.69;111;2.47;107;2.38;58;1.29;9;0.20;15;0.33;46;1.02;0;4
4;Lausanne HC;45;166;3.69;121;2.69;119;2.64;74;1.64;52;1.16;3;0.07;10;0.22;42;0.93;1;2
5;HC Sierre;45;161;3.58;132;2.93;103;2.29;84;1.87;51;1.13;4;0.09;10;0.22;40;0.89;3;4
6;HC Ajoie;45;157;3.49;149;3.31;101;2.24;96;2.13;54;1.20;9;0.20;6;0.13;43;0.96;2;1
;Durchschnitt;40;141;3.52;141;3.52;100;2.50;92;2.30;43;1.08;6;0.15;7;0.18;41;1.02;1;1
7;Hockey Thurgau;45;131;2.91;189;4.20;99;2.20;130;2.89;36;0.80;9;0.20;4;0.09;49;1.09;1;1
8;SC Langenthal;45;124;2.76;156;3.47;86;1.91;110;2.44;38;0.84;10;0.22;2;0.04;36;0.80;3;0
9;GCK Lions;45;123;2.73;199;4.42;83;1.84;129;2.87;39;0.87;10;0.22;9;0.20;60;1.33;2;0
10;EHC Basel Sharks;45;111;2.47;180;4.00;79;1.76;117;2.60;33;0.73;8;0.18;2;0.04;53;1.18;1;2
11;Neuchâtel;0;0;-;0;-;23;-;0;-;7;-;0;-;2;-;0;-;0;0
