R;Team;GP;GF;GF/GP;GA;GA/GP;GF even;GF even/GP;GA even;GA even/GP;PPG;PPG/GP;PP GA;PP GA/GP;SHG;PK GF/GP;PK GA;PK GA/GP;SOWGF;SOWGA
1;EHC Olten;45;178;3.96;124;2.76;133;2.96;86;1.91;35;0.78;7;0.16;8;0.18;25;0.56;2;6
2;HC Ajoie;45;171;3.80;131;2.91;116;2.58;105;2.33;45;1.00;1;0.02;9;0.20;24;0.53;1;1
3;EHC Visp;45;164;3.64;161;3.58;125;2.78;122;2.71;28;0.62;3;0.07;8;0.18;35;0.78;3;1
4;SC Langenthal;45;164;3.64;122;2.71;116;2.58;87;1.93;41;0.91;1;0.02;4;0.09;30;0.67;3;4
5;SC Rapperswil-Jona Lakers;45;162;3.60;105;2.33;111;2.47;76;1.69;43;0.96;2;0.04;5;0.11;26;0.58;3;1
6;HC La Chaux-de-Fonds;45;157;3.49;125;2.78;116;2.58;77;1.71;33;0.73;7;0.16;6;0.13;39;0.87;2;2
;Durchschnitt;45;143;3.18;143;3.18;103;2.29;103;2.29;33;0.73;4;0.09;4;0.09;33;0.73;2;2
7;Hockey Thurgau;45;124;2.76;164;3.64;94;2.09;107;2.38;20;0.44;2;0.04;6;0.13;54;1.20;4;1
8;HC Red Ice;45;113;2.51;128;2.84;77;1.71;93;2.07;33;0.73;7;0.16;0;0.00;29;0.64;1;3
9;GCK Lions;45;107;2.38;183;4.07;84;1.87;130;2.89;24;0.53;8;0.18;1;0.02;42;0.93;2;1
10;EHC Winterthur;45;99;2.20;196;4.36;64;1.42;153;3.40;32;0.71;11;0.24;2;0.04;30;0.67;1;2
