R;Team;GP;GF;GF/GP;GA;GA/GP;GF even;GF even/GP;GA even;GA even/GP;PPG;PPG/GP;PP GA;PP GA/GP;SHG;PK GF/GP;PK GA;PK GA/GP;SOWGF;SOWGA
1;EHC Olten;45;166;3.69;120;2.67;113;2.51;84;1.87;40;0.89;2;0.04;10;0.22;32;0.71;3;2
2;EHC Visp;45;163;3.62;164;3.64;107;2.38;113;2.51;44;0.98;8;0.18;7;0.16;42;0.93;5;1
3;HC La Chaux-de-Fonds;45;151;3.36;149;3.31;105;2.33;106;2.36;38;0.84;6;0.13;4;0.09;34;0.76;4;3
4;SC Langenthal;45;145;3.22;125;2.78;103;2.29;91;2.02;33;0.73;4;0.09;7;0.16;30;0.67;2;0
5;EHC Basel Sharks;45;144;3.20;162;3.60;93;2.07;112;2.49;40;0.89;7;0.16;8;0.18;41;0.91;3;2
6;Hockey Thurgau;45;144;3.20;160;3.56;111;2.47;97;2.16;27;0.60;10;0.22;6;0.13;49;1.09;0;4
;Durchschnitt;45;142;3.16;142;3.16;99;2.20;99;2.20;34;0.76;6;0.13;6;0.13;34;0.76;2;2
7;SCL Tigers;45;139;3.09;123;2.73;97;2.16;85;1.89;37;0.82;2;0.04;4;0.09;33;0.73;1;3
8;HC Red Ice;45;138;3.07;119;2.64;107;2.38;92;2.04;25;0.56;7;0.16;3;0.07;18;0.40;3;2
9;HC Ajoie;45;123;2.73;156;3.47;77;1.71;105;2.33;40;0.89;5;0.11;5;0.11;43;0.96;1;3
10;GCK Lions;45;113;2.51;148;3.29;79;1.76;107;2.38;24;0.53;10;0.22;7;0.16;26;0.58;3;5
