R;Team;GP;GF;GF/GP;GA;GA/GP;GF even;GF even/GP;GA even;GA even/GP;PPG;PPG/GP;PP GA;PP GA/GP;SHG;PK GF/GP;PK GA;PK GA/GP;SOWGF;SOWGA
1;EHC Olten;45;192;4.27;147;3.27;121;2.69;109;2.42;58;1.29;8;0.18;11;0.24;28;0.62;2;2
2;HC La Chaux-de-Fonds;45;175;3.89;139;3.09;119;2.64;91;2.02;45;1.00;11;0.24;8;0.18;34;0.76;3;3
3;SC Langenthal;45;173;3.84;157;3.49;122;2.71;110;2.44;41;0.91;5;0.11;7;0.16;41;0.91;3;1
4;Lausanne HC;45;159;3.53;122;2.71;114;2.53;74;1.64;32;0.71;8;0.18;9;0.20;39;0.87;4;1
;Durchschnitt;45;154;3.42;154;3.42;102;2.27;102;2.27;41;0.91;8;0.18;8;0.18;41;0.91;2;2
5;EHC Visp;45;153;3.40;152;3.38;91;2.02;101;2.24;44;0.98;9;0.20;11;0.24;40;0.89;7;2
6;HC Sierre;45;149;3.31;166;3.69;79;1.76;103;2.29;56;1.24;9;0.20;13;0.29;53;1.18;1;1
7;HC Ajoie;45;141;3.13;149;3.31;81;1.80;87;1.93;53;1.18;9;0.20;4;0.09;48;1.07;3;5
8;EHC Basel Sharks;45;138;3.07;136;3.02;98;2.18;91;2.02;33;0.73;3;0.07;6;0.13;38;0.84;1;4
9;GCK Lions;45;133;2.96;180;4.00;99;2.20;128;2.84;29;0.64;8;0.18;5;0.11;42;0.93;0;2
10;Hockey Thurgau;45;133;2.96;198;4.40;100;2.22;130;2.89;27;0.60;10;0.22;6;0.13;55;1.22;0;3
