R;Team;GP;GF;GF/GP;GA;GA/GP;GF even;GF even/GP;GA even;GA even/GP;PPG;PPG/GP;PP GA;PP GA/GP;SHG;PK GF/GP;PK GA;PK GA/GP;SOWGF;SOWGA
1;EHC Olten;50;217;4.34;144;2.88;157;3.14;93;1.86;57;1.14;9;0.18;1;0.02;40;0.80;2;2
2;Lausanne HC;50;203;4.06;132;2.64;149;2.98;91;1.82;45;0.90;6;0.12;8;0.16;34;0.68;1;1
3;EHC Visp;50;194;3.88;161;3.22;139;2.78;116;2.32;42;0.84;5;0.10;9;0.18;37;0.74;4;3
4;HC La Chaux-de-Fonds;50;189;3.78;147;2.94;125;2.50;102;2.04;43;0.86;5;0.10;19;0.38;35;0.70;2;5
5;HC Ajoie;50;187;3.74;138;2.76;126;2.52;89;1.78;48;0.96;3;0.06;9;0.18;45;0.90;4;1
6;SC Langenthal;50;182;3.64;113;2.26;111;2.22;73;1.46;61;1.22;6;0.12;7;0.14;31;0.62;3;3
;Durchschnitt;50;167;3.34;167;3.34;115;2.30;115;2.30;43;0.86;6;0.12;6;0.12;43;0.86;2;2
7;GCK Lions;50;155;3.10;173;3.46;116;2.32;117;2.34;35;0.70;5;0.10;4;0.08;49;0.98;0;2
8;HC Red Ice;50;151;3.02;170;3.40;101;2.02;119;2.38;39;0.78;4;0.08;7;0.14;44;0.88;4;3
9;EHC Basel Sharks;50;138;2.76;168;3.36;93;1.86;117;2.34;35;0.70;4;0.08;8;0.16;46;0.92;2;1
10;Hockey Thurgau;50;121;2.42;219;4.38;75;1.50;156;3.12;43;0.86;13;0.26;1;0.02;47;0.94;2;3
11;HC Sierre;50;103;2.06;275;5.50;73;1.46;192;3.84;27;0.54;15;0.30;2;0.04;67;1.34;1;1
