Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Di;17.03.2015;19:45;ZSC Lions;Genève-Servette HC; 5:2; 0:1|1:1|4:0;;;False;Hallenstadion AG, Zürich;9368
Di;17.03.2015;20:15;SC Bern;HC Davos; 2:3; 1:1|1:0|0:1|0:1;OT;;False;PostFinance-Arena, Bern;16053
Do;19.03.2015;19:45;HC Davos;SC Bern; 6:2; 2:0|2:2|2:0;;;False;Vaillant Arena, Davos;5057
Do;19.03.2015;20:15;Genève-Servette HC;ZSC Lions; 6:3; 4:0|1:1|1:2;;;False;Les Vernets, Genève;6742
Sa;21.03.2015;19:45;SC Bern;HC Davos; 0:2; 0:0|0:0|0:2;;;False;PostFinance-Arena, Bern;17131
Sa;21.03.2015;20:15;ZSC Lions;Genève-Servette HC; 1:2; 0:0|0:0|1:1|0:1;OT;;False;Hallenstadion AG, Zürich;10930
Di;24.03.2015;19:45;Genève-Servette HC;ZSC Lions; 0:8; 0:1|0:3|0:4;;;False;Les Vernets, Genève;7135
Di;24.03.2015;20:15;HC Davos;SC Bern; 3:1; 0:1|3:0|0:0;;;False;Vaillant Arena, Davos;6018
Do;26.03.2015;20:15;ZSC Lions;Genève-Servette HC; 4:2; 2:0|2:0|0:2;;;False;Hallenstadion AG, Zürich;9660
Sa;28.03.2015;20:15;Genève-Servette HC;ZSC Lions; 1:3; 0:0|1:1|0:2;;;False;Les Vernets, Genève;7045
