Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Di;11.03.2014;19:45;ZSC Lions;Lausanne HC; 1:4; 0:3|1:0|0:1;;;False;Hallenstadion AG, Zürich;9230
Di;11.03.2014;19:45;Genève-Servette HC;HC Lugano; 2:0; 0:0|2:0|0:0;;;False;Les Vernets, Genève;7046
Di;11.03.2014;20:15;Fribourg-Gottéron;HC Ambri-Piotta; 4:2; 2:1|1:1|1:0;;;False;BCF Arena, Fribourg;6700
Di;11.03.2014;20:15;Kloten Flyers;HC Davos; 1:3; 1:0|0:1|0:2;;;False;Kolping Arena, Kloten;5889
Do;13.03.2014;19:45;HC Ambri-Piotta;Fribourg-Gottéron; 0:2; 0:0|0:1|0:1;;;False;Stadio Valascia, Ambri;5567
Do;13.03.2014;19:45;HC Davos;Kloten Flyers; 5:2; 1:1|4:1|0:0;;;False;Vaillant Arena, Davos;4771
Do;13.03.2014;20:15;Lausanne HC;ZSC Lions; 2:3; 1:0|0:1|1:1|0:1;SO;;False;P. de Malley, Lausanne;8000
Do;13.03.2014;20:15;HC Lugano;Genève-Servette HC; 3:0; 1:0|1:0|1:0;;;False;Pista Resega, Porza;5066
Sa;15.03.2014;19:45;ZSC Lions;Lausanne HC; 3:1; 1:0|2:1|0:0;;;False;Hallenstadion AG, Zürich;10722
Sa;15.03.2014;19:45;Kloten Flyers;HC Davos; 2:1; 0:0|1:0|1:1;;;False;Kolping Arena, Kloten;7624
Sa;15.03.2014;20:15;Fribourg-Gottéron;HC Ambri-Piotta; 5:2; 2:1|3:0|0:1;;;False;BCF Arena, Fribourg;6700
Sa;15.03.2014;20:16;Genève-Servette HC;HC Lugano; 7:1; 2:1|4:0|1:0;;;False;Les Vernets, Genève;7135
Di;18.03.2014;19:45;Lausanne HC;ZSC Lions; 1:7; 1:1|0:3|0:3;;;False;P. de Malley, Lausanne;8000
Di;18.03.2014;19:45;HC Lugano;Genève-Servette HC; 1:2; 0:2|0:0|1:0;;;False;Pista Resega, Porza;5538
Di;18.03.2014;20:15;HC Ambri-Piotta;Fribourg-Gottéron; 2:4; 1:0|0:2|1:2;;;False;Stadio Valascia, Ambri;6236
Di;18.03.2014;20:15;HC Davos;Kloten Flyers; 0:3; 0:1|0:0|0:2;;;False;Vaillant Arena, Davos;4897
Do;20.03.2014;19:45;Kloten Flyers;HC Davos; 3:1; 1:1|0:0|2:0;;;False;Kolping Arena, Kloten;7042
Do;20.03.2014;20:15;ZSC Lions;Lausanne HC; 1:2; 0:0|1:2|0:0;;;False;Hallenstadion AG, Zürich;8886
Do;20.03.2014;20:16;Genève-Servette HC;HC Lugano; 2:1; 1:0|0:0|0:1|1:0;SO;;False;Les Vernets, Genève;7135
Sa;22.03.2014;20:15;Lausanne HC;ZSC Lions; 2:1; 0:0|2:0|0:1;;;False;P. de Malley, Lausanne;8000
Sa;22.03.2014;20:15;HC Davos;Kloten Flyers; 0:2; 0:0|0:1|0:1;;;False;Vaillant Arena, Davos;6410
Di;25.03.2014;20:15;ZSC Lions;Lausanne HC; 1:0; 0:0|1:0|0:0;;;False;Hallenstadion AG, Zürich;10067
