Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Do;25.03.2010;19:45;SC Bern;Kloten Flyers; 2:1; 1:0|1:0|0:1;;;False;PostFinance Arena;16771
Do;25.03.2010;19:45;Genève-Servette HC;EV Zug; 6:3; 1:0|1:1|4:2;;;False;Les Vernets Genève;6069
Sa;27.03.2010;19:45;Kloten Flyers;SC Bern; 4:6; 1:2|1:3|2:1;;;False;Kolping Arena Kloten;7624
Sa;27.03.2010;19:45;EV Zug;Genève-Servette HC; 4:2; 1:1|1:1|2:0;;;False;Zug;5424
Di;30.03.2010;19:45;Genève-Servette HC;EV Zug; 6:3; 2:0|1:3|3:0;;;False;Les Vernets Genève;7202
Di;30.03.2010;20:15;SC Bern;Kloten Flyers; 3:2; 3:1|0:1|0:0;;;False;PostFinance Arena;17011
Do;01.04.2010;19:45;EV Zug;Genève-Servette HC; 2:1; 1:0|0:0|0:1|1:0;OT;;False;Zug;6380
Do;01.04.2010;20:15;Kloten Flyers;SC Bern; 2:3; 1:1|1:2|0:0;;;False;Kolping Arena Kloten;7624
Sa;03.04.2010;20:15;Genève-Servette HC;EV Zug; 5:2; 2:1|1:0|2:1;;;False;Les Vernets Genève;7122
Mo;05.04.2010;16:00;EV Zug;Genève-Servette HC; 2:7; 0:3|1:2|1:2;;;False;Zug;5524
