Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Di;19.03.2013;19:45;SC Bern;EV Zug; 4:3; 1:1|2:2|0:0|1:0;OT;;False;Postfinance Arena, Bern;16002
Di;19.03.2013;20:15;Fribourg-Gottéron;ZSC Lions; 3:2; 2:0|0:1|1:1;;;False;P. St-Léonard BCF Arena, Fribourg;6700
Do;21.03.2013;19:45;ZSC Lions;Fribourg-Gottéron; 1:2; 0:0|1:1|0:0|0:1;OT;;False;Hallenstadion AG, Zürich;10693
Do;21.03.2013;20:15;EV Zug;SC Bern; 8:2; 3:0|1:0|4:2;;;False;BOSSARD Arena, Zug;7015
Sa;23.03.2013;19:45;Fribourg-Gottéron;ZSC Lions; 5:4; 1:1|1:2|2:1|1:0;SO;;False;P. St-Léonard BCF Arena, Fribourg;6700
Sa;23.03.2013;20:15;SC Bern;EV Zug; 3:2; 1:0|1:2|0:0|1:0;OT;;False;Postfinance Arena, Bern;17131
Di;26.03.2013;19:45;EV Zug;SC Bern; 5:2; 2:1|0:0|3:1;;;False;BOSSARD Arena, Zug;7015
Di;26.03.2013;20:15;ZSC Lions;Fribourg-Gottéron; 5:2; 1:0|2:0|2:2;;;False;Hallenstadion AG, Zürich;11200
Do;28.03.2013;19:45;SC Bern;EV Zug; 0:4; 0:0|0:3|0:1;;;False;Postfinance Arena, Bern;17131
Do;28.03.2013;20:15;Fribourg-Gottéron;ZSC Lions; 5:4; 2:1|2:1|1:2;;;False;P. St-Léonard BCF Arena, Fribourg;6700
Sa;30.03.2013;20:15;EV Zug;SC Bern; 3:4; 1:1|1:1|1:2;;;False;BOSSARD Arena, Zug;7015
Mo;01.04.2013;16:00;SC Bern;EV Zug; 4:1; 0:0|1:1|3:0;;;False;Postfinance Arena, Bern;17131
