Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Do;04.04.2013;20:15;Fribourg-Gottéron;SC Bern; 1:4; 0:0|0:2|1:2;;;False;P. St-Léonard BCF Arena, Fribourg;6700
Sa;06.04.2013;20:15;SC Bern;Fribourg-Gottéron; 4:3; 2:0|1:3|1:0;;;False;Postfinance Arena, Bern;17131
Di;09.04.2013;20:15;Fribourg-Gottéron;SC Bern; 1:0; 0:0|0:0|1:0;;;False;P. St-Léonard BCF Arena, Fribourg;6700
Do;11.04.2013;20:15;SC Bern;Fribourg-Gottéron; 1:3; 1:2|0:1|0:0;;;False;Postfinance Arena, Bern;17131
Sa;13.04.2013;20:15;Fribourg-Gottéron;SC Bern; 2:3; 0:2|1:1|1:0;;;False;P. St-Léonard BCF Arena, Fribourg;6700
Di;16.04.2013;20:15;SC Bern;Fribourg-Gottéron; 5:1; 1:0|2:0|2:1;;;False;Postfinance Arena, Bern;17131
