Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;S;Versch.;Stadion;Zus.
Do;01.03.2012;19:45;EV Zug;EHC Biel; 3:1; 1:0|2:1|0:0;;;False;Bossard Arena Zug;6824
Do;01.03.2012;19:45;HC Davos;ZSC Lions; 2:4; 1:1|1:0|0:3;;;False;Vaillant Arena Davos;5472
Do;01.03.2012;19:45;Fribourg-Gottéron;HC Lugano; 2:3; 0:2|1:1|1:0;;;False;BCF Arena Fribourg;6800
Do;01.03.2012;19:45;Kloten Flyers;SC Bern; 2:3; 1:1|1:0|0:2;;;False;Kolping Arena Kloten;6285
Sa;03.03.2012;19:45;ZSC Lions;HC Davos; 6:1; 2:1|0:0|4:0;;;False;Hallenstadion Zürich;10012
Sa;03.03.2012;19:45;HC Lugano;Fribourg-Gottéron; 2:4; 0:0|1:2|1:2;;;False;Resega Lugano;6112
Sa;03.03.2012;19:45;SC Bern;Kloten Flyers; 6:3; 2:3|2:0|2:0;;;False;PostFinance Arena;16771
Sa;03.03.2012;19:49;EHC Biel;EV Zug; 1:4; 0:2|0:0|1:2;;;False;Biel;6002
Di;06.03.2012;19:45;EV Zug;EHC Biel; 5:4; 3:1|0:3|1:0|1:0;OT;;False;Bossard Arena Zug;6650
Di;06.03.2012;19:45;Fribourg-Gottéron;HC Lugano; 2:4; 0:1|2:2|0:1;;;False;BCF Arena Fribourg;6800
Di;06.03.2012;19:45;Kloten Flyers;SC Bern; 3:0; 1:0|0:0|2:0;;;False;Kolping Arena Kloten;7321
Di;06.03.2012;20:15;HC Davos;ZSC Lions; 1:2; 0:0|0:2|1:0;;;False;Vaillant Arena Davos;5238
Do;08.03.2012;19:45;EHC Biel;EV Zug; 4:3; 2:1|0:1|2:1;;;False; Eisstadion Biel;5097
Do;08.03.2012;19:45;ZSC Lions;HC Davos; 1:0; 0:0|1:0|0:0;;;False;Hallenstadion Zürich;11021
Do;08.03.2012;19:45;HC Lugano;Fribourg-Gottéron; 0:2; 0:1|0:1|0:0;;;False;Resega Lugano;5358
Do;08.03.2012;20:15;SC Bern;Kloten Flyers; 4:1; 2:0|1:0|1:1;;;False;PostFinance Arena;16272
Sa;10.03.2012;19:45;EV Zug;EHC Biel; 5:2; 2:1|0:1|3:0;;;False;Bossard Arena Zug;7015
Sa;10.03.2012;19:45;Kloten Flyers;SC Bern; 2:3; 0:2|1:1|1:0;;;False;Kolping Arena Kloten;7624
Sa;10.03.2012;20:15;Fribourg-Gottéron;HC Lugano; 6:2; 0:1|6:0|0:1;;;False;BCF Arena Fribourg;6800
Di;13.03.2012;20:15;HC Lugano;Fribourg-Gottéron; 4:5; 2:0|0:3|2:1|0:1;OT;;False;Resega Lugano;5278
