R;Team;GP;2' ;5';10';GM;MP;PIM Total
1;EV Zug;50;244;4;5;4;0;638
2;HC Lugano;50;229;4;5;5;0;628
3;Fribourg-Gottéron;50;229;3;8;3;0;613
4;SC Bern;50;222;5;2;5;0;589
5;HC Davos;50;242;3;2;3;0;579
;Durchschnitt;50;219;2;3;3;0;548
6;HC Ambri-Piotta;50;229;2;2;2;0;528
7;Lausanne HC;50;186;3;4;5;0;527
8;SC Rapperswil-Jona Lakers;50;218;0;4;2;0;516
9;Genève-Servette HC;50;212;2;4;2;0;514
10;EHC Biel;50;189;2;5;3;0;498
11;Kloten Flyers;50;222;1;2;1;0;489
12;ZSC Lions;50;213;1;1;1;0;461
