R;Team;GP;2' ;5';10';GM;MP;PIM Total
1;Genève-Servette HC;50;302;5;15;5;1;899
2;HC Davos;50;296;4;16;5;1;892
3;HC Lugano;50;234;5;16;7;1;813
4;EHC Biel;50;303;2;12;1;1;776
5;EV Zug;50;289;3;12;3;0;773
6;Kloten Flyers;50;270;4;7;3;1;710
;Durchschnitt;50;262;2;10;2;0;699
7;Fribourg-Gottéron;50;256;1;11;1;0;647
8;SC Bern;50;243;2;10;2;0;636
9;ZSC Lions;50;261;0;9;0;0;612
10;HC Ambri-Piotta;50;250;0;11;0;0;610
11;SC Rapperswil-Jona Lakers;50;221;1;6;1;0;527
12;SCL Tigers;50;221;0;4;1;0;502
