R;Team;GP;2' ;5';10';GM;MP;PIM Total
1;HC Davos;50;217;4;10;7;0;694
2;Genève-Servette HC;50;229;4;5;6;0;648
3;SC Bern;50;233;4;7;4;0;636
4;EV Zug;50;212;6;4;7;0;634
5;Fribourg-Gottéron;50;201;5;5;7;0;617
6;HC Lugano;50;213;6;1;7;0;606
;Durchschnitt;50;207;4;3;4;0;568
7;SCL Tigers;50;225;4;1;4;0;560
8;HC Ambri-Piotta;50;196;5;3;5;0;547
9;EHC Biel;50;203;4;3;4;0;536
10;ZSC Lions;50;191;2;1;3;0;462
11;Kloten Flyers;50;188;2;3;2;0;456
12;Lausanne HC;50;185;2;1;2;0;430
