R;Team;GP;2' ;5';10';GM;MP;PIM Total
1;Genève-Servette HC;50;237;13;12;12;1;919
2;Kloten Flyers;50;237;4;10;5;0;694
3;Fribourg-Gottéron;50;220;5;12;5;0;685
4;HC Lugano;50;235;3;9;5;0;675
5;EV Zug;50;249;2;10;1;1;648
6;SC Rapperswil-Jona Lakers;50;236;1;11;2;0;627
;Durchschnitt;50;223;3;8;3;0;626
7;SC Bern;50;204;4;7;5;0;598
8;ZSC Lions;50;218;0;9;3;0;586
9;HC Davos;50;223;1;10;1;0;571
10;Lausanne HC;50;212;2;9;2;0;564
11;HC Ambri-Piotta;50;201;1;4;2;0;487
12;EHC Biel;50;214;0;2;1;0;468
