R;Team;GP;2' ;5';10';GM;MP;PIM Total
1;Genève-Servette HC;50;284;1;15;1;1;763
2;Kloten Flyers;50;245;5;12;4;2;755
3;SCL Tigers;50;255;3;12;5;0;745
4;HC Davos;50;266;4;9;3;1;722
5;EV Zug;50;262;4;7;3;1;694
;Durchschnitt;50;241;2;8;2;0;632
6;Fribourg-Gottéron;50;250;2;6;1;1;610
7;EHC Biel;50;239;1;8;1;0;583
8;HC Ambri-Piotta;50;218;1;8;3;0;581
9;HC Lugano;50;231;1;8;1;0;567
10;SC Rapperswil-Jona Lakers;50;219;0;11;0;0;548
11;SC Bern;50;219;1;7;1;0;533
12;ZSC Lions;50;211;1;4;1;0;487
