Spieler,Pos,Team,Year,GP,G,SOG,S%,SOG/GP,A,PTS,P/GP,PIM Total,+/-,A1,A2,GWG,EQG,EQA,PPG,PPA,SHG,SHA,2' ,5',10',GM,MP,PS,PSG,PSM,PS%,GWG PS,Number of year
Abplanalp Sandro,Forward,Fribourg-Gottéron,ry/08,24,,,,,1.0,3.0,0.12,2.0,6.0,,,,,,,,,,,,,,,,,,,,1
Abplanalp Sandro,Forward,Fribourg-Gottéron,ts/08,24,2.0,17.0,11.76,0.71,,,,,,,,,,,,,,,,,,,,,,,,,1
Aeschlimann Marc,Forward,HC Davos,es/13,7,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,1
Aeschlimann Marc,Forward,HC Davos,es/14,16,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,1
Aeschlimann Marc,Forward,HC Davos,es/15,49,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,1
Aeschlimann Marc,Forward,HC Davos,ls/13,7,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1
Aeschlimann Marc,Forward,HC Davos,ls/14,16,,,,,,,,,,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1
Aeschlimann Marc,Forward,HC Davos,ls/15,49,,,,,,,,,,3.0,5.0,1.0,7.0,7.0,1.0,1.0,0.0,0.0,,,,,,,,,,,1
Aeschlimann Marc,Forward,HC Davos,ry/13,7,,,,,1.0,1.0,0.14,0.0,-1.0,,,,,,,,,,,,,,,,,,,,1
Aeschlimann Marc,Forward,HC Davos,ry/14,16,,,,,3.0,3.0,0.19,0.0,-1.0,,,,,,,,,,,,,,,,,,,,1
Aeschlimann Marc,Forward,HC Davos,ry/15,49,,,,,8.0,16.0,0.33,0.0,-4.0,,,,,,,,,,,,,,,,,,,,1
Aeschlimann Marc,Forward,HC Davos,ts/13,7,0.0,2.0,0,0.29,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-,0.0,1
Aeschlimann Marc,Forward,HC Davos,ts/14,16,0.0,21.0,0,1.31,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,100,1.0,1
Aeschlimann Marc,Forward,HC Davos,ts/15,49,8.0,55.0,14.55,1.12,,,,,,,,,,,,,,,,,,,,3.0,1.0,2.0,33.33,0.0,1
Afanasenkov Dmitry,Forward,Fribourg-Gottéron,es/11,14,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,0.0,,,,,,1
Afanasenkov Dmitry,Forward,Fribourg-Gottéron,ls/11,14,,,,,,,,,,3.0,2.0,0.0,2.0,3.0,1.0,2.0,0.0,0.0,,,,,,,,,,,1
Afanasenkov Dmitry,Forward,Fribourg-Gottéron,ry/11,14,,,,,5.0,8.0,0.57,6.0,1.0,,,,,,,,,,,,,,,,,,,,1
Afanasenkov Dmitry,Forward,Fribourg-Gottéron,ts/11,14,3.0,37.0,8.11,2.64,,,,,,,,,,,,,,,,,,,,,,,,,1
Ahlström Philip,Defender,HC Lugano,es/14,10,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,1
Ahlström Philip,Defender,HC Lugano,ls/14,10,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1
Ahlström Philip,Defender,HC Lugano,ry/14,10,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1
Ahlström Philip,Defender,HC Lugano,ts/14,10,0.0,0.0,-,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-,0.0,1
Akerman Johan,Defender,HC Lugano,es/09,36,,,,,,,,,,,,,,,,,,,16.0,1.0,1.0,1.0,0.0,,,,,,1
