R;Team;GP;W;OTW;SOW;SOL;OTL;L;GF;GA;GDF;PTS
1;SCL Tigers;48;29;4;2;2;2;9;182;126;56;103
2;HC Red Ice;48;21;3;4;2;1;17;147;133;14;80
3;HC La Chaux-de-Fonds;48;22;2;1;5;1;17;157;148;9;78
4;EHC Visp;48;19;4;3;2;3;17;190;162;28;76
5;EHC Olten;48;20;2;1;0;4;21;160;156;4;70
6;SC Langenthal;48;15;5;3;2;4;19;140;147;-7;67
7;HC Ajoie;48;15;3;1;6;3;20;137;152;-15;62
8;Hockey Thurgau;48;13;2;4;1;4;24;112;156;-44;56
9;GCK Lions;48;11;3;4;3;6;21;124;169;-45;56
