R;Team;GP;W;OTW;SOW;SOL;OTL;L;GF;GA;GDF;PTS
1;Lausanne HC;45;31;0;4;1;0;9;186;115;71;102
2;SC Langenthal;45;27;0;1;3;1;13;157;110;47;87
3;HC La Chaux-de-Fonds;45;24;1;2;4;0;14;155;127;28;82
4;EHC Visp;45;22;2;2;1;1;17;170;150;20;76
5;EHC Basel Sharks;45;17;3;0;4;2;19;132;142;-10;63
6;GCK Lions;45;19;2;0;1;1;22;122;134;-12;63
7;EHC Olten;45;16;2;4;1;2;20;152;146;6;63
8;HC Ajoie;45;16;1;2;2;0;24;119;154;-35;56
9;Hockey Thurgau;45;11;1;2;2;2;27;118;170;-52;43
10;HC Sierre;45;9;0;4;2;3;27;114;177;-63;40
