R;Team;GP;W;OTW;SOW;SOL;OTL;L;GF;GA;GDF;PTS
1;EHC Visp;45;27;3;3;1;1;10;224;140;84;95
2;EHC Olten;45;30;0;1;2;0;12;187;129;58;94
3;Lausanne HC;45;28;1;1;2;1;12;166;121;45;91
4;HC Sierre;45;21;2;3;4;3;12;161;132;29;80
5;HC Ajoie;45;21;3;2;1;1;17;157;149;8;75
6;HC La Chaux-de-Fonds;45;20;2;0;4;0;19;177;166;11;68
7;SC Langenthal;45;16;0;3;0;0;26;124;156;-32;54
8;EHC Basel Sharks;45;12;0;1;2;2;28;111;180;-69;42
9;Hockey Thurgau;45;12;0;1;1;3;28;131;189;-58;42
10;GCK Lions;45;10;0;2;0;0;33;123;199;-76;34
