R;Team;GP;W;OTW;SOW;SOL;OTL;L;GF;GA;GDF;PTS
1;HC Ajoie;50;31;1;4;1;1;12;187;138;49;105
2;SC Langenthal;50;29;3;3;3;1;11;182;113;69;103
3;EHC Olten;50;32;0;2;2;0;14;217;144;73;102
4;Lausanne HC;50;31;1;1;1;0;16;203;132;71;98
5;EHC Visp;50;23;2;4;3;1;17;194;161;33;85
6;HC La Chaux-de-Fonds;50;23;2;2;5;1;17;189;147;42;83
7;GCK Lions;50;22;0;0;2;2;24;155;173;-18;70
8;HC Red Ice;50;18;0;4;3;4;21;151;170;-19;69
9;EHC Basel Sharks;50;18;2;2;1;1;26;138;168;-30;64
10;Hockey Thurgau;50;6;0;2;3;1;38;121;219;-98;26
11;HC Sierre;50;5;1;1;1;0;42;103;275;-172;20
