R;Team;GP;W;OTW;SOW;SOL;OTL;L;GF;GA;GDF;PTS
1;HC La Chaux-de-Fonds;45;24;4;3;3;1;10;175;139;36;90
2;EHC Olten;45;22;4;2;2;1;14;192;147;45;81
3;Lausanne HC;45;22;1;4;1;4;13;159;122;37;81
4;SC Langenthal;45;19;4;3;1;2;16;173;157;16;74
5;EHC Basel Sharks;45;20;1;1;4;3;16;138;136;2;71
6;EHC Visp;45;18;0;7;2;1;17;153;152;1;71
7;HC Ajoie;45;19;1;3;5;0;17;141;149;-8;70
8;HC Sierre;45;16;1;1;1;2;24;149;166;-17;55
9;GCK Lions;45;14;2;0;2;2;25;133;180;-47;50
10;Hockey Thurgau;45;8;1;0;3;3;30;133;198;-65;32
