R;Team;GP;W;OTW;SOW;SOL;OTL;L;GF;GA;GDF;PTS
1;SC Rapperswil-Jona Lakers;45;27;3;3;1;1;10;162;105;57;95
2;SC Langenthal;45;26;0;3;4;2;10;164;122;42;90
3;EHC Olten;45;22;4;2;6;2;9;178;124;54;86
4;HC La Chaux-de-Fonds;45;23;4;2;2;0;14;157;125;32;83
5;HC Ajoie;45;24;1;1;1;1;17;171;131;40;78
6;EHC Visp;45;18;1;3;1;4;18;164;161;3;67
7;HC Red Ice;45;17;2;1;3;1;21;113;128;-15;61
8;Hockey Thurgau;45;14;0;4;1;1;25;124;164;-40;52
9;GCK Lions;45;11;0;2;1;1;30;107;183;-76;39
10;EHC Winterthur;45;6;0;1;2;2;34;99;196;-97;24
