R;Spieler;Team;Pos;GP;G;A;PTS;P/GP;PIM Total;+/-
1;Bednar Jaroslav;HC Davos;Stürmer;12;5;12;17;1.42;6;6
2;Taticek Petr;HC Davos;Stürmer;14;7;8;15;1.07;4;7
3;Rüthemann Ivo;SC Bern;Stürmer;11;6;6;12;1.09;4;6
4;Metropolit Glen;EV Zug;Stürmer;10;2;10;12;1.20;8;-6
5;Von Gunten Patrick;Kloten Flyers;Verteidiger;18;2;10;12;0.67;6;6
6;Von Arx Reto;HC Davos;Stürmer;14;1;11;12;0.86;6;5
7;Bürgler Dario;HC Davos;Stürmer;14;6;5;11;0.79;0;5
8;Santala Tommi;Kloten Flyers;Stürmer;16;4;7;11;0.69;32;1
9;Gardner Ryan;SC Bern;Stürmer;11;1;10;11;1.00;2;2
10;Plüss Martin;SC Bern;Stürmer;11;6;4;10;0.91;24;7
11;Walsky Eric;Genève-Servette HC;Stürmer;6;5;5;10;1.67;2;1
12;Casutt Corsin;EV Zug;Stürmer;10;7;2;9;0.90;4;-8
13;Bell Mark;Kloten Flyers;Stürmer;18;6;3;9;0.50;60;3
14;Stancescu Victor;Kloten Flyers;Stürmer;17;6;2;8;0.47;28;4
15;Marha Josef;HC Davos;Stürmer;9;5;3;8;0.89;4;7
16;Brunner Damien;EV Zug;Stürmer;8;4;4;8;1.00;2;-3
17;Forster Beat;HC Davos;Verteidiger;14;4;4;8;0.57;40;3
18;Guggisberg Peter;HC Davos;Stürmer;14;4;3;7;0.50;2;5
19;Bezina Goran;Genève-Servette HC;Verteidiger;6;4;3;7;1.17;29;0
20;Liniger Michael;Kloten Flyers;Stürmer;18;3;4;7;0.39;10;-1
21;Christen Björn;EV Zug;Stürmer;10;2;5;7;0.70;14;-2
22;Monnet Thibaut;ZSC Lions;Stürmer;5;5;1;6;1.20;6;-1
23;Gamache Simon;SC Bern;Stürmer;7;4;2;6;0.86;8;3
24;Vermin Joël;SC Bern;Stürmer;11;3;3;6;0.55;0;4
25;Dupont Micki;Kloten Flyers;Verteidiger;7;3;3;6;0.86;4;4
26;Pothier Brian;Genève-Servette HC;Verteidiger;6;2;4;6;1.00;10;0
27;Wieser Dino;HC Davos;Stürmer;14;2;4;6;0.43;28;4
28;Dubé Christian;SC Bern;Stürmer;11;2;4;6;0.55;6;-2
29;Grossmann Robin;HC Davos;Verteidiger;14;2;4;6;0.43;28;7
30;Kellenberger Steve;Kloten Flyers;Stürmer;18;2;4;6;0.33;6;1
31;Diaz Raphael;EV Zug;Verteidiger;10;2;4;6;0.60;4;-8
32;Toms Jeff;Genève-Servette HC;Stürmer;6;1;5;6;1.00;6;4
33;Du Bois Felicien;Kloten Flyers;Verteidiger;18;1;5;6;0.33;8;-3
34;Lemm Romano;Kloten Flyers;Stürmer;16;1;5;6;0.38;10;1
35;Sejna Peter;HC Davos;Stürmer;7;1;5;6;0.86;2;3
36;Jinman Lee;HC Davos;Stürmer;5;4;1;5;1.00;4;2
37;Rintanen Kimmo;Kloten Flyers;Stürmer;16;3;2;5;0.31;6;1
38;Bieber Matthias;Kloten Flyers;Stürmer;18;2;3;5;0.28;0;-2
39;Bodenmann Simon;Kloten Flyers;Stürmer;18;2;3;5;0.28;12;0
40;Pittis Domenico;ZSC Lions;Stürmer;5;2;3;5;1.00;6;-1
41;Fischer Patrick;EV Zug;Verteidiger;10;2;3;5;0.50;2;-2
42;Lindemann Sven;EV Zug;Stürmer;10;2;3;5;0.50;16;1
43;Rizzi Sandro;HC Davos;Verteidiger;14;2;3;5;0.36;8;3
44;Wozniewski Andy;EV Zug;Verteidiger;10;1;4;5;0.50;6;-6
45;Ramholt Tim;HC Davos;Verteidiger;14;1;4;5;0.36;10;11
46;Salmelainen Tony;Genève-Servette HC;Stürmer;6;1;4;5;0.83;4;3
47;Winkler Benjamin;Kloten Flyers;Verteidiger;17;0;5;5;0.29;12;1
48;Steinmann Janick;HC Davos;Stürmer;13;4;0;4;0.31;10;-1
49;Luomala Marko;Kloten Flyers;Stürmer;14;3;1;4;0.29;0;-3
50;Schnyder Fabian;EV Zug;Stürmer;10;3;1;4;0.40;4;-3
51;Wieser Marc;HC Davos;Stürmer;14;3;1;4;0.29;24;5
52;Deruns Thomas;SC Bern;Stürmer;11;2;2;4;0.36;2;1
53;Nolan Owen;ZSC Lions;Stürmer;5;2;2;4;0.80;2;-1
54;Sciaroni Gregory;HC Davos;Stürmer;14;2;2;4;0.29;4;4
55;Froidevaux Etienne;SC Bern;Stürmer;11;2;2;4;0.36;0;-1
56;Holden Josh;EV Zug;Stürmer;6;1;3;4;0.67;4;-1
57;Jacquemet Arnaud;Kloten Flyers;Stürmer;18;1;3;4;0.22;0;2
58;Joggi Mathias;HC Davos;Stürmer;14;1;3;4;0.29;8;4
59;Goren Lee;SC Bern;Stürmer;7;1;3;4;0.57;27;-1
60;Kwiatkowski Joel;SC Bern;Verteidiger;10;0;4;4;0.40;34;5
61;Furrer Philippe;SC Bern;Verteidiger;11;0;4;4;0.36;4;4
62;McLean Brett;SC Bern;Stürmer;6;3;0;3;0.50;6;2
63;Ambühl Andres;ZSC Lions;Stürmer;5;2;1;3;0.60;4;0
64;Park Richard;Genève-Servette HC;Stürmer;3;2;1;3;1.00;2;4
65;Rubin Daniel;Genève-Servette HC;Stürmer;5;2;1;3;0.60;18;1
66;Stoop Lukas;HC Davos;Verteidiger;14;1;2;3;0.21;2;5
67;Heins Shawn;Fribourg-Gottéron;Verteidiger;4;1;2;3;0.75;4;-3
68;Sykora Petr;HC Davos;Stürmer;9;1;2;3;0.33;2;0
69;Oppliger Patrick;EV Zug;Stürmer;9;0;3;3;0.33;10;0
70;Murphy Cory;ZSC Lions;Verteidiger;5;0;3;3;0.60;0;0
71;Jobin David;SC Bern;Verteidiger;11;0;3;3;0.27;6;2
72;Di Pietro Paul;EV Zug;Stürmer;10;0;3;3;0.30;4;-1
73;Westcott Duvie;ZSC Lions;Verteidiger;5;0;3;3;0.60;8;-1
