R;Spieler;Team;Pos;GP;G;SOG;S%;SOG/GP
1;Ambühl Andres;ZSC Lions;Stürmer;15;5;57;8.77;3.80
2;Rüthemann Ivo;SC Bern;Stürmer;17;7;52;13.46;3.06
3;Tambellini Jeff;ZSC Lions;Stürmer;15;4;48;8.33;3.20
4;Gardner Ryan;SC Bern;Stürmer;17;4;39;10.26;2.29
5;Furrer Philippe;SC Bern;Verteidiger;17;1;37;2.70;2.18
6;Brunner Damien;EV Zug;Stürmer;9;3;36;8.33;4.00
7;Sprunger Julien;Fribourg-Gottéron;Stürmer;11;2;34;5.88;3.09
8;Monnet Thibaut;ZSC Lions;Stürmer;15;5;34;14.71;2.27
9;Plüss Martin;SC Bern;Stürmer;17;6;33;18.18;1.94
10;Bärtschi Patrik;ZSC Lions;Stürmer;15;9;33;27.27;2.20
11;Holden Josh;EV Zug;Stürmer;9;5;31;16.13;3.44
12;Bykov Andrey;Fribourg-Gottéron;Stürmer;11;3;31;9.68;2.82
13;Plüss Benny;Fribourg-Gottéron;Stürmer;11;2;30;6.67;2.73
14;Gamache Simon;Fribourg-Gottéron;Stürmer;11;4;29;13.79;2.64
15;Dumont Jean-Pierre;SC Bern;Stürmer;14;6;29;20.69;2.07
16;Berger Pascal;SC Bern;Stürmer;17;4;29;13.79;1.71
17;Bastl Mark;ZSC Lions;Stürmer;15;4;29;13.79;1.93
18;Cunti Luca;ZSC Lions;Stürmer;15;1;27;3.70;1.80
19;Schäppi Reto;ZSC Lions;Stürmer;15;4;26;15.38;1.73
20;Jobin David;SC Bern;Verteidiger;16;2;26;7.69;1.62
21;Vermin Joël;SC Bern;Stürmer;17;2;25;8;1.47
22;Pittis Domenico;ZSC Lions;Stürmer;13;5;25;20;1.92
23;Wozniewski Andy;EV Zug;Verteidiger;6;1;24;4.17;4.00
24;Ruefenacht Thomas;EV Zug;Stürmer;9;2;24;8.33;2.67
25;Metropolit Glen;EV Zug;Stürmer;9;5;24;20.83;2.67
26;Loeffel Romain;Fribourg-Gottéron;Verteidiger;11;1;24;4.17;2.18
27;Kwiatkowski Joel;SC Bern;Verteidiger;14;2;24;8.33;1.71
28;Kenins Ronalds;ZSC Lions;Stürmer;15;0;23;0;1.53
29;Scherwey Tristan;SC Bern;Stürmer;16;1;22;4.55;1.38
30;Ritchie Byron;SC Bern;Stürmer;17;2;22;9.09;1.29
31;Knoepfli Michael;Fribourg-Gottéron;Stürmer;11;2;22;9.09;2.00
32;Dupont Micki;Kloten Flyers;Verteidiger;5;1;22;4.55;4.40
33;Spylo Ahren;EHC Biel;Stürmer;5;4;20;20;4.00
34;Chiesa Alessandro;EV Zug;Verteidiger;9;0;20;0;2.22
35;Heins Shawn;Fribourg-Gottéron;Verteidiger;11;0;19;0;1.73
36;Hasani Adam;Fribourg-Gottéron;Stürmer;11;2;19;10.53;1.73
37;Gerber Beat;SC Bern;Verteidiger;17;1;19;5.26;1.12
38;Deruns Thomas;SC Bern;Stürmer;13;2;19;10.53;1.46
39;Seger Mathias;ZSC Lions;Verteidiger;14;2;18;11.11;1.29
40;Rosa Pavel;Fribourg-Gottéron;Stürmer;8;3;18;16.67;2.25
41;Bertschy Christoph;SC Bern;Stürmer;17;1;18;5.56;1.06
42;Reichert Marc;SC Bern;Stürmer;17;2;17;11.76;1.00
43;Kinrade Geoff;SC Bern;Verteidiger;17;0;17;0;1.00
44;Fröhlicher Joel;EHC Biel;Verteidiger;5;1;17;5.88;3.40
45;Neuenschwander Caryl;SC Bern;Stürmer;17;1;16;6.25;0.94
46;Froidevaux Etienne;SC Bern;Stürmer;17;3;16;18.75;0.94
47;Dubé Christian;Fribourg-Gottéron;Stürmer;11;3;16;18.75;1.45
48;Domenichelli Hnat;HC Lugano;Stürmer;6;0;16;0;2.67
49;Christen Björn;EV Zug;Stürmer;9;2;16;12.5;1.78
50;Bühler Cyrill;ZSC Lions;Stürmer;15;2;16;12.5;1.07
51;Schnyder Fabian;EV Zug;Stürmer;9;1;15;6.67;1.67
52;Kolnik Juraj;ZSC Lions;Stürmer;9;1;15;6.67;1.67
53;Jeannin Sandy;Fribourg-Gottéron;Stürmer;7;1;15;6.67;2.14
54;Helbling Timo;EV Zug;Verteidiger;9;0;15;0;1.67
55;Du Bois Felicien;Kloten Flyers;Verteidiger;5;1;15;6.67;3.00
56;Casutt Corsin;EV Zug;Stürmer;6;1;15;6.67;2.50
57;Bordeleau Sébastien;EHC Biel;Stürmer;5;0;15;0;3.00
