R;Spieler;Team;Pos;GP;PIM Total;2' ;5';10';GM;MP
1;Snell Wesley;EV Zug;Verteidiger;8;78;9;2;1;2;0
2;Rubin Daniel;Genève-Servette HC;Stürmer;20;51;13;1;0;0;1
3;Collenberg Franco;Fribourg-Gottéron;Verteidiger;7;39;7;1;0;0;1
4;Neuenschwander Caryl;SC Bern;Stürmer;15;38;4;0;1;1;0
5;Gobbi John;Genève-Servette HC;Verteidiger;20;38;9;0;2;0;0
6;Bastl Mark;ZSC Lions;Stürmer;7;37;1;1;1;1;0
7;Kolnik Juraj;Genève-Servette HC;Stürmer;16;36;8;0;2;0;0
8;Suri Reto;Genève-Servette HC;Stürmer;20;35;5;1;0;1;0
9;Salmelainen Tony;Genève-Servette HC;Stürmer;18;33;4;1;0;0;1
10;Ruefenacht Thomas;EV Zug;Stürmer;13;32;6;0;2;0;0
11;Robitaille Randy;HC Lugano;Stürmer;3;30;0;0;1;1;0
12;Heins Shawn;Fribourg-Gottéron;Verteidiger;3;29;2;1;0;0;1
13;Bell Mark;Kloten Flyers;Stürmer;10;29;2;1;0;1;0
14;Roche Travis;SC Bern;Verteidiger;15;28;9;0;1;0;0
15;Savary Paul;Genève-Servette HC;Stürmer;17;27;1;1;0;1;0
16;Oppliger Patrick;EV Zug;Stürmer;13;26;8;0;1;0;0
17;Jenni Marcel;Kloten Flyers;Stürmer;10;26;8;0;1;0;0
18;Reist Alain;ZSC Lions;Verteidiger;7;22;6;0;1;0;0
19;Mercier Jonathan;Genève-Servette HC;Verteidiger;20;22;6;0;1;0;0
20;Gerber Beat;SC Bern;Verteidiger;15;22;6;0;1;0;0
21;Conz Florian;Genève-Servette HC;Stürmer;20;22;6;0;1;0;0
22;Bezina Goran;Genève-Servette HC;Verteidiger;20;22;11;0;0;0;0
23;Vukovic Daniel;Genève-Servette HC;Verteidiger;20;20;5;0;1;0;0
24;Santala Tommi;Kloten Flyers;Stürmer;10;20;5;0;1;0;0
25;Sannitz Raffaele;HC Lugano;Stürmer;4;20;5;0;1;0;0
26;Von Arx Reto;HC Davos;Stürmer;6;18;4;0;1;0;0
27;Trachsler Morris;Genève-Servette HC;Stürmer;20;18;9;0;0;0;0
28;Stancescu Victor;Kloten Flyers;Stürmer;10;18;4;0;1;0;0
29;Müller Pascal;ZSC Lions;Verteidiger;7;18;4;0;1;0;0
30;Lüthi Fabian;EV Zug;Stürmer;13;18;4;0;1;0;0
31;Meier Dominic;SC Bern;Verteidiger;13;16;8;0;0;0;0
32;Maurer Marco;Genève-Servette HC;Verteidiger;20;16;8;0;0;0;0
33;Lindemann Sven;Kloten Flyers;Stürmer;10;16;3;0;1;0;0
34;Grossmann Robin;HC Davos;Verteidiger;6;16;3;0;1;0;0
35;Breitbach Robin;Genève-Servette HC;Verteidiger;20;16;8;0;0;0;0
36;Blaser Yannick;EV Zug;Verteidiger;13;16;3;0;1;0;0
37;Toms Jeff;Genève-Servette HC;Stürmer;18;14;7;0;0;0;0
38;Malik Marek;Genève-Servette HC;Verteidiger;20;14;7;0;0;0;0
39;Holden Josh;EV Zug;Stürmer;13;14;7;0;0;0;0
40;Hänni Andreas;SC Bern;Verteidiger;15;14;7;0;0;0;0
41;Furrer Philippe;SC Bern;Verteidiger;15;14;7;0;0;0;0
42;Dupont Micki;EV Zug;Verteidiger;11;14;7;0;0;0;0
