R;Spieler;Team;Pos;GP;G;SOG;S%;SOG/GP
1;Sykora Petr;HC Davos;Stürmer;18;8;56;14.29;3.11
2;Ambühl Andres;HC Davos;Stürmer;21;4;50;8;2.38
3;Wick Roman;Kloten Flyers;Stürmer;15;5;45;11.11;3.00
4;Riesen Michel;HC Davos;Stürmer;21;9;45;20;2.14
5;Jenni Marcel;Kloten Flyers;Stürmer;15;3;45;6.67;3.00
6;Sprunger Julien;Fribourg-Gottéron;Stürmer;10;6;41;14.63;4.10
7;Taticek Petr;HC Davos;Stürmer;21;4;40;10;1.90
8;Rintanen Kimmo;Kloten Flyers;Stürmer;15;6;39;15.38;2.60
9;Dupont Micki;EV Zug;Verteidiger;10;2;39;5.13;3.90
10;Nummelin Petteri;HC Lugano;Verteidiger;7;4;38;10.53;5.43
11;Von Arx Reto;HC Davos;Stürmer;21;7;37;18.92;1.76
12;McTavish Dale;EV Zug;Stürmer;10;3;37;8.11;3.70
13;Forster Beat;HC Davos;Verteidiger;21;1;37;2.70;1.76
14;Lindemann Sven;Kloten Flyers;Stürmer;15;2;35;5.71;2.33
15;Wieser Dino;HC Davos;Stürmer;20;2;33;6.06;1.65
16;Du Bois Felicien;Kloten Flyers;Verteidiger;15;2;33;6.06;2.20
17;Rüthemann Ivo;SC Bern;Stürmer;6;2;32;6.25;5.33
18;Von Gunten Patrick;Kloten Flyers;Verteidiger;15;5;31;16.13;2.07
19;Guggisberg Peter;HC Davos;Stürmer;21;5;30;16.67;1.43
20;Santala Tommi;Kloten Flyers;Stürmer;15;4;28;14.29;1.87
21;Murray Brady;HC Lugano;Stürmer;7;1;28;3.57;4.00
22;Heins Shawn;Fribourg-Gottéron;Verteidiger;10;0;28;0;2.80
23;Hamr Radek;Kloten Flyers;Verteidiger;15;1;28;3.57;1.87
24;Bykov Andrey;Fribourg-Gottéron;Stürmer;9;1;28;3.57;3.11
25;Plüss Benny;Fribourg-Gottéron;Stürmer;11;3;27;11.11;2.45
26;Marha Josef;HC Davos;Stürmer;20;2;26;7.69;1.30
27;Jacquemet Arnaud;Kloten Flyers;Stürmer;15;2;26;7.69;1.73
28;Holden Josh;EV Zug;Stürmer;10;1;26;3.85;2.60
29;Brown Curtis;Kloten Flyers;Stürmer;15;4;26;15.38;1.73
30;Robitaille Randy;HC Lugano;Stürmer;7;2;25;8;3.57
31;Thoresen Patrick;HC Lugano;Stürmer;7;1;24;4.17;3.43
32;Rizzi Sandro;HC Davos;Verteidiger;21;1;24;4.17;1.14
33;Plüss Martin;SC Bern;Stürmer;6;4;23;17.39;3.83
34;Daigle Alexandre;HC Davos;Stürmer;10;1;23;4.35;2.30
35;Bürgler Dario;HC Davos;Stürmer;21;3;23;13.04;1.10
36;Stancescu Victor;Kloten Flyers;Stürmer;11;4;22;18.18;2.00
37;Law Kirby;Fribourg-Gottéron;Stürmer;7;2;22;9.09;3.14
38;Jinman Lee;HC Davos;Stürmer;15;6;22;27.27;1.47
39;Birbaum Alain;Fribourg-Gottéron;Verteidiger;11;0;22;0;2.00
