R;Spieler;Team;Pos;GP;G;SOG;S%;SOG/GP
1;Wick Roman;ZSC Lions;Stürmer;18;6;67;8.96;3.72
2;D'Agostini Matt;Genève-Servette HC;Stürmer;12;7;45;15.56;3.75
3;Paulsson Marcus;HC Davos;Stürmer;15;6;43;13.95;2.87
4;Keller Ryan;ZSC Lions;Stürmer;18;5;43;11.63;2.39
5;Wieser Dino;HC Davos;Stürmer;15;2;42;4.76;2.80
6;Bärtschi Patrik;ZSC Lions;Stürmer;18;4;42;9.52;2.33
7;Shannon Ryan;ZSC Lions;Stürmer;18;5;40;12.5;2.22
8;Nilsson Robert;ZSC Lions;Stürmer;18;5;40;12.5;2.22
9;Holloway Bud;SC Bern;Stürmer;11;4;38;10.53;3.45
10;Blindenbacher Severin;ZSC Lions;Verteidiger;18;1;38;2.63;2.11
11;Loeffel Romain;Genève-Servette HC;Verteidiger;12;2;37;5.41;3.08
12;Du Bois Felicien;HC Davos;Verteidiger;15;2;34;5.88;2.27
13;Schäppi Reto;ZSC Lions;Stürmer;18;1;33;3.03;1.83
14;Cunti Luca;ZSC Lions;Stürmer;17;3;33;9.09;1.94
15;Tallinder Henrik;ZSC Lions;Verteidiger;18;0;32;0;1.78
16;Plüss Martin;SC Bern;Stürmer;11;2;31;6.45;2.82
17;Geering Patrick;ZSC Lions;Verteidiger;18;2;31;6.45;1.72
18;Sciaroni Gregory;HC Davos;Stürmer;15;3;30;10;2.00
19;Lindgren Perttu;HC Davos;Stürmer;15;5;30;16.67;2.00
20;Axelsson Dick;HC Davos;Stürmer;13;6;28;21.43;2.15
21;Baltisberger Chris;ZSC Lions;Stürmer;17;3;27;11.11;1.59
22;Ambühl Andres;HC Davos;Stürmer;15;2;27;7.41;1.80
23;Pettersson Fredrik;HC Lugano;Stürmer;6;2;26;7.69;4.33
24;Vukovic Daniel;Genève-Servette HC;Verteidiger;12;1;25;4;2.08
25;Trachsler Morris;ZSC Lions;Stürmer;18;3;25;12;1.39
26;Spylo Ahren;EHC Biel;Stürmer;7;1;25;4;3.57
27;Ruefenacht Thomas;SC Bern;Stürmer;11;0;25;0;2.27
28;Malgin Denis;ZSC Lions;Stürmer;18;4;25;16;1.39
29;Bergeron Marc-André;ZSC Lions;Verteidiger;13;0;25;0;1.92
30;Wick Jeremy;Genève-Servette HC;Stürmer;11;2;24;8.33;2.18
31;Mercier Jonathan;Genève-Servette HC;Verteidiger;12;1;24;4.17;2.00
32;Furrer Philippe;SC Bern;Verteidiger;11;1;24;4.17;2.18
33;Wieser Marc;HC Davos;Stürmer;12;3;23;13.04;1.92
34;Walser Samuel;HC Davos;Stürmer;15;3;23;13.04;1.53
35;Moser Simon;SC Bern;Stürmer;11;0;23;0;2.09
36;Künzle Mike;ZSC Lions;Stürmer;17;4;23;17.39;1.35
37;Klasen Linus;HC Lugano;Stürmer;6;1;23;4.35;3.83
38;Almond Cody;Genève-Servette HC;Stürmer;12;3;23;13.04;1.92
39;Jörg Mauro;HC Davos;Stürmer;14;2;22;9.09;1.57
40;Bezina Goran;Genève-Servette HC;Verteidiger;12;2;22;9.09;1.83
41;Simion Dario;HC Davos;Stürmer;15;5;21;23.81;1.40
42;Siegenthaler Jonas;ZSC Lions;Verteidiger;18;0;21;0;1.17
43;Rod Noah;Genève-Servette HC;Stürmer;10;2;21;9.52;2.10
44;Redenbach Tyler;HC Davos;Stürmer;11;0;21;0;1.91
45;Pyatt Tom;Genève-Servette HC;Stürmer;11;2;21;9.52;1.91
46;Pyatt Taylor;Genève-Servette HC;Stürmer;8;4;21;19.05;2.62
47;Corvi Enzo;HC Davos;Stürmer;15;1;21;4.76;1.40
48;Antonietti Eliot;Genève-Servette HC;Verteidiger;10;0;21;0;2.10
49;Martschini Lino;EV Zug;Stürmer;6;1;20;5;3.33
50;Louhivaara Ossi;Lausanne HC;Stürmer;7;1;19;5.26;2.71
51;Arlbrandt Pär;EHC Biel;Stürmer;7;5;19;26.32;2.71
52;Rubin Daniel;Genève-Servette HC;Stürmer;12;1;18;5.56;1.50
53;Ritchie Byron;SC Bern;Stürmer;11;1;18;5.56;1.64
54;Pesonen Harri;Lausanne HC;Stürmer;7;1;18;5.56;2.57
55;McLean Brett;HC Lugano;Stürmer;6;3;18;16.67;3.00
56;Guerra Samuel;HC Davos;Verteidiger;15;1;18;5.56;1.20
57;Suri Reto;EV Zug;Stürmer;6;0;17;0;2.83
58;Samson Jérôme;EHC Biel;Stürmer;6;1;17;5.88;2.83
59;Picard Alexandre;Genève-Servette HC;Stürmer;8;1;17;5.88;2.12
60;Haas Gaëtan;EHC Biel;Stürmer;7;1;17;5.88;2.43
61;Earl Robbie;EV Zug;Stürmer;6;1;17;5.88;2.83
62;Blum Eric-Ray;SC Bern;Verteidiger;11;2;17;11.76;1.55
63;Berger Alain;SC Bern;Stürmer;11;0;17;0;1.55
64;Bastl Mark;ZSC Lions;Stürmer;12;2;16;12.5;1.33
65;Seger Mathias;ZSC Lions;Verteidiger;12;2;15;13.33;1.25
66;Joensuu Jesse;SC Bern;Stürmer;8;2;15;13.33;1.88
67;Herburger Raphael;EHC Biel;Stürmer;7;2;15;13.33;2.14
68;Grossmann Robin;EV Zug;Verteidiger;6;0;15;0;2.50
69;Froidevaux Etienne;Lausanne HC;Stürmer;7;2;15;13.33;2.14
70;Iglesias Frédéric;Genève-Servette HC;Verteidiger;12;0;14;0;1.17
71;Hofmann Gregory;HC Davos;Stürmer;13;3;14;21.43;1.08
72;Bertschy Christoph;SC Bern;Stürmer;7;1;14;7.14;2.00
73;Vauclair Julien;HC Lugano;Verteidiger;6;0;13;0;2.17
74;Rossi Matthias;EHC Biel;Stürmer;7;2;13;15.38;1.86
75;Repik Michal;EV Zug;Stürmer;3;0;13;0;4.33
76;Paschoud Claude-C.;HC Davos;Verteidiger;15;1;13;7.69;0.87
77;Gobbi John;Lausanne HC;Verteidiger;7;0;13;0;1.86
78;Gardner Ryan;SC Bern;Stürmer;11;1;13;7.69;1.18
79;Ramholt Tim;EV Zug;Verteidiger;6;0;12;0;2.00
80;Kast Timothy;Genève-Servette HC;Stürmer;12;0;12;0;1.00
81;Jacquemet Arnaud;Genève-Servette HC;Stürmer;12;1;12;8.33;1.00
82;Bouchard Pierre-Marc;EV Zug;Stürmer;6;3;12;25;2.00
83;Wellinger Thomas;EHC Biel;Verteidiger;7;0;11;0;1.57
84;Schneeberger Noah;HC Davos;Verteidiger;15;1;11;9.09;0.73
85;Scherwey Tristan;SC Bern;Stürmer;11;0;11;0;1.00
86;Holden Josh;EV Zug;Stürmer;4;3;11;27.27;2.75
87;Bürgler Dario;EV Zug;Stürmer;6;1;11;9.09;1.83
88;Berger Pascal;SC Bern;Stürmer;11;1;11;9.09;1.00
89;Sondell Daniel;EV Zug;Verteidiger;5;0;10;0;2.00
90;Reichert Marc;SC Bern;Stürmer;11;0;10;0;0.91
91;Kindschi Simon;HC Davos;Verteidiger;10;1;10;10;1.00
92;Jecker Benoit;EHC Biel;Verteidiger;7;0;10;0;1.43
93;Gerber Beat;SC Bern;Verteidiger;11;0;10;0;0.91
94;Forster Beat;HC Davos;Verteidiger;15;0;10;0;0.67
95;Diem Nolan;EV Zug;Stürmer;6;3;10;30;1.67
96;Walker Julian;HC Lugano;Stürmer;6;1;9;11.11;1.50
97;Untersander Ramon;EHC Biel;Verteidiger;7;0;9;0;1.29
98;Hytönen Juha-Pekka;Lausanne HC;Stürmer;7;0;9;0;1.29
99;Gragnani Marc-André;SC Bern;Verteidiger;11;1;9;11.11;0.82
100;Genazzi Joël;Lausanne HC;Verteidiger;7;0;9;0;1.29
101;Douay Floran;Genève-Servette HC;Stürmer;12;0;9;0;0.75
102;Deruns Thomas;Lausanne HC;Stürmer;7;0;9;0;1.29
103;Chiesa Alessandro;HC Lugano;Verteidiger;6;1;9;11.11;1.50
104;Mieville Alain;Lausanne HC;Stürmer;7;1;8;12.5;1.14
105;Conz Florian;Lausanne HC;Stürmer;7;0;8;0;1.14
106;Alatalo Santeri;EV Zug;Verteidiger;6;0;8;0;1.33
107;Tschantré Mathieu;EHC Biel;Stürmer;7;0;7;0;1.00
108;Smith Derek;ZSC Lions;Verteidiger;5;0;7;0;1.40
109;Peter Emanuel;EHC Biel;Stürmer;7;1;7;14.29;1.00
110;Krueger Justin;SC Bern;Verteidiger;9;0;7;0;0.78
111;Herzog Fabrice;EV Zug;Stürmer;6;0;7;0;1.17
112;Genoway Colby;Lausanne HC;Stürmer;6;0;7;0;1.17
113;Filppula Ilari;HC Lugano;Stürmer;5;1;7;14.29;1.40
114;Wetzel Philipp;EHC Biel;Stürmer;7;1;6;16.67;0.86
115;Sutter Fabian;EV Zug;Stürmer;6;0;6;0;1.00
116;Stoffel Andri;ZSC Lions;Verteidiger;9;0;6;0;0.67
117;Steinmann Janick;HC Lugano;Stürmer;6;1;6;16.67;1.00
118;Senteler Sven;ZSC Lions;Stürmer;9;0;6;0;0.67
119;Schnyder Fabian;EV Zug;Stürmer;6;0;6;0;1.00
120;Schlumpf Dominik;EV Zug;Verteidiger;6;0;6;0;1.00
121;Romy Kevin;Genève-Servette HC;Stürmer;6;0;6;0;1.00
122;Reuille Sebastien;HC Lugano;Stürmer;6;2;6;33.33;1.00
123;Olausson Niklas;EHC Biel;Stürmer;7;0;6;0;0.86
124;Maurer Marco;HC Lugano;Verteidiger;6;1;6;16.67;1.00
125;Kparghai Clarence;HC Lugano;Verteidiger;6;0;6;0;1.00
126;Impose Auguste;Genève-Servette HC;Stürmer;5;0;6;0;1.20
127;Fey Kevin;EHC Biel;Verteidiger;7;1;6;16.67;0.86
128;Andersson Calle;HC Lugano;Verteidiger;6;0;6;0;1.00
129;Trutmann Dario;Genève-Servette HC;Verteidiger;12;0;5;0;0.42
130;Sannitz Raffaele;HC Lugano;Stürmer;6;1;5;20;0.83
131;Rytz Philippe;Lausanne HC;Verteidiger;5;0;5;0;1.00
132;Neuenschwander Jan;ZSC Lions;Stürmer;14;1;5;20;0.36
133;Leeger Larri;Lausanne HC;Verteidiger;7;1;5;20;0.71
134;Lammer Dominic;EV Zug;Stürmer;4;0;5;0;1.25
135;Kostner Diego;HC Lugano;Stürmer;6;1;5;20;0.83
136;Jobin David;SC Bern;Verteidiger;9;0;5;0;0.56
137;Jelovac Igor;EHC Biel;Verteidiger;7;0;5;0;0.71
138;Hirschi Steve;HC Lugano;Verteidiger;6;1;5;20;0.83
139;Herren Yannick;Lausanne HC;Stürmer;7;1;5;20;0.71
140;Augsburger Gaëtan;Lausanne HC;Stürmer;5;0;5;0;1.00
141;Von Arx Reto;HC Davos;Stürmer;4;1;4;25;1.00
142;Lardi Federico;Lausanne HC;Verteidiger;6;0;4;0;0.67
143;Kamber Oliver;EHC Biel;Stürmer;7;0;4;0;0.57
144;Heldner Fabian;HC Davos;Verteidiger;12;0;4;0;0.33
145;Gerber Roland;Genève-Servette HC;Stürmer;12;0;4;0;0.33
146;Berthon Eliot;EHC Biel;Stürmer;4;0;4;0;1.00
147;Bertaggia Alessio;HC Lugano;Stürmer;6;0;4;0;0.67
148;Antonietti Benjamin;Lausanne HC;Stürmer;7;0;4;0;0.57
149;Zangger Sandro;EV Zug;Stürmer;5;0;3;0;0.60
150;Von Arx Jan;HC Davos;Verteidiger;14;0;3;0;0.21
151;Umicevic Dragan;EHC Biel;Stürmer;1;0;3;0;3.00
152;Ulmer Stefan;HC Lugano;Verteidiger;3;0;3;0;1.00
153;Traber Tim;Genève-Servette HC;Stürmer;5;0;3;0;0.60
154;Simek Juraj;HC Lugano;Stürmer;6;0;3;0;0.50
155;Schnyder Daniel;ZSC Lions;Verteidiger;10;0;3;0;0.30
156;Savary Paul;Lausanne HC;Stürmer;2;0;3;0;1.50
157;Kobasew Chuck;SC Bern;Stürmer;3;0;3;0;1.00
158;Kienzle Lorenz;HC Lugano;Verteidiger;6;0;3;0;0.50
159;Fischer Jannik;Lausanne HC;Verteidiger;6;0;3;0;0.50
160;Steiner Nicholas;EHC Biel;Verteidiger;7;0;2;0;0.29
161;Stalder Ralph;Lausanne HC;Verteidiger;7;0;2;0;0.29
162;Schmuckli Florian;ZSC Lions;Verteidiger;4;0;2;0;0.50
163;Randegger Flurin;SC Bern;Verteidiger;10;0;2;0;0.20
164;Neuenschwander Caryl;Lausanne HC;Stürmer;7;0;2;0;0.29
165;Lüthi Simon;EV Zug;Verteidiger;3;1;2;50;0.67
166;Kreis Samuel;SC Bern;Verteidiger;11;0;2;0;0.18
167;Joggi Mathias;EHC Biel;Stürmer;3;0;2;0;0.67
168;Fazzini Luca;HC Lugano;Stürmer;4;0;2;0;0.50
169;Christen Björn;EV Zug;Stürmer;6;0;2;0;0.33
170;Cadonau Claudio;EHC Biel;Verteidiger;7;0;2;0;0.29
171;Brunner Damien;HC Lugano;Stürmer;3;0;2;0;0.67
172;St-Pierre Martin;Lausanne HC;Stürmer;1;0;1;0;1.00
173;Rivera Christopher;Genève-Servette HC;Stürmer;4;0;1;0;0.25
174;Paakkolanvaara Tommi;HC Lugano;Stürmer;1;0;1;0;1.00
175;Müller Marco;SC Bern;Stürmer;2;0;1;0;0.50
176;Morant Johan;EV Zug;Verteidiger;5;0;1;0;0.20
177;Lombardi Matthew;Genève-Servette HC;Stürmer;1;0;1;0;1.00
178;Loichat Michaël;SC Bern;Stürmer;3;0;1;0;0.33
179;Karrer Roger;ZSC Lions;Verteidiger;1;0;1;0;1.00
180;Gossweiler Manuel;EHC Biel;Verteidiger;4;0;1;0;0.25
181;Fritsche Dan;ZSC Lions;Stürmer;3;0;1;0;0.33
182;Erni Samuel;EV Zug;Verteidiger;4;0;1;0;0.25
183;Dünner Nico;EV Zug;Stürmer;2;0;1;0;0.50
184;Wiedmer Sandro;SC Bern;Verteidiger;4;0;0;-;0.00
185;Ulmann Tim;Lausanne HC;Stürmer;5;0;0;-;0.00
186;Tschannen Stefan;Lausanne HC;Stürmer;2;0;0;-;0.00
187;Stämpfli David;EV Zug;Verteidiger;1;0;0;-;0.00
188;Sartori Riccardo;HC Lugano;Verteidiger;1;0;0;-;0.00
189;Nodari Matteo;Lausanne HC;Verteidiger;4;0;0;-;0.00
190;Moser Christian;EHC Biel;Verteidiger;3;0;0;-;0.00
191;Dupertuis Joey;Genève-Servette HC;Verteidiger;5;0;0;-;0.00
192;Dal Pian Giacomo;HC Lugano;Stürmer;1;0;0;-;0.00
193;Bachofner Jérôme;ZSC Lions;Stürmer;1;0;0;-;0.00
