R;Team;GP;PK SI;PK SI/GP;PK GA;PK GA/GP;PK%;PKT;PK time/GP;SHG;PK GF/GP
1;HC Ajoie;45;264;5.87;43;0.96;83.71;395:51;08:47;6;0.13
2;HC Sierre;45;243;5.40;40;0.89;83.54;390:13;08:40;10;0.22
3;Lausanne HC;45;248;5.51;42;0.93;83.06;394:21;08:45;10;0.22
4;EHC Visp;45;234;5.20;43;0.96;81.62;363:27;08:04;16;0.36
5;SC Langenthal;45;193;4.29;36;0.80;81.35;300:29;06:40;2;0.04
;Durchschnitt;40;207;5.18;41;1.02;80.19;317:28;07:56;7;0.18
6;EHC Olten;45;193;4.29;39;0.87;79.79;295:01;06:33;5;0.11
7;HC La Chaux-de-Fonds;45;222;4.93;46;1.02;79.28;343:50;07:38;15;0.33
8;Hockey Thurgau;45;209;4.64;49;1.09;76.56;310:15;06:53;4;0.09
9;EHC Basel Sharks;45;224;4.98;53;1.18;76.34;332:41;07:23;2;0.04
10;GCK Lions;45;251;5.58;60;1.33;76.10;366:06;08:08;9;0.20
11;Neuchâtel;0;0;-;0;-;-;00:00;-;2;-
