R;Team;GP;PK SI;PK SI/GP;PK GA;PK GA/GP;PK%;PKT;PK time/GP;SHG;PK GF/GP
1;Lausanne HC;45;196;4.36;25;0.56;87.24;306:28;06:48;6;0.13
2;EHC Olten;45;185;4.11;27;0.60;85.41;302:00;06:42;5;0.11
3;SC Langenthal;45;179;3.98;27;0.60;84.92;290:17;06:27;7;0.16
4;HC Ajoie;45;236;5.24;42;0.93;82.20;362:33;08:03;1;0.02
5;HC La Chaux-de-Fonds;45;191;4.24;34;0.76;82.20;303:35;06:44;11;0.24
;Durchschnitt;45;208;4.62;38;0.84;81.73;326:05;07:14;7;0.16
6;GCK Lions;45;205;4.56;38;0.84;81.46;311:25;06:55;5;0.11
7;HC Sierre;45;235;5.22;49;1.09;79.15;395:01;08:46;8;0.18
8;EHC Visp;45;219;4.87;46;1.02;79.00;332:00;07:22;9;0.20
9;EHC Basel Sharks;45;212;4.71;45;1.00;78.77;312:50;06:57;9;0.20
10;Hockey Thurgau;45;223;4.96;51;1.13;77.13;344:47;07:39;9;0.20
