R;Team;GP;PK SI;PK SI/GP;PK GA;PK GA/GP;PK%;PKT;PK time/GP;SHG;PK GF/GP
1;Lausanne HC;50;223;4.46;34;0.68;84.75;334:21;06:41;8;0.16
2;SC Langenthal;50;201;4.02;31;0.62;84.58;326:22;06:31;7;0.14
3;HC La Chaux-de-Fonds;50;224;4.48;35;0.70;84.38;351:35;07:01;19;0.38
4;EHC Visp;50;233;4.66;37;0.74;84.12;350:53;07:01;9;0.18
5;HC Ajoie;50;261;5.22;45;0.90;82.76;390:48;07:48;9;0.18
;Durchschnitt;50;226;4.52;43;0.86;80.97;348:52;06:58;6;0.12
6;EHC Olten;50;204;4.08;40;0.80;80.39;321:03;06:25;1;0.02
7;EHC Basel Sharks;50;232;4.64;46;0.92;80.17;355:41;07:06;8;0.16
8;Hockey Thurgau;50;237;4.74;47;0.94;80.17;357:07;07:08;1;0.02
9;HC Red Ice;50;201;4.02;44;0.88;78.11;315:50;06:19;7;0.14
10;GCK Lions;50;213;4.26;49;0.98;77.00;340:14;06:48;4;0.08
11;HC Sierre;50;266;5.32;67;1.34;74.81;393:42;07:52;2;0.04
